"(N0 V N1 Loc N2 destination)";"(N2 lieu de destination de N1)";"non (N1 =: N-hum) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";" ";"Col. N1 =: Nconc métaphore";"38LHD";"On a relégué Max outre-mer"
"(N0 V N1 Loc N2 source)";"(N2 lieu source de N1)";"non (N1 =: N-hum) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";" ";"Col. N1 =: Nconc métaphore";"38LHS";"Le choc a désarçonné Max de son cheval"
"(N0 V N1 Loc N2)";"(N2 lieu statique de N1)";"non (N1 =: N-hum) et non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";" ";"Col. N1 =: Nconc métaphore";"38LHR";"Max héberge Luc dans son studio"
"(N0 V N1 Loc N2 destination)";"(N1 =: N-hum) et (N2 lieu de destination de N1)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";;;"38LD";"Luc a déposé le paquet sur le lit"
"(N0 V N1 Loc N2 source)";"(N1 =: N-hum) et (N2 lieu source de N1)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";;;"38LS";"Luc a ôté le livre du lit"
"(N0 V N1 Loc N2)";"(N1 =: N-hum) et (N2 lieu statique de N1)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (Prép2 =: <E>) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";;" ";"38LR";"Luc conserve son vin dans le grenier"
"(N0 V N1 en N2)";"(N2 être V-n)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: V0-inf W) et non (N1 =: si P ou si P) et non (N1 lieu de destination de N0) et non (Prép2 # en) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (N2 =: Npl obl) et non (N0 V N1 et N2)";;"(N0 V N1) et (N2 apparition)";"32CV";"Ce procédé caramélise le sucre en une pâte aromatique"
"(N0 V N1 en N2)";"(N2 =: Npl obl)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N2) et non (N1 lieu source de N2) et non (N1 bénéficiaire) et non (N1 détrimentaire) et non (Prép2 # en+entre) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N0 V N1 et N2)";;"La construction de base avec N2 pluriel est seulement celle en ""en"" ou ""entre"". Certaines entrées ont une construction locative (Luc ventile le courrier dans les services) qu'il faudrait représenter dans la table, mais en utilisant un autre symbole que N2 car la distribution est différente. ---Col. Loc N3";"38PL";"Luc a coupé le gâteau en trois parts"
"(N0 V N1 Prép N2)";"(Prép2 # à)";"non (N1 =: Qu Pind) et non (N1 =: Qu Psubj) et non (N1 =: si P ou si P) et non (N1 =: V0-inf W) et non (N1 lieu de destination de N0) et non (N1 lieu de destination de N2) et non (N1 lieu source de N2) et non (N1 bénéficiaire) et non (N1 détrimentaire) et non (N2 lieu source de N1) et non (N2 lieu de destination de N1) et non (N2 lieu statique de N1) et non (Prép2 =: <E>) et non (N2 bénéficiaire) et non (N2 détrimentaire) et non (N2 =: Qu Pind) et non (N2 =: Qu Psubj) et non (N2 =: V0-inf W) et non (N2 =: V1-inf W) et non (N0 V N1 et N2)";"(non (Prép2 =: en) ou (non (N2 =: Npl obl) et non (N2 être V-n)))";"Prép2 peut être ""à"" si une autre préposition est possible aussi ; ""Prép2 # à"" exclut 36R";"38R";"Luc a prévenu Guy contre ce genre de type"
"Structure N0 V N1 N2";;;;;;
"(N0 V Loc N1 V0-inf W)";"(Prép1 =: <E>)";;;"Si "" N0 V Loc N1 V0-inf W"" est acceptable, c'est la construction de base, sinon c'est "" N0 V N1 V0-inf W"". Il ne peut pas y voir de Prép2 (implicite mais vient du fait qu'il n'y en a pas dans la construction de base)";"2T";"Paul dévale l'escalier chercher Marie"
