"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"36";"+";"+";"+";"<E>";"-";"amoindrir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max ait quitté Ida l' a amoindrie "
"37";"+";"+";"+";"<E>";"-";"amollir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max l'ait persécutée amollit Ida"
"38";"-";"+";"+";"<E>";"-";"amortir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"Qu'il ait été trop malmené a amorti Luc"
"39";"+";"+";"+";"<E>";"-";"amuser";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Que Luc agisse ainsi amuse Max"
"40";"+";"+";"+";"<E>";"-";"anéantir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Qu'il ait dû voir cette scène a anéanti Max"
"41";"+";"+";"+";"<E>";"-";"anesthésier";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait vu tant d'horreurs a anesthésié Max"
"42";"+";"+";"+";"<E>";"-";"angoisser";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Qu'il ait à se lever angoisse Max"
"43";"+";"+";"+";"<E>";"-";"animer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"Qu'il ait dû partir anime Max contre Luc"
"44";"+";"+";"+";"<E>";"-";"annihiler";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"Qu'il ait dû partir a annihilé Max"
"45";"+";"+";"+";"<E>";"-";"apaiser";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Luc soit parti a apaisé Max"
