"<ID>";"N0 =: Nhum";"N0 =: Nnc";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 est Vpp W";"N0 V";"Prép1";"Tp = Tc";"Tc =: passé";"Tc =: présent";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Prép V0-inf W = Ppv";"N0 V Prép N1hum";"N0 V Prép N1-hum";"Prép N1 = Ppv";"N0 V dans N1";"N0 V N1hum";"N0 V N1-hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"88";"+";"-";"<E>";"-";"-";"-";"pouvoir";"-";"+";"-";"-";"-";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"Max pourrait réussir, qui sait ?"
"89";"~";"~";"<E>";"-";"-";"-";"pouvoir bien";"-";"+";"-";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Il peut bien être trois heures"
"90";"+";"-";"se";"+";"-";"-";"prendre";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max se prend à (réver+espérer)"
"91";"~";"~";"se";"+";"-";"-";"préparer";"-";"-";"+";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se prépare à partir"
"92";"+";"-";"se";"+";"-";"-";"presser";"-";"-";"+";"+";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"La pluie ne se presse pas de tomber"
"93";"~";"~";"ne se";"+";"-";"+";"priver";"+";"-";"+";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne se prive pas de faire des commentaires"
"94";"~";"~";"<E>";"-";"-";"-";"promettre";"-";"+";"-";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La séance promet d'être houleuse"
"95";"+";"+";"<E>";"-";"-";"-";"recommencer";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"Max recommence à fumer"
"96";"-";"+";"<E>";"-";"-";"-";"refuser";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"La pluie refuse de tomber"
"97";"+";"-";"se";"+";"-";"-";"reprendre";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Paul se reprend à vouloir fumer"
"98";"~";"~";"se";"+";"-";"-";"réserver";"-";"-";"+";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se réserve de faire appel"
"99";"+";"-";"<E>";"-";"-";"-";"rester";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"Max est resté à dîner"
"100";"+";"-";"<E>";"-";"-";"-";"rester";"-";"-";"+";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max est resté ici à travailler (E + deux heures) "
