"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"39";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"fuguer";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"de chez";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob a fugué de chez ses parents"
"40";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"fuir";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"L'eau fuit du tonneau"
"41";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"fuser";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"La vapeur a fusé de la soupape"
"42";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"gicler";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"L'eau gicla du tonneau"
"43";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"glisser";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La voiture a glissé dans le fossé"
"44";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"goutter";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le vin goutte du tonneau sur le sol"
"45";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"grimper";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max grimpe sur le tabouret"
"46";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"jaillir";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"L'eau a jailli du robinet"
"47";"-";"+";"-";"-";"+";"-";"<E>";"-";"-";"juter";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"jus";"<E>";"La pêche a juté sur sa robe"
"48";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"léviter";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Chang lévite du sol"
