"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"41";"-";"<E>";"homologuer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"On a homologué Max champion"
"42";"-";"<E>";"immatriculer";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"<E>";"On a immatriculé la voiture de Max 75"
"43";"~";"<E>";"impatroniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les syndicats ont impatronisé Max directeur"
"44";"~";"<E>";"improviser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a improvisé Max cuisinier"
"45";"~";"<E>";"installer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ils ont installé leur fils(E+comme toubib)"
"46";"~";"<E>";"instaurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a instauré Luc son successeur"
"47";"-";"<E>";"instituer";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"?";"Max a institué Luc(E+comme)son héritier"
"48";"-";"<E>";"intituler";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"intitulé";"Max a intitulé son livre 'RESTE'"
"49";"-";"<E>";"introniser";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"On a intronisé Max roi"
"50";"-";"<E>";"jouer";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"Luc joue ce cheval(gagnant+placé)"
