"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: les figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0 V de N0pc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: lui";"Ppv =: y";"N1 être V-n";"N0hum V W sur ce point";"[extrap]";"N0idée V Loc N1esprit";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"31";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"coller";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max colle à la mode"
"32";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"commander";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"<E>";"Max commande à une troupe"
"33";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"complaire";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"<E>";"Max cherche à complaire à son supérieur"
"34";"+";"-";"-";"-";"se";"+";"-";"-";"-";"conformer";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max se conforme aux (indications+ordres)de Luc"
"35";"~";"~";"~";"~";"en";"-";"+";"-";"-";"conter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul en a conté à Jean"
"36";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"contrevenir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"<E>";"<E>";"Max contrevient à la loi"
"37";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"contribuer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max contribue au chahut"
"38";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"cotiser";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max cotise à ce parti"
"39";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"couper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max coupe à(coeur+pique+carreau+trèfle)"
"40";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"courir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max court à sa perte"
"41";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"crier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max crie (au scandale+au feu+au génie+à l'assassinat)"
"42";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"culminer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Les prix culminent à un niveau inquiétant"
"43";"~";"~";"~";"~";"se";"+";"-";"-";"-";"déclarer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est déclaré à Ida"
"44";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"démanger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le crâne démange à Paul"
"45";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"demeurer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le domaine est demeuré à Max"
"46";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"déroger";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"<E>";"<E>";"Max déroge à ses habitudes"
"47";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"désobeir";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max désobéit à Luc"
"48";"+";"-";"-";"-";"se";"+";"-";"-";"-";"devoir";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"<E>";"devoir";"Max se doit à son fils"
"49";"+";"-";"-";"-";"se";"+";"-";"-";"-";"donner";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Léa se donne à ses enfants"
"50";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"durer Advt";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette veste a duré longtemps à Paul"
"51";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"échapper";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"L'héritage a échappé à Max"
"52";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"échapper";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a échappé à ses gardiens"
"53";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"échouer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a échoué à son examen"
"54";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"écrire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max écrit à sa mère"
"55";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"égaler";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est égalé aux plus grands écrivains"
"56";"-";"+";"-";"-";"s'";"+";"-";"-";"-";"élever";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"La facture s' élève à 1000 francs"
"57";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"émarger";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max émarge (E+de 3 briques)au SDECE"
"58";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"entamer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a entamé à Pique"
"59";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"équivaloir";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Le dollar équivaut à 6 francs"
"60";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"être";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cette voiture est à Max"
"61";"+";"-";"-";"-";"n'";"-";"-";"-";"+";"être";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max n' est pas à la conversation"
"62";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"faillir";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max a failli à(son devoir+ses obligations+sa promesse)"
"63";"+";"-";"-";"-";"se";"+";"-";"-";"-";"fier";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Max se fie (aux promesses de Luc+à sa voiture)"
"64";"~";"~";"~";"~";"se";"+";"-";"-";"-";"fixer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se fixe à l'héroïne"
"65";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"fonctionner";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Cet appareil fonctionne au gaz"
"66";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"forfaire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a forfait à l'honneur"
"67";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"fourmiller";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Les jambes fourmillent à Max"
"68";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"fournir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Sa famille fournit aux dépenses de Bob"
"69";"+";"-";"-";"-";"ne se";"+";"-";"-";"+";"frotter";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max ne se frotte pas à Léa"
"70";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"gamberger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max gamberge à une solution"
"71";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"goûter";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max a goûté au cassoulet"
"72";"+";"+";"+";"-";"se";"+";"-";"-";"-";"heurter";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max s'est heurté au mur"
"73";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"hurler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max hurle (au scandale+à l'imposture)"
"74";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"identifier";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max s' identifie à ce héros"
"75";"+";"+";"+";"-";"en";"-";"+";"-";"-";"imposer";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"<E>";"(E+l'attitude de)Max en impose à Léa"
"76";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"insulter";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Cet ouvrage insulte (à l'honneur+la misère)de Max"
"77";"+";"+";"-";"-";"se";"+";"-";"-";"-";"joindre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max s'est joint aux invités"
"78";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"jouer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Luc joue à la balle"
"79";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"jouer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"jeu";"Max joue à la roulette"
"80";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"jouer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"jeu";"Max joue au grand ponte"
"81";"+";"-";"-";"-";"les";"-";"-";"+";"-";"lâcher Advm";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max les lâche difficilement à Ida"
"82";"+";"-";"-";"-";"se";"+";"-";"-";"-";"livrer";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max se livre à (des contorsions+l'étude du chinois)"
"83";"~";"~";"~";"~";"se";"+";"-";"-";"-";"livrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se livre à la joie"
"84";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"manquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'argent manque à Paul"
"85";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"manquer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"<E>";"<E>";"Le grossier personnage a manqué à la marquise"
"86";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"manquer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a manqué à(la correction+sa parole)"
"87";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"marcher";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le moteur marche à l'essence"
"88";"+";"-";"-";"-";"se";"+";"-";"-";"-";"mêler";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max s'est mêlé à la(conversation+discussion etc)"
"89";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"mentir";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"Max ment à Luc"
"90";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"messeoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce chapeau messied à Paul"
"91";"~";"~";"~";"~";"se";"+";"-";"-";"-";"mesurer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se mesure aux plus grands écrivains"
"92";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"monter";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max monte à(une échelle+un arbre+un mât)"
"93";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"mordre";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max n'a pas mordu à l'histoire de Léa"
"94";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"naître";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max est né à la politique"
"95";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"naviguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max navigue (à l'estime+aux instruments)"
