"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: les figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0 V de N0pc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: lui";"Ppv =: y";"N1 être V-n";"N0hum V W sur ce point";"[extrap]";"N0idée V Loc N1esprit";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"149";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"revenir";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"La santé est revenue à Max"
"150";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"revenir";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max est revenu à la musique"
"151";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"revenir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est revenu à sa femme"
"152";"~";"~";"~";"~";"en";"-";"+";"-";"-";"revenir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"J' en reviens à(mon sujet+ce que je disais)"
"153";"+";"+";"+";"-";"ne";"-";"-";"-";"+";"revenir";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"La tête de Luc ne revient pas à Max"
"154";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"rêver";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"rêve";"Max a rêvé à Ida cette nuit"
"155";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"sacrifier";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max sacrifie à(l'amitié+la bouteille)"
"156";"~";"~";"~";"~";"se";"+";"-";"-";"-";"schnouffer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se schnouffe à la cocaïne"
"157";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"schtroumpfer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Je refuse de schtroumpfer à un ordre aussi idiot"
"158";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"seoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce chapeau sied à Ida"
"159";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"songer";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"<E>";"songe";"Max songe à(la séance d'hier+Ida)"
"160";"-";"+";"-";"-";"<E>";"-";"-";"-";"-";"sortir";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le rouge est sorti à la roulette"
"161";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"sourire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les circonstances ont souri à Luc"
"162";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"sourire";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"<E>";"<E>";"Zoé sourit à Luc"
"163";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"souscrire";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a souscrit à cet emprunt"
"164";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"succomber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Elle a succombé aux avances de Max"
"165";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"suivre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le joueur(E+de carte) suit à(l'atout+coeur)"
"166";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"survivre";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"Paul a survécu à Luc"
"167";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"tâter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a tâté du violon(E+dans sa jeunesse)"
"168";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"tenir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max tient à sa femme"
"169";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"tirer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La peau tire à Max"
"170";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"toucher";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a touché au réglage du volume"
"171";"~";"~";"~";"~";"ne";"-";"-";"-";"+";"toucher";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul ne touche plus à(une raquette+l'alcool)"
"172";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"toucher";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"On touche (E+là)à quelque chose de dangereux"
"173";"-";"+";"+";"-";"<E>";"-";"-";"-";"-";"tourner";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"La machine tourne à l'essence"
"174";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"tourner";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'affaire tourne à la catastrophe"
"175";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"vaquer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max vaque à ses occupations"
"176";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"venir";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Max vient à ce sujet"
"177";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"virer";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Le temps vire à la tempête"
"178";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"voyager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max voyage à la coke"

