"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 être V-ant";"N0 V";"N0 V contre Nhum";"N0 V de N1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N1 être Vpp par N0";"N0 V N1 Prép N2";"N1 être Vpp de N0";"N0 V Prép N2";"Prép2";"Prép2 =: auprès de = à";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp de N0 Prép N2";"N1 être Vpp par N0 Prép N2";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31";"+";"-";"-";"-";"-";"s'";"+";"-";"entretenir";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max s'est entretenu avec Luc de ce que la porte n'était jamais fermée"
"32";"+";"-";"-";"-";"-";"s'";"+";"-";"épancher";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"à";"-";"+";"-";"-";"-";"-";"-";"-";"Max s'épanche auprès de Luc de ce que Léa est partie"
"33";"+";"-";"-";"-";"-";"<E>";"-";"-";"ergoter";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max ergote sur ce point"
"34";"+";"-";"-";"-";"-";"<E>";"-";"-";"exciper";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"auprès de";"+";"+";"+";"-";"-";"-";"-";"-";"Max excipe auprès de la cour qu'il n'était pas responsable"
"35";"+";"-";"-";"-";"-";"s'";"+";"-";"expliquer";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max s'explique auprès du conseil de ce que les comptes sont faux"
"36";"+";"-";"-";"-";"-";"s'";"+";"-";"extasier";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max s'extasie auprès de Luc de ce qu'il porte un chapeau"
"37";"+";"-";"-";"-";"-";"<E>";"-";"-";"geindre";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"auprès de";"+";"+";"-";"-";"-";"+";"+";"+";"Max geint auprès de Bob de ce que Léa est revenue"
"38";"~";"~";"~";"~";"~";"se";"+";"-";"glorifier";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"Max se glorifie auprès de ses amis de ce qu'il est d'origine modeste"
"39";"+";"-";"-";"-";"-";"<E>";"-";"-";"ironiser";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"+";"+";"-";"-";"-";"+";"+";"-";"Max ironise auprès de Luc de ce que Léa a écrit une unique page"
"40";"+";"-";"-";"-";"-";"<E>";"-";"-";"jacter";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max jacte avec Riton de ce qu'Ida s'est tuée"
"41";"+";"-";"-";"-";"-";"<E>";"-";"-";"jaser";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"+";"-";"Léa jase auprès de son entourage de ce que Luc est parti"
"42";"+";"-";"-";"-";"-";"<E>";"-";"-";"jouer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Luc joue auprès d'Eva de ce qu'il gagne"
"43";"+";"+";"+";"+";"-";"<E>";"-";"-";"justifier";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"auprès de";"+";"+";"+";"-";"-";"-";"+";"-";"(Jean+Cette affaire) justifie (à+auprès de)Max"
