"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"139";"+";"-";"-";"-";"<E>";"-";"-";"ébruiter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a ébruité qu'Ida partait"
"140";"+";"-";"-";"-";"<E>";"-";"-";"échafauder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a échafaudé qu'il aille voir Ida"
"141";"+";"+";"+";"-";"<E>";"-";"-";"éclaircir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Max éclaircira si Paul viendra ou pas"
"142";"+";"+";"+";"+";"<E>";"-";"-";"éclairer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"ceci éclaire que Paul ne soit pas venu"
"143";"+";"-";"-";"-";"<E>";"-";"-";"éclater";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max éclata que tout était raté"
"144";"+";"+";"+";"-";"<E>";"-";"-";"économiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Luc économise d'aller voir Ida"
"145";"+";"-";"-";"-";"<E>";"-";"-";"écouter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"Max écoute si Léa est rentrée ou non"
"146";"+";"-";"-";"-";"s'";"+";"-";"écrier";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max s'écria que Léa était folle"
"147";"+";"-";"-";"-";"<E>";"-";"-";"écrire";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a écrit dans son article que la terre s'arrêterait"
"148";"+";"-";"-";"-";"<E>";"-";"-";"élaborer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Le concepteur a élaboré qu'une tour se dresserait ici"
"149";"+";"-";"-";"-";"<E>";"-";"-";"éliminer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max a éliminé que Luc arrive en retard"
"150";"+";"+";"+";"-";"<E>";"-";"-";"élucider";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max n'a pas élucidé si Luc était revenu ou pas"
"151";"+";"-";"-";"-";"<E>";"-";"-";"éluder";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"Max a éludé le fait qu'il a été en prison"
"152";"+";"-";"-";"-";"<E>";"-";"-";"emmagasiner";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"Max a enfin emmagasiné que E égale MC2"
"153";"~";"~";"~";"~";"<E>";"-";"-";"empêcher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Qu'il soit malade empêche que Max parte"
"154";"-";"+";"+";"-";"n'";"-";"+";"empêcher pas";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Qu'il pleuve n'empêche pas que Max viendra"
"155";"+";"-";"-";"-";"n'";"-";"+";"encadrer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max n'encadre pas que Léa arrive en retard"
"156";"+";"-";"-";"-";"<E>";"-";"-";"encaisser Advm";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max encaisse mal que Luc soit en retard"
"157";"+";"+";"+";"-";"<E>";"-";"-";"encourager";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"Cette loi encourage que les gens ne paient pas leurs impôts"
"158";"+";"+";"+";"-";"<E>";"-";"-";"encourir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max encourt que les flics l'accusent de complicité"
"159";"+";"-";"-";"-";"<E>";"-";"-";"endosser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max endosse La responsabilité du retard de Luc"
"160";"+";"-";"-";"-";"<E>";"-";"-";"endurer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max a longtemps enduré qu'Eva vienne en retard"
"161";"+";"-";"-";"-";"s'";"+";"-";"enfiler";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max s'est enfilé (de laver le linge+tout le travail)"
