"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"271";"+";"-";"-";"-";"s'";"+";"-";"interroger";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'interroge s'il viendra ou non"
"272";"+";"-";"-";"-";"<E>";"-";"-";"intuiter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"Max a intuité que Léa allait partir"
"273";"+";"-";"-";"-";"<E>";"-";"-";"inventer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a inventé que Léa partirait"
"274";"+";"-";"-";"-";"<E>";"-";"-";"investiguer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"La commission investiguera si les normes sont remplies"
"275";"+";"-";"-";"-";"<E>";"-";"-";"jauger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"Max a jaugé qu'il valait mieux venir"
"276";"+";"-";"-";"-";"<E>";"-";"-";"juger";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max jugera de ce que Luc ne vienne ou pas"
"277";"+";"-";"-";"-";"<E>";"-";"-";"jurer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a juré (la perte de+qu'il perdrait)Luc"
"278";"~";"~";"~";"~";"se";"+";"-";"jurer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s 'est juré que Léa ne réussirait pas"
"279";"~";"~";"~";"~";"<E>";"-";"-";"jurer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"As tu vu cette fille,on jurerait que c'est ma soeur"
"280";"+";"-";"-";"-";"<E>";"-";"-";"légiférer";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Le parlement a légiféré que les impôts seraient doublés"
"281";"+";"-";"-";"-";"<E>";"-";"-";"légitimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Le Conseil d'Etat a légitimé que Max prenne cette décision"
"282";"+";"-";"-";"-";"<E>";"-";"-";"lésiner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max lésine que le pourboire est trop gros"
"283";"+";"-";"-";"-";"<E>";"-";"-";"linotyper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a linotypé que tout était en ordre"
"284";"+";"-";"-";"-";"<E>";"-";"-";"localiser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max n'a pas pu localiser si le bruit venait de droite ou de gauche"
"285";"+";"-";"-";"-";"<E>";"-";"-";"lorgner";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max lorgne si Flo est arrivée ou non"
"286";"+";"-";"-";"-";"<E>";"-";"-";"louper";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max a loupé l'affaire"
"287";"+";"+";"+";"+";"<E>";"-";"-";"magnifier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a magnifié que son pays avait raison"
"288";"~";"~";"~";"~";"<E>";"-";"-";"manager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a managé que ce film sortirait à la rentrée"
"289";"~";"~";"~";"~";"<E>";"-";"-";"manigancer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Luc a manigancé (seul toute l'affaire + de s'échapper) "
"290";"+";"+";"+";"+";"<E>";"-";"-";"maquiller";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Luc a maquillé que Bob volait dans la caisse"
"291";"+";"+";"+";"-";"<E>";"-";"-";"marquer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Ces observations marquent que Paul est à droite"
"292";"+";"-";"-";"-";"<E>";"-";"-";"mater";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max mate si les flics arrivent"
"293";"+";"+";"+";"-";"<E>";"-";"-";"matérialiser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Cette ligne matérialise qu'il est interdit de dépasser"
"294";"+";"+";"+";"-";"<E>";"-";"-";"méconnaître";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max méconnaît (E+le fait)que Marie est ici"
"295";"+";"-";"-";"-";"<E>";"-";"-";"méditer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max médite (de renverser+le renversement du)tyran"
"296";"~";"~";"~";"~";"se";"+";"-";"méfier se";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne s'est pas méfié que la porte était fermée"
"297";"+";"-";"-";"-";"<E>";"-";"-";"méjuger";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max a méjugé si Ida pourrait venir ou non"
"298";"+";"-";"-";"-";"<E>";"-";"-";"mémoriser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a mémorisé que E égale Mc2"
"299";"+";"+";"+";"-";"<E>";"-";"-";"mériter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max mérite qu'on le décore"
"300";"+";"-";"-";"-";"<E>";"-";"-";"mésestimer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a mésestimé qu'on pourrait le poursuivre"
"301";"+";"+";"+";"+";"<E>";"-";"-";"mesurer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"Max mesure si Ida doit venir ou non"
"302";"~";"~";"~";"~";"<E>";"-";"-";"microficher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a microfiché ce texte"
"303";"+";"-";"-";"-";"<E>";"-";"-";"microfilmer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a microfilmé (E+l'instruction)que les mots doivent être codés"
"304";"~";"~";"~";"~";"<E>";"-";"-";"miméographier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a miméographié l'instruction que tout devra être en ordre"
"305";"+";"-";"-";"-";"<E>";"-";"-";"mirer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max mire si l'oeuf est frais ou non"
"306";"~";"~";"~";"~";"<E>";"-";"-";"montrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les signaux montrent qu'un train, arrive"
"307";"+";"-";"-";"-";"<E>";"-";"-";"multigraphier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a multigraphié que la séance commencerait à 10 heures"
"308";"+";"+";"+";"-";"<E>";"-";"-";"négliger";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max a négligé qu'il allait pleuvoir"
"309";"+";"-";"-";"-";"<E>";"-";"-";"nier";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Cet historien nie que Louis II ait été assassiné"
"310";"+";"-";"-";"-";"<E>";"-";"-";"nier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a nié qu'il ait commis ce crime"
"311";"+";"-";"-";"-";"<E>";"-";"-";"noter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max note (que Léa est absente+son impatience)"
"312";"+";"+";"+";"+";"<E>";"-";"-";"objectiver";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a réussi à objectiver (E+l'intuition) qu'il ne s'était pas trompé"
"313";"+";"-";"-";"-";"<E>";"-";"-";"observer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a observé (E+à voix basse) que la porte était ouverte"
"314";"~";"~";"~";"~";"<E>";"-";"-";"observer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a observé que Léa avait grossi"
"315";"+";"-";"-";"-";"<E>";"-";"-";"obtenir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max a obtenu que la voiture démarre"
"316";"+";"+";"+";"+";"<E>";"-";"-";"occulter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a délibérément occulté le fait que Léa était partie"
"317";"+";"+";"+";"+";"<E>";"-";"-";"officialiser";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a officialisé qu'il vivait avec Léa"
"318";"+";"-";"-";"-";"<E>";"-";"-";"omettre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a omis (E+le fait)que Léa était venue"
"319";"+";"+";"+";"-";"<E>";"-";"-";"orchestrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a orchestré que tout le monde arriverait à huit heures"
"320";"+";"-";"-";"-";"<E>";"-";"-";"oublier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max a oublié que Léa était partie"
"321";"+";"-";"-";"-";"<E>";"-";"-";"ouïr";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"J'ai ouï que Léa était partie"
"322";"+";"-";"-";"-";"<E>";"-";"-";"palper";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max a du mal à palper que E=MC2"
"323";"+";"-";"-";"-";"<E>";"-";"-";"parapher";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Le préfet a paraphé que la construction était autorisée"
"324";"+";"-";"-";"-";"<E>";"-";"-";"parier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"Je parie qu'Ida est encore absente"
"325";"+";"-";"-";"-";"se";"+";"-";"payer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max s'est payé de faire la vaisselle"
"326";"~";"~";"~";"~";"<E>";"-";"-";"penser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a pensé qu'il partirait mais il est resté"
"327";"+";"-";"-";"-";"<E>";"-";"-";"penser";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"Max pense que Luc est malade"
"328";"~";"~";"~";"~";"<E>";"-";"-";"percer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a percé Luc dans ses intentions"
"329";"+";"-";"-";"-";"<E>";"-";"-";"percevoir";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"Max a perçu que Léa était fatiguée"
"330";"+";"-";"-";"-";"<E>";"-";"-";"peser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"Max pèse si Léa doit venir ou non"
"331";"+";"-";"-";"-";"<E>";"-";"-";"photocopier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a photocopié que la réunion était à 8 heures"
"332";"+";"-";"-";"-";"<E>";"-";"-";"photographier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a photographié que la réunion serait à 8 heures"
"333";"~";"~";"~";"~";"ne";"-";"+";"piffer";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne piffe pas que Léa s'en aille"
"334";"~";"~";"~";"~";"ne";"-";"+";"piffrer";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max ne piffre pas que Léa s'en aille"
"335";"+";"-";"-";"-";"<E>";"-";"-";"pifométrer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Luc a pifométré que Marie avait 10 minutes de retard"
"336";"+";"-";"-";"-";"<E>";"-";"-";"piger";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"Max a pigé que Léa ne reviendrait pas"
"337";"+";"+";"+";"-";"<E>";"-";"-";"planifier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a planifié que tout serait fini à trois heures"
"338";"+";"-";"-";"-";"<E>";"-";"-";"polycopier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a polycopié le tract"
"339";"+";"-";"-";"-";"<E>";"-";"-";"polygraphier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Luc a polygraphié que la réunion aurait lieu à 12 heures"
"340";"+";"-";"-";"-";"<E>";"-";"-";"pontifier";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Bob pontifie qu'il est le meilleur"
"341";"+";"+";"+";"+";"<E>";"-";"-";"populariser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Cette mode a popularisé que l'on emploie cet adjectif"
"342";"+";"-";"-";"-";"<E>";"-";"-";"postuler";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max postule que tout doit être en ordre"
"343";"+";"-";"-";"-";"<E>";"-";"-";"potasser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Tous les enfants ont potassé que leurs ancêtres étaient les Gaulois"
"344";"+";"-";"-";"-";"<E>";"-";"-";"poursuivre";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max poursuivit que la situation était grave et qu'il fallait agir"
"345";"+";"+";"+";"-";"<E>";"-";"-";"précipiter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Cet événement a précipité le départ de Luc"
"346";"+";"+";"+";"-";"<E>";"-";"-";"prédéterminer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Cette loi prédétermine que la terre se refroidisse"
"347";"+";"+";"+";"-";"<E>";"-";"-";"préétablir";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Ces dispositions préétablissent que le candidat doit être élu à la majorité"
"348";"-";"+";"+";"-";"<E>";"-";"-";"préfigurer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Ce symptôme préfigure que le peuple se soulèvera"
"349";"+";"-";"-";"-";"<E>";"-";"-";"préméditer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Max a prémédité de voler la banque"
"350";"+";"-";"-";"-";"<E>";"-";"-";"prendre Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Max a mal pris que Léa parte"
"351";"+";"+";"+";"+";"<E>";"-";"-";"préparer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Ceci a préparé que Marie vienne"
"352";"~";"~";"~";"~";"<E>";"-";"-";"présager";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max présage que tout ira bien"
"353";"+";"-";"-";"-";"<E>";"-";"-";"pressentir";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a pressenti que quelque chose se passait à ce que Léa n'était pas là"
"354";"+";"-";"-";"-";"<E>";"-";"-";"présumer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max présume que Luc viendra"
"355";"+";"-";"-";"-";"<E>";"-";"-";"présupposer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max présuppose que tout ira bien"
"356";"+";"+";"+";"-";"<E>";"-";"-";"prétendre";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max prétend qu'on lui obéisse"
"357";"+";"-";"-";"-";"<E>";"-";"-";"prévoir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max a prévu que Léa arriverait en retard"
"358";"+";"-";"-";"-";"<E>";"-";"-";"prier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max prie (E+pour)qu'il pleuve"
