"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 V Loc N2";"Tp = Tc";"Vc =: avoir";"Vc =: être";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Vc =: vouloir";"Vc =: aimer";"où N0 V-il N1 ?";"V1-inf W = Ppv";"Loc N2 = ici";"Loc N2 = là";"Loc N2 =: à Nhum";"Loc N2 =: à N-hum";"Loc N2 =: dans N2";"Loc N2 =: de N2";"[passif par]";"[passif de]";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"29";"+";"-";"-";"<E>";"mener";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max mène Ida se faire coiffer";"to take"
"30";"~";"~";"~";"<E>";"monter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max monte Luc à la gare prendre un train";"?"
"31";"+";"-";"-";"<E>";"parachuter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"On a parachuté Max alerter les copains";"to parachute"
"32";"+";"+";"+";"<E>";"piloter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max pilote Léa visiter Gap";"to guide"
"33";"+";"-";"-";"<E>";"pousser";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Le choc a poussé Luc heurter la barricade";"to push"
"34";"~";"~";"~";"<E>";"précéder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a précédé Luc sur la ligne d'arrivée";"?"
"35";"+";"-";"-";"<E>";"projeter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max projette l'eau éclabousser le mur";"to throw"
"36";"~";"~";"~";"<E>";"promener";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max promène Ida dans le parc prendre l'air";"?"
"37";"+";"-";"-";"<E>";"propulser";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Le choc a propulsé Max heurter le mur";"to hurl"
"38";"+";"-";"-";"<E>";"raccompagner";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Guy raccompagne Marie retrouver Max";"to take"
"39";"+";"-";"-";"<E>";"ramener";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max ramène Luc boire un verre";"to take back"
"40";"+";"-";"-";"<E>";"rapporter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max a rapporté sa montre se faire réparer";"to take back"
"41";"+";"-";"-";"<E>";"reconduire";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max reconduit Léa chez elle se reposer";"to take back"
"42";"+";"-";"-";"<E>";"réexpédier";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max a réexpédié Luc se faire soigner";"to send back"
"43";"~";"~";"~";"<E>";"rejoindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a rejoint Ida sur la place boire un pot";"?"
"44";"+";"-";"-";"<E>";"remmener";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Luc remmène Ida à la maison se reposer";"to take back"
"45";"+";"-";"-";"<E>";"remorquer";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"On a remorqué la voiture au garage se faire réparer";"to tow"
"46";"+";"-";"-";"<E>";"remporter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max a remporté sa voiture se faire réparer";"to take back"
"47";"+";"+";"+";"<E>";"renvoyer";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max a renvoyé Léa acheter du vin";"to send back"
"48";"~";"~";"~";"<E>";"suivre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max suit Luc (E + dans la chambre) boire un coup";"to follow"
"49";"+";"-";"-";"<E>";"tracter";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max a tracté la voiture au garage se faire réparer";"to tow"
"50";"+";"-";"-";"<E>";"traîner";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max traîne Ida voir un film";"?"
"51";"+";"-";"-";"<E>";"transporter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max transporte les gens voir l'Etna";"to transport"
"52";"+";"-";"-";"<E>";"trimbaler";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max trimbale Ida visiter les monuments";"to trail along"
"53";"+";"-";"-";"<E>";"véhiculer";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max véhiculé Léa prendre l'avion";"to transport"
"54";"+";"-";"-";"<E>";"voiturer";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max voiture Ida se faire soigner";"to transport by car"

