"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"86";"-";"-";"-";"-";"<E>";"pousser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a poussé Luc jusqu'à la présidence"
"87";"~";"~";"~";"~";"<E>";"précéder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Bob a précédé Ted à ce poste"
"88";"-";"+";"-";"+";"<E>";"prendre";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max prend Luc dans son service"
"89";"-";"-";"-";"-";"<E>";"prosterner";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max prosterne Ida de force sur les dalles"
"90";"-";"+";"+";"-";"<E>";"rallier";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Le général a rallié les soldats sur le plateau"
"91";"-";"-";"-";"-";"<E>";"rameuter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le spectacle rameute les gens sur place"
"92";"-";"-";"-";"-";"<E>";"ratatiner";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La maladie a ratatiné Max dans son fauteuil"
"93";"-";"-";"-";"-";"<E>";"recaser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"<E>";"case";"Max a recasé son fils dans la légion"
"94";"-";"+";"-";"-";"<E>";"recevoir";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Max reçoit les arrivants dans le salon"
"95";"-";"-";"-";"-";"<E>";"recevoir";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a reçu Max(au Bac+à l'X)"
"96";"-";"-";"-";"+";"<E>";"réclamer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On réclame Paul chez le directeur"
"97";"-";"-";"-";"-";"<E>";"reclasser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a reclassé Max dans l'armée"
"98";"-";"-";"-";"-";"<E>";"reconvertir";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a reconverti les techniques dans la gestion"
"99";"-";"+";"-";"-";"<E>";"recueillir";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"<E>";"Max recueille les chiens perdus chez sa soeur"
"100";"-";"-";"-";"-";"<E>";"recycler";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"cycle";"On a recyclé Max dans la robotique"
"101";"-";"-";"+";"-";"<E>";"réinsérer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Cet organisme réinsère les prisonniers dans la vie professionnelle"
"102";"-";"-";"+";"-";"<E>";"réintégrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"On a réintégré Max dans(sa nationalité+son emploi)"
"103";"+";"-";"-";"-";"<E>";"reléguer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"On a relégué Max outre-mer"
"104";"-";"-";"-";"-";"<E>";"rencogner";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"coin";"Max a rencogné Ida dans un coin"
"105";"-";"-";"-";"-";"<E>";"reporter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce souvenir nous reporte dix ans en arrière"
"106";"+";"-";"-";"-";"<E>";"repousser";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"On a repoussé l'ennemi derrière la frontière"
"107";"-";"-";"+";"-";"<E>";"sortir";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max sort Ida au restaurant"
"108";"-";"-";"-";"-";"<E>";"syndiquer";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"syndiqué";"syndicat";"Max a syndiqué son fils au BLURP"
"109";"-";"-";"-";"-";"<E>";"tapir";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"La peur tapit les civils dans les caves"
"110";"-";"-";"-";"-";"<E>";"terrer";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"La peur terrait les civils dans les caves"
"111";"-";"-";"-";"-";"<E>";"traîner";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max traîne Ida dans les réceptions"
"112";"-";"-";"-";"-";"<E>";"vautrer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Le metteur en scène a vautré l'acteur sur le canapé"
"113";"-";"-";"-";"-";"<E>";"verser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On a versé Paul dans un autre service"

