"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"158";"+";"+";"+";"+";"-";"+";"<E>";"porter";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a porté sur la fiche qu'il avait 18 ans"
"159";"+";"+";"+";"+";"-";"+";"<E>";"postposer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a postposé des remerciements à la préface"
"160";"-";"+";"+";"-";"+";"+";"<E>";"postuler";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci postule pour Max qu'il s'expatrie"
"161";"-";"+";"+";"-";"+";"+";"<E>";"préciser";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ce rapport précise pour Max qu'il devra partir"
"162";"-";"+";"+";"-";"+";"+";"<E>";"préjuger";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci ne préjuge pas pour Paul qu'il doive partir"
"163";"-";"+";"+";"-";"+";"+";"<E>";"présager";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Cette situation présage pour Max que tout ira bien"
"164";"-";"+";"+";"-";"+";"+";"<E>";"présumer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci présume pour Max qu'il aille là-bas"
"165";"-";"+";"+";"-";"+";"+";"<E>";"présupposer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"La situation présuppose pour Max qu'il travaillera"
"166";"-";"+";"+";"-";"+";"-";"<E>";"prévoir";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Cette loi prévoit que les cadres paieront plus de taxes"
"167";"-";"+";"+";"-";"+";"+";"<E>";"promettre";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"La situation promet pour Max d'être profitable"
