"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"1";"-";"+";"+";"-";"+";"-";"<E>";"abolir";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ces ordres ont aboli pour Max de devoir faire ça"
"2";"~";"~";"~";"~";"~";"~";"<E>";"abolir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"J'ai aboli de ma mémoire que Paul était revenu"
"3";"+";"-";"-";"-";"-";"-";"<E>";"abriter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max abrite dans son subconscient qu'il hait Ida"
"4";"+";"+";"+";"+";"-";"+";"<E>";"accoler";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"J' ai accolé à mon rapport que Max avait fait une faute professionnelle"
"5";"+";"+";"+";"+";"-";"-";"<E>";"accréditer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"auprès de";"+";"-";"-";"-";"-";"+";"-";"Max a accrédité auprès des parents la nouvelle que Luc est mort"
"6";"+";"+";"+";"+";"-";"+";"<E>";"accrocher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Paul a accroché à son rapport que l'impôt était inégal"
"7";"+";"+";"+";"+";"-";"+";"<E>";"adjoindre";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a adjoint à son rapport que tout était en ordre"
"8";"+";"-";"-";"-";"-";"-";"<E>";"agrafer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a agrafé à son rapport qu'il y avait eu un accident"
"9";"+";"+";"+";"+";"-";"+";"<E>";"ajouter";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a ajouté au dossier que l'accord avait été respecté"
"10";"+";"+";"+";"-";"-";"-";"<E>";"amener";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a amené dans la conversation qu'il était ministre"
"11";"~";"~";"~";"~";"~";"~";"<E>";"amorcer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"Max a amorcé par ces mesures que le travail reprenne"
"12";"+";"+";"+";"+";"-";"+";"<E>";"amputer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a amputé de son rapport que Luc avait fait une faute"
"13";"+";"+";"+";"+";"-";"+";"<E>";"ancrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a ancré dans sa mémoire qu'il devait retrouver Ida"
"14";"+";"+";"+";"+";"-";"+";"<E>";"annexer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a annexé à son rapport que Luc était en faute"
"15";"+";"+";"+";"-";"-";"+";"<E>";"apporter";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Cette remarque a apporté dans la discussion que tout devait "
"16";"+";"-";"-";"-";"-";"-";"<E>";"apprendre";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"par";"+";"-";"-";"-";"-";"-";"-";"Max a appris (par+de)Luc qu'il avait réussi"
"17";"+";"+";"+";"+";"-";"+";"<E>";"arracher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a arraché de l'esprit de Luc qu'il se venge"
"18";"+";"-";"-";"-";"-";"-";"<E>";"arranger";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a arrangé avec Luc que tout fonctionne pour demain"
"19";"+";"+";"+";"+";"-";"+";"<E>";"attacher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a attaché à son rapport que Luc a fait une faute"
"20";"+";"-";"-";"-";"-";"-";"<E>";"attraper";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"-";"+";"-";"Max a attrapé au vol que Luc était parti"
"21";"+";"+";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"pour+comme";"-";"+";"+";"+";"+";"-";"-";"Max a pour preuve de cela qu'il ne s'est pas montré"
"22";"+";"+";"+";"+";"-";"+";"<E>";"balayer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a balayé de son esprit que Luc l'avait trompé"
"23";"+";"+";"+";"+";"-";"+";"<E>";"bannir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a banni de son esprit qu'il puisse faire de telles choses"
"24";"+";"-";"-";"-";"-";"-";"<E>";"barbouiller";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a barbouillé sur le mur qu'il protestait"
"25";"+";"-";"-";"-";"-";"-";"<E>";"barrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a barré de son rapport qu'Ida avait fait une faute"
"26";"+";"-";"-";"-";"-";"-";"<E>";"baser";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"sur";"-";"+";"-";"-";"-";"+";"-";"Max a basé sur ces considérations de partir demain"
"27";"+";"-";"-";"-";"-";"-";"<E>";"bâtir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Loc";"-";"+";"-";"-";"-";"+";"-";"Max a bâti sur des principes faux que e=-mc2"
"28";"+";"+";"+";"+";"-";"+";"<E>";"bercer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max berce dans sa tête qu'il se vengera"
"29";"+";"-";"-";"-";"-";"-";"<E>";"biffer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a biffé de son rapport qu'Ida avait fait une faute"
"30";"~";"~";"~";"~";"~";"~";"<E>";"bloquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"Ceci bloque pour paul de pouvoir faire ça"
"31";"+";"-";"-";"-";"-";"-";"<E>";"bomber";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a bombé sur le mur que les flics étaient vaches"
"32";"+";"-";"-";"-";"-";"-";"<E>";"broder";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a brodé sur ce thème que Luc était bête et méchant"
"33";"+";"+";"+";"-";"-";"+";"<E>";"butiner";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a butiné  dans ce rapport que rien ne fonctionnait"
"34";"+";"-";"-";"-";"-";"-";"<E>";"capter";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"sur";"-";"+";"-";"+";"+";"+";"+";"Max a capté sur son poste que Luc était un danger"
"35";"+";"-";"-";"-";"-";"-";"<E>";"caractériser";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"par";"-";"+";"-";"-";"-";"+";"-";"Max a caractérisé par deux observations que Luc avait réussi"
"36";"+";"-";"-";"-";"-";"-";"<E>";"changer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a changé dans le texte que Luc mourrait"
"37";"+";"+";"+";"+";"-";"+";"<E>";"chasser";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a chassé de sa mémoire qu'Ida était partie"
"38";"+";"-";"-";"-";"-";"-";"<E>";"chiffrer";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"+";"-";"Max chiffre en code que Luc arrivera demain"
"39";"+";"-";"-";"-";"-";"-";"<E>";"coder";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"+";"-";"Max code en octal que le programme bouclera"
"40";"+";"-";"-";"-";"-";"-";"<E>";"coller";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a collé à son rapport que Luc était en faute"
"41";"+";"-";"-";"-";"-";"-";"<E>";"combiner";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"Max a combiné avec Luc qu'il se rendrait à gap"
"42";"-";"+";"+";"-";"+";"+";"<E>";"compenser";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Cet avantage compense pour Max(qu'il se soit absenté+d'avoir été absent)"
"43";"+";"-";"-";"-";"-";"-";"<E>";"comploter";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"avec";"+";"-";"-";"-";"-";"+";"-";"Max a comploté avec Luc qu'ils viendraient"
"44";"-";"+";"+";"-";"+";"+";"<E>";"comporter";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ce travail comporte pour Max qu'il quitte son poste"
"45";"+";"-";"-";"-";"-";"-";"<E>";"composer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a composé son nom sur le clavier"
"46";"-";"+";"+";"-";"+";"-";"<E>";"comprendre";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"pour";"+";"-";"-";"-";"-";"-";"-";"Faire ce travail comprend pour Max qu'il nettoie tout"
"47";"+";"+";"+";"-";"-";"-";"<E>";"concentrer";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"en";"-";"+";"-";"-";"-";"+";"-";"Max a concentré en deux lignes que Luc avait résolu le problème"
"48";"+";"-";"-";"-";"-";"-";"<E>";"concerter";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"avec";"+";"-";"-";"-";"-";"+";"-";"Max a concerté avec Luc qu'ils partiraient"
"49";"+";"+";"+";"-";"-";"-";"<E>";"condenser";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"en";"-";"+";"-";"-";"-";"+";"-";"Max a condensé en dix lignes que Luc était en faute"
"50";"-";"+";"+";"-";"+";"-";"<E>";"conditionner";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"pour";"-";"+";"+";"+";"+";"-";"+";"Sa venue conditionne pour Luc que tout soit remis en ordre"
"51";"~";"~";"~";"~";"~";"~";"<E>";"conjurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"Max a conjuré avec Zoe la chute de Bob"
"52";"+";"+";"+";"+";"-";"+";"<E>";"conserver";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a conservé dans(sa mémoire+son rapport)que Paul était parti"
"53";"+";"-";"-";"-";"-";"-";"<E>";"consigner";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a consigné dans son rapport que Luc était en faute"
"54";"+";"-";"-";"-";"-";"-";"<E>";"conspirer";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"avec";"+";"-";"-";"-";"-";"+";"-";"Max conspire avec Luc qu'ils attaqueront la banque"
"55";"~";"~";"~";"~";"~";"~";"<E>";"contrebalancer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"Cette loi contrebalance pour les commerçants qu'ils aient souffert"
"56";"~";"~";"~";"~";"~";"~";"<E>";"contrebalancer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"Max a contrebalancé par une loi que les commerçants aient souffert"
"57";"+";"-";"-";"-";"-";"-";"<E>";"copier";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a copié (dans+de)ce texte que Luc avait fait une faute"
"58";"+";"-";"-";"-";"-";"-";"<E>";"coucher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a couché dans son rapport que Luc était en faute"
"59";"+";"-";"-";"-";"-";"-";"<E>";"crayonner";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Loc";"-";"+";"+";"+";"-";"+";"-";"Max a crayonné sur sa feuille que Luc était en faute"
"60";"+";"-";"-";"-";"-";"-";"<E>";"crypter";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"+";"-";"Max a crypté en code Z23 qu'une attaque se préparait"
"61";"-";"+";"+";"-";"+";"-";"<E>";"déclencher";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Cette loi déclenche pour Max qu'il passe dans l'opposition"
"62";"+";"-";"-";"-";"-";"-";"<E>";"déposer";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"auprès de";"+";"-";"-";"-";"-";"-";"-";"Max a déposé auprès du juge que Luc était en faute"
"63";"+";"+";"+";"+";"-";"+";"<E>";"déraciner";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a déraciné de son esprit que ces racontars concernaient Ida"
"64";"+";"+";"+";"+";"-";"+";"<E>";"désincruster";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a désincrusté de sa mémoire que Luc l'avait quitté"
"65";"+";"+";"+";"+";"-";"+";"<E>";"détacher";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a détaché de son rapport que Luc était en faute"
"66";"-";"+";"+";"-";"+";"-";"<E>";"déterminer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"pour";"+";"-";"-";"-";"-";"-";"-";"Cette situation a déterminé pour Luc qu'il mette tout en ordre"
"67";"+";"+";"+";"+";"-";"+";"<E>";"déterrer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a déterré cette vieille histoire dans d'anciens journaux"
"68";"+";"+";"+";"-";"-";"+";"<E>";"disposer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a disposé dans le rapport que Luc était en faute"
"69";"+";"+";"+";"+";"-";"+";"<E>";"distiller";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"+";"+";"-";"Max a distillé (dans+son discours)qu'il était un opposant"
"70";"+";"+";"+";"+";"-";"+";"<E>";"écarter";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a écarté de son programme(qu'Il rende+d'aller rendre)visite à Ida"
"71";"-";"+";"+";"+";"+";"+";"<E>";"écarter";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"pour";"+";"+";"-";"-";"+";"-";"-";"Ceci écarte pour Max(qu'il rende+de rendre)visite à Ida"
"72";"+";"+";"+";"+";"-";"+";"<E>";"effacer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"-";"+";"-";"Max a effacé de son esprit que Ida était revenue"
"73";"-";"+";"+";"+";"+";"+";"<E>";"éliminer";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"+";"-";"-";"Max a éliminé de son rapport que Luc arrivait en retard"
"74";"+";"-";"-";"-";"-";"-";"<E>";"emprunter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"+";"-";"+";"+";"-";"J'ai emprunté à son rapport qu'il faut faire vite"
"75";"+";"+";"+";"-";"-";"-";"<E>";"encadrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a encadré dans ce texte que Luc était absent"
"76";"+";"-";"-";"-";"-";"-";"<E>";"enchaîner";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"sur";"+";"+";"-";"-";"-";"-";"-";"Max a enchaîné sur cela que Léa ne viendrait plus"
"77";"+";"-";"-";"-";"-";"-";"<E>";"encoder";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"en";"-";"+";"-";"+";"-";"+";"-";"Max a encodé (en morse+le message)que tout va bien"
"78";"~";"~";"~";"~";"~";"~";"<E>";"enfoncer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a enfoncé dans sa tête que tout allait bien"
"79";"+";"+";"+";"+";"-";"+";"<E>";"enfouir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a enfoui dans sa mémoire qu'Ida était partie"
"80";"-";"+";"+";"-";"+";"-";"<E>";"englober";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"pour";"+";"-";"-";"-";"-";"-";"-";"Max a englobé dans sa théorie que la terre était ronde"
"81";"+";"+";"+";"-";"-";"+";"<E>";"engranger";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a engrangé dans sa mémoire que Marignan a eu lieu en 1515"
"82";"+";"+";"+";"+";"-";"+";"<E>";"enlever";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"-";"+";"+";"-";"Max a enlevé de son rapport que Léa avait fauté"
"83";"+";"+";"+";"+";"-";"+";"<E>";"enraciner";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"L'école a enraciné dans l'esprit de Max que la terre tournait"
"84";"+";"+";"+";"+";"-";"+";"<E>";"ensevelir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a enseveli dans son inconscient(que Léa buvait+ce souvenir)"
"85";"+";"-";"-";"-";"-";"-";"<E>";"entendre";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"par";"-";"+";"-";"-";"-";"-";"-";"Max entend par cette remarque que Luc est idiot"
"86";"+";"+";"+";"+";"-";"+";"<E>";"enterrer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Ida a enterré dans son inconscient qu'elle voulait épouser sa mère"
"87";"-";"+";"+";"-";"+";"+";"<E>";"entraîner";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"pour";"+";"+";"-";"-";"-";"-";"-";"Ceci entraîne que Max devra arriver tôt"
"88";"~";"~";"~";"~";"~";"~";"<E>";"entreprendre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"Max a entrepris |avec Luc|de monter une affaire"
"89";"+";"+";"+";"+";"-";"+";"<E>";"entrer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a entré dans le fichier que les verbes étaient codés"
"90";"~";"~";"~";"~";"~";"~";"<E>";"épingler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a épinglé dans son éditorial que Luc avait fraudé"
"91";"+";"+";"+";"-";"-";"-";"<E>";"ériger";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"+";"-";"Max érige en principe que la porte sera fermée"
"92";"~";"~";"~";"~";"~";"~";"<E>";"étaler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"On a étalé dans les journaux que Paul était compétent"
"93";"+";"+";"+";"-";"-";"-";"<E>";"étayer";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"de";"-";"+";"-";"-";"-";"+";"-";"Max a étayé d'arguments imparables que tout se passerait bien"
