"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: futur";"Tc =: passé";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"de N1 V N0";"N0 V contre Nhum";"<OPT>"
"160";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"rêver";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"Max rêve de ce que son projet réussisse"
"161";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"revivre";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"Max revit de ce que Flo soit revenue"
"162";"+";"-";"-";"-";"-";"se";"+";"-";"-";"rire";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se rit (de ce qu'on l'embête+des problèmes)"
"163";"+";"-";"-";"-";"-";"en";"-";"+";"-";"roter";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max en rote de ce qu'il s'est engagé"
"164";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"rougir";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"Max rougit d'avoir accepté ce travail"
"165";"~";"~";"~";"~";"~";"se";"+";"-";"-";"rouler de N";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se roule de rire de ce qu'Ida soit tombée"
"166";"+";"-";"-";"-";"-";"se";"+";"-";"-";"saisir";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Max se saisit de ce que la situation était grave"
"167";"-";"+";"+";"-";"+";"<E>";"-";"-";"-";"sortir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Que la situation empire sort de ce que l'argent augmente"
"168";"+";"-";"-";"-";"-";"se";"+";"-";"-";"soucier";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max se soucie de ce que tout soit en ordre"
"169";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"souffrir";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"Max souffre de ce que Léa lui ment"
