"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"39";"-";"+";"<E>";"délimiter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max délimite son pré de bornes"
"40";"-";"-";"<E>";"émarger";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max émarge le document de sa griffe"
"41";"-";"+";"<E>";"encercler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a encerclé la faute d'un trait rouge"
"42";"-";"-";"<E>";"endosser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a endossé le chèque de sa signature"
"43";"-";"+";"<E>";"enluminer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a enluminé le verset(de miniatures+d'enluminures)"
"44";"-";"+";"<E>";"entourer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max entoure son champ(d'une clôture+d'un fossé)"
"45";"-";"+";"<E>";"environner";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"La nature avait environné ce site de bois touffus"
"46";"~";"~";"<E>";"épigraphier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a épigraphié sa pierre tombale(d'une pierre tombale+d'un épigraphe)"
"47";"-";"+";"<E>";"estampiller";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a estampillé le document d'un tampon"
"48";"-";"+";"<E>";"étoiler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a étoilé le dais d'étoiles dorées"
