"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"43";"+";"-";"-";"-";"-";"<E>";"-";"brosser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a brossé à Luc que la situation était difficile"
"44";"-";"-";"-";"-";"-";"<E>";"-";"bruire";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Les feuilles bruissaient à Max que la pluie arrivait"
"45";"+";"-";"-";"-";"-";"<E>";"-";"câbler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max câble à Luc qu'il partira"
"46";"+";"-";"-";"-";"-";"<E>";"-";"cacaber";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max cacabe à Luc qu'il est prêt"
"47";"+";"-";"-";"-";"-";"<E>";"-";"cacarder";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max cacarde à Luc qu'il est prêt"
"48";"+";"+";"+";"+";"+";"<E>";"-";"cacher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"Max cache à Luc qu'il viendra"
"49";"+";"-";"-";"-";"-";"ne";"+";"cacher";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Je ne lui ai pas caché que j'étais furieux"
"50";"+";"-";"-";"-";"-";"<E>";"-";"cafarder";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a cafardé à Luc que Paul était en retard"
"51";"+";"-";"-";"-";"-";"<E>";"-";"cafter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a cafté au prof que Luc avait copié"
"52";"+";"+";"+";"+";"+";"<E>";"-";"camoufler";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max camoufle à Luc qu'Ida est partie"
