"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"136";"+";"+";"+";"-";"+";"<E>";"-";"économiser";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Cette lettre économise à Luc qu'il aille voir Ida"
"137";"+";"-";"-";"-";"-";"<E>";"-";"écrire";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max a écrit à Eva qu'il viendrait"
"138";"+";"-";"-";"-";"-";"<E>";"-";"édicter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Le roi a édicté au peuple que les impôts seraient doublés"
"139";"+";"-";"-";"-";"-";"<E>";"-";"émettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a émis l'avis que Luc viendrait"
"140";"+";"+";"+";"-";"+";"<E>";"-";"enjoindre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Ida enjoint à Max que tout soit en ordre"
"141";"+";"+";"+";"-";"+";"<E>";"-";"enlever";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Le juge a enlevé à Ida(de garder+la garde de)ses enfants"
"142";"+";"-";"-";"-";"-";"<E>";"-";"énoncer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a énoncé sentencieusement à Ida que E=MC2"
"143";"+";"+";"+";"-";"+";"<E>";"-";"enseigner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max enseigne à Ida que E=MC2"
"144";"+";"+";"+";"-";"+";"<E>";"-";"entrouvrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Sa réussite a entrouvert à Luc(E+la possibilité)qu'il soit élu"
"145";"+";"-";"-";"-";"-";"<E>";"-";"énumérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a énuméré à Ida que Luc était(bon+fier+grand et riche)"
"146";"+";"-";"-";"-";"-";"<E>";"-";"envier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"Max envie à Léa qu'elle soit une femme"
"147";"+";"-";"-";"-";"-";"<E>";"-";"envoyer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a envoyé à Ida qu'elle était toujours en retard"
"148";"+";"+";"+";"+";"+";"<E>";"-";"épargner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ceci épargne à Max(qu'on le dérange+d'aller le déranger)"
"149";"+";"-";"-";"-";"-";"<E>";"-";"épeler";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a épelé en morse à Zoé que les pois étaient murs"
"150";"+";"-";"-";"-";"-";"<E>";"-";"éructer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a éructé à Léa qu'il n'avait pas bu"
"151";"+";"-";"-";"-";"-";"<E>";"-";"esquisser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max esquisse à Léa qu'ils pourraient cambrioler une banque pour s'enrichir"
"152";"+";"+";"+";"-";"-";"<E>";"-";"étendre";"-";"+";"-";"-";"-";"-";"-";"~";"~";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Max a étendu aux motos que la vignette soit obligatoire"
"153";"+";"-";"-";"-";"-";"<E>";"-";"éternuer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a éternué à Léa qu'il était d'accord"
"154";"+";"+";"+";"-";"+";"<E>";"-";"éviter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Il faut éviter à Léa que Max vienne"
"155";"~";"~";"~";"~";"~";"<E>";"-";"évoquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max évoque ce problème (E + aux + devant les) assistants"
"156";"~";"~";"~";"~";"~";"<E>";"-";"exagérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max exagère à Paul que Léa soit partie"
"157";"+";"-";"-";"-";"-";"<E>";"-";"exhiber";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max a pu exhibé à Léa qu'elle avait fait une erreur"
"158";"+";"+";"+";"-";"+";"<E>";"-";"expliciter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max explicite au conseil s'il vient poursuivre sa mission ou y renoncer"
"159";"-";"+";"+";"-";"+";"<E>";"-";"expliquer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Ceci explique à Luc qu'il doive être à l'heure"
"160";"+";"-";"-";"-";"-";"<E>";"-";"expliquer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max explique à Luc qu'il devra être à l'heure"
"161";"+";"+";"+";"-";"+";"<E>";"-";"exposer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"Max expose à Luc que les choses ne sont pas si simples"
"162";"+";"+";"+";"-";"+";"<E>";"-";"exprimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max exprime à Marie qu'il n'est pas content"
"163";"~";"~";"~";"~";"~";"<E>";"-";"extirper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a extirpé à Léa (E + la promesse) qu'elle viendrait demain"
"164";"+";"-";"-";"-";"-";"<E>";"-";"extorquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a extorqué à Léa(E+la promesse)qu'elle viendrait"
"165";"+";"-";"-";"-";"-";"<E>";"-";"extraire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a extrait à Luc(E+l'information)qu'il viendrait demain"
"166";"+";"+";"+";"-";"+";"<E>";"-";"faciliter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max lui a facilité de partir"
"167";"-";"+";"+";"~";"~";"<E>";"-";"faire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette histoire lui fait qu'il n'est pas content"
"168";"+";"-";"-";"-";"-";"<E>";"-";"fanfaronner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max fanfaronne à la cantonade qu'il est le meilleur"
"169";"~";"~";"~";"~";"~";"<E>";"-";"faxer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max faxe à Ida qu'il viendra demain"
"170";"+";"-";"-";"-";"-";"<E>";"-";"feuler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le tigre lui a feulé qu'il avait faim"
"171";"+";"-";"-";"-";"-";"<E>";"-";"filer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a filé dans les dents à Marie que Luc était parti"
"172";"+";"-";"-";"-";"-";"<E>";"-";"fixer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"Max a fixé a Luc qu'ils se trouveraient sous la pendule"
"173";"+";"-";"-";"-";"-";"<E>";"-";"flanquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a flanqué à Luc(E+pour tâche)de nettoyer la salle"
"174";"+";"-";"-";"-";"-";"<E>";"-";"formuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max n'a pas formulé à Ida qu'il l'aimait"
"175";"+";"-";"-";"-";"-";"<E>";"-";"fredonner";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max fredonne Léa qu'il aime"
"176";"+";"+";"+";"-";"+";"<E>";"-";"garantir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"Max garantit à Léa qu'elle pourra revenir"
"177";"+";"-";"-";"-";"-";"<E>";"-";"gargouiller";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a gargouillé à Léa qu'il allait très mal"
"178";"~";"~";"~";"~";"~";"<E>";"-";"gasconner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max gasconne à Pitou qu'il est le meilleur"
"179";"+";"-";"-";"-";"-";"<E>";"-";"gâtifier";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gâtifie à Luc qu'il a fait 14-18"
"180";"+";"-";"-";"-";"-";"<E>";"-";"gaudrioler";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gaudriole à Léa qu'il la trouve gironde"
"181";"+";"-";"-";"-";"-";"<E>";"-";"gauloiser";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gauloise à l'assemblée que le mouton est un animal à poil laineux"
"182";"+";"-";"-";"-";"-";"<E>";"-";"gazouiller";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Titi gazouille à Léa qu'il a faim"
"183";"+";"-";"-";"-";"-";"<E>";"-";"gémir";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gémit à Léa qu'il a froid"
"184";"+";"-";"-";"-";"-";"<E>";"-";"gesticuler";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a gesticulé à Léa qu'il voulait partir"
"185";"+";"-";"-";"-";"-";"<E>";"-";"glapir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida glapit à Max qu'il la dégoûte"
"186";"+";"-";"-";"-";"-";"<E>";"-";"glatir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"L'aigle glatit à ses petits qu'il faut rentrer au nid"
"187";"+";"-";"-";"-";"-";"<E>";"-";"glisser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a glissé à Bob que Léa était partie"
"188";"+";"-";"-";"-";"-";"<E>";"-";"glouglouter";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le tonneau lui glougloutait qu'il avait soif"
"189";"+";"-";"-";"-";"-";"<E>";"-";"glousser";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Léa glousse à Max qu'il lui plaît"
"190";"+";"-";"-";"-";"-";"<E>";"-";"goualer";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Berthe gouale à son fils que les roses blanches sont fanées"
"191";"+";"-";"-";"-";"-";"<E>";"-";"grailler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida a graillé à Max qu'elle était enrouée"
"192";"+";"-";"-";"-";"-";"<E>";"-";"graillonner";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max graillonne à Léa qu'il est enrhumé"
"193";"+";"-";"-";"-";"-";"<E>";"-";"grasseyer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max grasseye à Léa qu'il est enrhumé"
"194";"-";"-";"-";"-";"-";"<E>";"-";"grésiller";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"La radio grésille à Max que tout est en ordre"
"195";"+";"-";"-";"-";"-";"<E>";"-";"gribouiller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gribouille à Léa que tout est en ordre"
"196";"+";"-";"-";"-";"-";"<E>";"-";"griffonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a griffonné à Léa que tout est en ordre"
"197";"+";"-";"-";"-";"-";"<E>";"-";"grimacer";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"Max grimace à Léa que tout va mal"
"198";"+";"-";"-";"-";"-";"<E>";"-";"grincer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max grince à Léa qu'elle l'agace"
"199";"+";"-";"-";"-";"-";"<E>";"-";"grognasser";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida grognasse à Luc que tout va mal"
"200";"+";"-";"-";"-";"-";"<E>";"-";"grogner";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max grogne à Léa qu'elle l'agace"
"201";"+";"-";"-";"-";"-";"<E>";"-";"grognonner";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max grognonne à Léa qu'il est "
"202";"+";"-";"-";"-";"-";"<E>";"-";"grommeler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max grommelle à Léa qu'elle ferme la porte"
"203";"+";"-";"-";"-";"-";"<E>";"-";"gronder";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gronde à Léa qu'il n'est pas content"
"204";"+";"-";"-";"-";"-";"<E>";"-";"gueuler";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max gueule à Léa(qu'il n'est pas content+de fermer la porte)"
"205";"+";"-";"-";"-";"-";"<E>";"-";"haleter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max halète à Léa qu'il est essoufflé"
"206";"+";"-";"-";"-";"-";"<E>";"-";"hasarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a hasardé à Léa qu'elle pourrait venir tôt"
"207";"+";"-";"-";"-";"-";"<E>";"-";"hennir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max hennit à Léa qu'elle vienne au trot"
