"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"585";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de yens";"dans";"Poss0";"-";"  comptabilité";"§a§un trou d'yens dans sa comptabilité "
"586";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  trou de yens";"dans";"Poss0";"-";"  comptes";"§a§un trou d'yens dans ses comptes "
"587";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"du";"-";"-";"  vague";"à";"la";"-";"  âme";"§a§du vague à l'âme "
"588";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  valises";"sous";"les";"+";"  yeux";"§a§des valises sous les yeux "
"589";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"de la";"-";"-";"  veine";"à";"le";"-";"  jeu";"§a§de la veine au jeu "
"590";"+";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"-";"-";"  vent";"en";"<E>";"-";"  poupe";"§a§le vent en poupe "
"591";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"du";"-";"-";"  vent";"dans";"les";"-";"  voiles";"§a§du vent dans les voiles "
"592";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"un";"-";"+";"  verre";"dans";"le";"+";"  nez";"§a§un verre dans le nez "
"593";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"-";"  vide";"à";"le";"+";"  coeur";"§a§un vide au coeur "
"594";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"<E>";"-";"-";"  vingt";"sur";"<E>";"-";"  vingt";"§a§vingt sur vingt "
"595";"-";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  voile";"devant";"les";"+";"  yeux";"§a§un voile devant les yeux "
"596";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"la";"-";"-";"  voiture";"à";"<E>";"-";"  payer";"§a§la voiture à payer "
"597";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  voix";"à";"le";"-";"  chapitre";"§a§voix au chapitre "
"598";"+";"-";"+";"-";"en";"avoir";"-";"-";"-";"<E>";"-";"-";"  vu";"<E>";"<E>";"-";"  assez";"§en a§vu assez "
"599";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  vu";"<E>";"le";"-";"  loup";"§a§vu le loup "
"600";"+";"-";"+";"-";"en";"avoir";"-";"-";"-";"<E>";"-";"-";"  vu";"<E>";"<E>";"-";"  trop";"§en a§vu trop "
"601";"+";"-";"-";"+";"n'";"avoir plus que";"-";"-";"-";"les";"+";"-";"  yeux";"pour";"<E>";"-";"  pleurer";"§n'a plus que§les yeux pour pleurer "
"602";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"les";"+";"-";"  yeux";"dans";"Poss0";"-";"  poche";"§n'a§les yeux dans sa poche "
"603";"-";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"des";"+";"-";"  yeux";"pour";"<E>";"-";"  voir";"§a§des yeux pour voir "

