"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"223";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"+";"-";"  genou";"en";"<E>";"-";"  terre";"§a§un genou en terre "
"224";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"du";"-";"-";"  goût";"pour";"la";"-";"  peinture";"§a§du goût pour la peinture "
"225";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"-";"  goût amer";"dans";"la";"+";"  bouche";"§a§un goût amer dans la bouche "
"226";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"la";"-";"-";"  goutte";"à";"le";"+";"  nez";"§a§la goutte au nez "
"227";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"Dnum";"-";"+";"  gramme d'alcool";"dans";"le";"+";"  sang";"§a§Dnum gramme d'alcool dans le sang "
"228";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  grenouilles";"dans";"le";"+";"  ventre";"§a§des grenouilles dans le ventre "
"229";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  gros";"sur";"le";"+";"  coeur";"§en a§gros sur le coeur "
"230";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  gros";"sur";"la";"-";"  conscience";"§en a§gros sur la conscience "
"231";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  gros";"sur";"la";"-";"  patate";"§en a§gros sur la patate "
"232";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"une";"-";"-";"  guerre";"de";"<E>";"-";"  retard";"§a§une guerre de retard "
"233";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  gueule";"à";"<E>";"-";"  sucer de la glace";"§n'a pas§une gueule à sucer de la glace "
"234";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"une";"+";"-";"  gueule";"à";"<E>";"-";"  sucer des glaçons";"§n'a pas§une gueule à sucer des glaçons "
"235";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  haine";"dans";"le";"-";"  regard";"§a§de l'haine dans le regard "
"236";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  haine";"dans";"les";"+";"  yeux";"§a§de l'haine dans les yeux "
"237";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"des";"-";"-";"  hauts";"et";"des";"-";"  bas";"§a§des hauts et des bas "
"238";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  heure";"à";"Poss0";"-";"  montre";"§a§Dnum heure à sa montre "
"239";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  homme";"dans";"Poss0";"-";"  vie";"§a§un homme dans sa vie "
"240";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"une";"-";"+";"  idée";"sur";"la";"-";"  question";"§a§une idée sur la question "
"241";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  idée";"derrière";"la";"+";"  tête";"§a§une idée derrière la tête "
"242";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"une";"-";"-";"  idée";"en";"<E>";"+";"  tête";"§a§une idée en tête "
"243";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"un";"-";"-";"  instant";"à";"<E>";"-";"  Lui-0";"§n'a§un instant à lui "
"244";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"-";"-";"  insulte";"à";"la";"+";"  bouche";"§a§l'insulte à la bouche "
"245";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"des";"-";"-";"  intelligences";"dans";"la";"-";"  place";"§a§des intelligences dans la place "
"246";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"la";"-";"-";"  joie";"à";"le";"+";"  coeur";"§a§la joie au coeur "
"247";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"de beaux";"-";"-";"  jours";"devant";"<E>";"-";"  Lui-0";"§a§de beaux jours devant lui "
"248";"+";"+";"-";"-";"<E>";"avoir encore";"+";"-";"+";"de beaux";"-";"-";"  jours";"devant";"<E>";"-";"  Lui-0";"§a encore§de beaux jours devant lui "
"249";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  kilo";"de";"<E>";"-";"  trop";"§a§Dnum kilo de trop "
"250";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  kilo";"en";"<E>";"-";"  trop";"§a§Dnum kilo en trop "
"251";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  kilomètres";"dans";"les";"+";"  jambes";"§a§Dnum kilomètres dans les jambes "
"252";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  kilomètres";"dans";"les";"+";"  pattes";"§a§Dnum kilomètres dans les pattes "
"253";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"quelques";"-";"-";"  kilos";"en";"<E>";"-";"  moins";"§a§quelques kilos en moins "
"254";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  kopeck";"à";"<E>";"-";"  Lui-0";"§n'a pas§un kopeck à lui "
"255";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  kopeck";"devant";"<E>";"-";"  Lui-0";"§n'a pas§un kopeck devant lui "
"256";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  kopeck";"sur";"<E>";"-";"  Lui-0";"§n'a pas§un kopeck sur lui "
"257";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  lait";"dans";"les";"+";"  oreilles";"§a§du lait dans les oreilles "
"258";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"Poss0";"+";"-";"  langue";"dans";"Poss0";"-";"  poche";"§a§son langue dans sa poche "
"259";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"-";"-";"  larme";"à";"le";"+";"  oeil";"§a§la larme à l'oeil "
"260";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  larmes";"dans";"la";"-";"  voix";"§a§des larmes dans la voix "
"261";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"les";"-";"-";"  larmes";"à";"les";"+";"  yeux";"§a§les larmes aux yeux "
"262";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"des";"-";"-";"  larmes";"dans";"les";"+";"  yeux";"§a§des larmes dans les yeux "
"263";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  liard";"de";"<E>";"-";"  côté";"§n'a pas§un liard de côté "
"264";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  liard";"à";"<E>";"-";"  Lui-0";"§n'a pas§un liard à lui "
"265";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  liard";"devant";"<E>";"-";"  Lui-0";"§n'a pas§un liard devant lui "
"266";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  liard";"sur";"<E>";"-";"  Lui-0";"§n'a pas§un liard sur lui "
"267";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  liard";"en";"<E>";"-";"  poche";"§n'a pas§un liard en poche "
"268";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  lits";"pour";"le";"-";"  prix de deux";"§a§Dnum lits pour le prix de deux "
"269";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"la";"-";"-";"  loi";"pour";"<E>";"-";"  Lui-0";"§a§la loi pour lui "
"270";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"<E>";"-";"-";"  loin";"à";"<E>";"-";"  aller";"§n'a§loin à aller "
"271";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  lourd";"sur";"le";"-";"  coeur";"§en a§lourd sur le coeur "
"272";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  lourd";"sur";"la";"-";"  conscience";"§en a§lourd sur la conscience "
"273";"+";"-";"+";"-";"en";"avoir";"+";"+";"-";"<E>";"-";"-";"  lourd";"sur";"la";"-";"  patate";"§en a§lourd sur la patate "
"274";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"+";"-";"  main";"à";"le";"-";"  bonnet";"§a§la main au bonnet "
"275";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"+";"-";"  main";"sur";"le";"+";"  coeur";"§a§la main sur le coeur "
"276";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"la";"+";"-";"  main";"à";"la";"-";"  pâte";"§a§la main à la pâte "
"277";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"une";"-";"-";"  main de fer";"dans";"un";"-";"  gant de velours";"§a§une main de fer dans un gant de velours "
"278";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  mains";"dans";"le";"-";"  cambouis";"§a§les mains dans le cambouis "
"279";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  mains";"derrière";"le";"+";"  dos";"§a§les mains derrière le dos "
"280";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  mains";"dans";"la";"-";"  graisse";"§a§les mains dans la graisse "
"281";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"+";"-";"  mains";"dans";"la";"-";"  merde";"§a§les mains dans la merde "
"282";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"la";"-";"-";"  maison";"à";"<E>";"-";"  payer";"§a§la maison à payer "
"283";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  cheveux";"§a§mal aux cheveux "
"284";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"le";"+";"  coeur";"§a§mal au coeur "
"285";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  dents";"§a§mal aux dents "
"286";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"le";"+";"  estomac";"§a§mal à l'estomac "
"287";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"le";"+";"  foie";"§a§mal au foie "
"288";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  mal";"à";"<E>";"-";"  joindre les deux bouts";"§a§du mal à joindre les deux bouts "
"289";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  mal";"à";"se";"-";"  mobiliser";"§a§du mal à se mobiliser "
"290";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"Loc";"le";"+";"  Npc";"§a§mal Loc le Npc "
"291";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"le";"+";"  Npc";"§a§mal au Npc "
"292";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  oreilles";"§a§mal aux oreilles "
"293";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"dans";"les";"+";"  oreilles";"§a§mal dans les oreilles "
"294";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  mal";"à";"<E>";"-";"  parler de N";"§a§du mal à parler de N "
"295";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"du";"-";"-";"  mal";"à";"<E>";"-";"  passer";"§a§du mal à passer "
"296";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  pieds";"§a§mal aux pieds "
"297";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  reins";"§a§mal aux reins "
"298";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"la";"+";"  tête";"§a§mal à la tête "
"299";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"<E>";"-";"-";"  mal";"à";"les";"+";"  yeux";"§a§mal aux yeux "
"300";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  maravédis";"de";"<E>";"-";"  côté";"§n'a pas§un maravédis de côté "
"301";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  maravédis";"à";"<E>";"-";"  Lui-0";"§n'a pas§un maravédis à lui "
"302";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  maravédis";"devant";"<E>";"-";"  Lui-0";"§n'a pas§un maravédis devant lui "
"303";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"un";"-";"-";"  maravédis";"sur";"<E>";"-";"  Lui-0";"§n'a pas§un maravédis sur lui "
"304";"+";"-";"-";"+";"n'";"avoir pas";"-";"+";"-";"un";"-";"-";"  maravédis";"en";"<E>";"-";"  poche";"§n'a pas§un maravédis en poche "
"305";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"la";"-";"-";"  marche";"à";"<E>";"-";"  suivre";"§a§la marche à suivre "
"306";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"le";"-";"-";"  marché";"en";"<E>";"+";"  mains";"§a§le marché en mains "
"307";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"+";"  mari";"à";"<E>";"-";"  charge";"§a§un mari à charge "
"308";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"<E>";"-";"-";"  martel";"en";"<E>";"+";"  tête";"§a§martel en tête "
"309";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"-";"  médaille d'argent";"à";"les";"-";"  J.O.";"§a§une médaille d'argent aux J.O. "
"310";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"-";"  médaille de bronze";"à";"les";"-";"  J.O.";"§a§une médaille de bronze aux J.O. "
"311";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"-";"  médaille d'or";"à";"les";"-";"  J.O.";"§a§une médaille d'or aux J.O. "
"312";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  mégot";"à";"la";"+";"  bouche";"§a§un mégot à la bouche "
"313";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  mégot";"à";"les";"+";"  lèvres";"§a§un mégot aux lèvres "
"314";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"les";"-";"-";"  menottes";"à";"les";"+";"  poignets";"§a§les menottes aux poignets "
"315";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  merde";"dans";"les";"+";"  oreilles";"§a§de la merde dans les oreilles "
"316";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de la";"-";"-";"  merde";"dans";"les";"+";"  yeux";"§a§de la merde dans les yeux "
"317";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"Poss0 vieille";"-";"+";"  mère";"à";"<E>";"-";"  charge";"§a§sa vieille mère à charge "
"318";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  circonférence";"§a§Dnum mètre de circonférence "
"319";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  diamètre";"§a§Dnum mètre de diamètre "
"320";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  haut";"§a§Dnum mètre d'haut "
"321";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  hauteur";"§a§Dnum mètre d'hauteur "
"322";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  large";"§a§Dnum mètre de large "
"323";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  largeur";"§a§Dnum mètre de largeur "
"324";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  long";"§a§Dnum mètre de long "
"325";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  longueur";"§a§Dnum mètre de longueur "
"326";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre";"de";"<E>";"-";"  tour";"§a§Dnum mètre de tour "
"327";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre carré";"de";"<E>";"-";"  surface";"§a§Dnum mètre carré de surface "
"328";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  mètre cube";"de";"<E>";"-";"  volume";"§a§Dnum mètre cube de volume "
"329";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"des";"-";"-";"  mille";"et";"des";"-";"  cents";"§a§des mille et des cents "
"330";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"une";"-";"-";"  minute";"à";"<E>";"-";"  Lui-0";"§n'a§une minute à lui "
"331";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"une";"-";"-";"  minute";"à";"<E>";"-";"  perdre";"§n'a§une minute à perdre "
"332";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"six";"-";"+";"  mois";"à";"<E>";"-";"  vivre";"§a§six mois à vivre "
"333";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"un";"-";"-";"  moment";"à";"<E>";"-";"  Lui-0";"§n'a§un moment à lui "
"334";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  monde";"à";"<E>";"-";"  déjeuner";"§a§du monde à déjeuner "
"335";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  monde";"à";"<E>";"-";"  dîner";"§a§du monde à dîner "
"336";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  monde";"à";"<E>";"-";"  goûter";"§a§du monde à goûter "
"337";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  monde";"à";"<E>";"-";"  manger";"§a§du monde à manger "
"338";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"du";"-";"-";"  monde";"à";"<E>";"-";"  souper";"§a§du monde à souper "
"339";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"une";"-";"-";"  moquette";"sur";"la";"+";"  langue";"§a§une moquette sur la langue "
"340";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"la";"-";"-";"  mort";"dans";"la";"-";"  âme";"§a§la mort dans l'âme "
"341";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"-";"-";"  mort";"dans";"Poss0";"-";"  famille";"§a§un mort dans sa famille "
"342";"+";"-";"-";"+";"n'";"avoir que";"+";"-";"-";"un";"-";"+";"  mot";"à";"la";"+";"  bouche";"§n'a que§un mot à la bouche "
"343";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"Poss0";"-";"-";"  mot";"à";"<E>";"-";"  dire";"§a§son mot à dire "
"344";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"le";"-";"+";"  mot";"à";"les";"+";"  lèvres";"§a§le mot aux lèvres "
"345";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"-";"-";"  mot";"pour";"<E>";"-";"  rire";"§a§le mot pour rire "
"346";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"+";"-";"  nez";"en";"le";"-";"  air";"§a§le nez en l'air "
"347";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  N-hum";"pour";"le";"-";"  prix de Dnum";"§a§Dnum N-hum pour le prix de Dnum "
"348";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  N-hum";"pour";"le";"-";"  prix d'un";"§a§Dnum N-hum pour le prix d'un "
"349";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  N-hum";"pour";"le";"-";"  prix d'un seul";"§a§Dnum N-hum pour le prix d'un seul "
"350";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  circonférence";"§a§Dnum Nmesure de circonférence "
"351";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  diamètre";"§a§Dnum Nmesure de diamètre "
"352";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  haut";"§a§Dnum Nmesure d'haut "
"353";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  hauteur";"§a§Dnum Nmesure d'hauteur "
"354";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  large";"§a§Dnum Nmesure de large "
"355";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  largeur";"§a§Dnum Nmesure de largeur "
"356";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  long";"§a§Dnum Nmesure de long "
"357";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  longueur";"§a§Dnum Nmesure de longueur "
"358";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  surface";"§a§Dnum Nmesure de surface "
"359";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  tour";"§a§Dnum Nmesure de tour "
"360";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  tour de hanches";"§a§Dnum Nmesure de tour d'hanches "
"361";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  tour de poitrine";"§a§Dnum Nmesure de tour de poitrine "
"362";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  tour de taille";"§a§Dnum Nmesure de tour de taille "
"363";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  trop";"§a§Dnum Nmesure de trop "
"364";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"en";"<E>";"-";"  trop";"§a§Dnum Nmesure en trop "
"365";"-";"+";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"+";"  Nmesure";"de";"<E>";"-";"  volume";"§a§Dnum Nmesure de volume "
"366";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"un";"-";"-";"  noeud";"dans";"la";"+";"  gorge";"§a§un noeud dans la gorge "
"367";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"+";"  nom";"à";"<E>";"-";"  particule";"§a§un nom à particule "
"368";"+";"+";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"+";"  nom";"à";"<E>";"-";"  rallonge";"§a§un nom à rallonge "
"369";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"Dnum";"-";"+";"  Ntps";"à";"<E>";"-";"  vivre";"§a§Dnum Ntps à vivre "
"370";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"le";"+";"-";"  oeil";"à";"<E>";"-";"  tout";"§a§l'oeil à tout "
"371";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"+";"-";"  oeil qui joue au billard";"et";"le";"+";"  autre qui marque les points";"§a§un oeil qui joue au billard et l'autre qui marque les points "
"372";"+";"-";"-";"+";"n'";"avoir";"-";"-";"-";"de";"-";"+";"  ordres";"à";"<E>";"-";"  recevoir de Nhum";"§n'a§d'ordres à recevoir de Nhum "
"373";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"un";"-";"-";"  os";"à";"<E>";"-";"  ronger";"§a§un os à ronger "
"374";"+";"-";"-";"+";"n'";"avoir jamais";"-";"-";"-";"<E>";"-";"-";"  ouvert";"<E>";"un";"-";"  livre";"§n'a jamais§ouvert un livre "
"375";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"du";"-";"-";"  pain";"sur";"la";"-";"  planche";"§a§du pain sur la planche "
"376";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"Poss0 vieux";"-";"+";"  parent";"à";"<E>";"-";"  charge";"§a§son vieux parent à charge "
"377";"+";"-";"-";"+";"n'";"avoir";"+";"-";"-";"nulle";"+";"-";"  part";"où";"<E>";"+";"  aller";"§n'a§nulle part où aller "
"378";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"-";"+";"  participation croisée";"dans";"une";"-";"  entreprise";"§a§une participation croisée dans une entreprise "
"379";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"un";"+";"-";"  passage";"à";"<E>";"+";"  vide";"§a§un passage à vide "
"380";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"-";"  pavé";"sur";"le";"+";"  estomac";"§a§un pavé sur l'estomac "
"381";"+";"-";"-";"+";"n'";"avoir que";"+";"-";"-";"la";"+";"-";"  peau";"et";"les";"+";"  os";"§n'a que§la peau et les os "
"382";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"de la";"-";"-";"  peine";"à";"<E>";"-";"  joindre les deux bouts";"§a§de la peine à joindre les deux bouts "
"383";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"<E>";"-";"-";"  perdu";"<E>";"Poss0";"-";"  journée";"§n'a pas§perdu sa journée "
"384";"+";"-";"-";"+";"n'";"avoir pas";"-";"-";"-";"<E>";"-";"-";"  perdu";"<E>";"Poss0";"-";"  temps";"§n'a pas§perdu son temps "
"385";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"Poss0 vieux";"-";"+";"  père";"à";"<E>";"-";"  charge";"§a§son vieux père à charge "
"386";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"Dnum";"-";"-";"  personne";"à";"<E>";"-";"  charge";"§a§Dnum personne à charge "
"387";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"<E>";"-";"-";"  peu";"à";"<E>";"-";"  faire";"§a§peu à fait "
"388";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"plus de";"-";"-";"  peur";"que";"de";"-";"  mal";"§a§plus de peur que de mal "
