"<ID>";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"Exemple"
"286";"-";"<E>";" être";"une";"nénette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une nénette "
"287";"-";"<E>";" être";"un";"nez";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un nez "
"288";"-";"<E>";" être";"une vieille";"noix";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une vieille noix "
"289";"-";"<E>";" être";"une";"nouille";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une nouille "
"290";"-";"<E>";" être";"un sacré";"numéro";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un sacré numéro "
"291";"+";"n'";" être pas";"un";"ogre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§n'est pas§un ogre "
"292";"-";"<E>";" être";"un";"ogre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un ogre "
"293";"-";"<E>";" être";"une";"oie";"<E>";"<E>";"blanche";"+";"-";"-";"+";"-";"+";"-";"§est§une oie blanche "
"294";"-";"<E>";" être";"un";"oiseau";"de";"<E>";"malheur";"+";"-";"-";"+";"+";"+";"-";"§est§un oiseau de malheur "
"295";"-";"<E>";" être";"un";"oiseau";"de";"<E>";"nuit";"+";"-";"-";"+";"+";"+";"-";"§est§un oiseau de nuit "
"296";"-";"<E>";" être";"un";"oiseau";"<E>";"<E>";"rare";"+";"-";"-";"+";"+";"+";"-";"§est§un oiseau rare "
"297";"+";"n'";" être plus que";"la";"ombre";"de";"Lui-0-";"même";"+";"-";"-";"-";"+";"+";"-";"§n'est plus que§l'ombre de lui-même "
"298";"-";"<E>";" être";"une";"ordure";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une ordure "
"299";"-";"<E>";" être";"un";"ouragan";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un ouragan "
"300";"-";"<E>";" être";"un";"ours";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§un ours "
"301";"-";"<E>";" être";"un";"ours";"<E>";"mal";"léché";"+";"-";"+";"+";"+";"-";"-";"§est§un ours mal léché "
"302";"-";"<E>";" être";"une";"outre";"à";"<E>";"vin";"+";"-";"-";"-";"+";"+";"-";"§est§une outre à vin "
"303";"-";"<E>";" être";"un";"pachyderme";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un pachyderme "
"304";"-";"<E>";" être";"un";"panier";"<E>";"<E>";"percé";"+";"-";"-";"-";"+";"+";"-";"§est§un panier percé "
"305";"-";"<E>";" être";"un";"pantin";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un pantin "
"306";"-";"<E>";" être";"un";"papa";"<E>";"<E>";"gâteau";"+";"-";"-";"-";"+";"-";"-";"§est§un papa gâteau "
"307";"-";"<E>";" être";"un";"papillon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un papillon "
"308";"-";"<E>";" être";"un";"paquet";"de";"<E>";"merde";"+";"-";"-";"-";"+";"+";"-";"§est§un paquet de merde "
"309";"-";"<E>";" être";"un";"paquet";"de";"<E>";"muscles";"+";"-";"-";"-";"+";"+";"-";"§est§un paquet de muscles "
"310";"-";"<E>";" être";"un";"paquet";"de";"<E>";"nerfs";"+";"-";"-";"-";"+";"+";"-";"§est§un paquet de nerfs "
"311";"-";"<E>";" être";"une";"paquet";"de";"<E>";"nerfs";"+";"-";"-";"-";"+";"+";"-";"§est§une paquet de nerfs "
"312";"-";"<E>";" être";"un beau";"parti";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un beau parti "
"313";"-";"<E>";" être";"une";"patate";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une patate "
"314";"-";"<E>";" être";"une";"patate";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une patate "
"315";"-";"<E>";" être";"une bonne";"pâte";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une bonne pâte "
"316";"-";"<E>";" être";"une bonne";"pâte";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une bonne pâte "
"317";"-";"<E>";" être";"une vieille";"peau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une vieille peau "
"318";"-";"<E>";" être";"une";"peau";"de";"<E>";"con";"+";"-";"-";"-";"+";"+";"-";"§est§une peau de con "
"319";"-";"<E>";" être";"une";"peau";"de";"<E>";"hareng";"+";"-";"+";"-";"+";"+";"-";"§est§une peau d'hareng "
"320";"-";"<E>";" être";"un";"peau";"<E>";"<E>";"rouge";"+";"-";"-";"-";"+";"+";"+";"§est§un peau rouge "
"321";"-";"<E>";" être";"une";"peau";"de";"<E>";"vache";"+";"-";"+";"-";"+";"+";"-";"§est§une peau de vache "
"322";"-";"<E>";" être";"quatre";"pelés";"et";"un";"tondus";"+";"-";"-";"-";"+";"+";"-";"§est§quatre pelés et un tondus "
"323";"-";"<E>";" être";"quatre";"pelés";"et";"trois";"tondus";"+";"-";"-";"-";"+";"+";"-";"§est§quatre pelés et trois tondus "
"324";"-";"<E>";" être";"une";"pépée";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une pépée "
"325";"-";"<E>";" être";"une grande";"perche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grande perche "
"326";"-";"<E>";" être";"une";"perle";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une perle "
"327";"-";"<E>";" être";"la";"perle";"de";"les";"domestiques";"+";"-";"-";"-";"+";"+";"-";"§est§la perle des domestiques "
"328";"-";"<E>";" être";"une";"perle";"<E>";"<E>";"rare";"+";"-";"-";"-";"+";"+";"-";"§est§une perle rare "
"329";"-";"<E>";" être";"un";"perroquet";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un perroquet "
"330";"-";"<E>";" être";"une";"peste";"<E>";"<E>";"<E>";"+";"-";"+";"-";"-";"+";"-";"§est§une peste "
"331";"-";"<E>";" être";"une petite";"peste";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une petite peste "
"332";"-";"<E>";" être";"<E>";"pète";"<E>";"<E>";"sec";"+";"-";"-";"-";"+";"+";"-";"§est§pète sec "
"333";"-";"<E>";" être";"on ne";"peut";"<E>";"<E>";"mieux";"+";"+";"+";"-";"+";"+";"-";"§est§on ne peut mieux "
"334";"-";"<E>";" être";"un";"phénix";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un phénix "
"335";"-";"<E>";" être";"un";"pied";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un pied "
"336";"-";"<E>";" être";"un";"pied";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un pied "
"337";"-";"<E>";" être";"un";"pied";"<E>";"<E>";"noir";"+";"-";"-";"-";"+";"+";"+";"§est§un pied noir "
"338";"-";"<E>";" être";"un";"pied";"<E>";"<E>";"plat";"+";"-";"-";"-";"+";"-";"-";"§est§un pied plat "
"339";"-";"<E>";" être";"une";"pieuvre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une pieuvre "
"340";"-";"<E>";" être";"un";"pigeon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un pigeon "
"341";"-";"<E>";" être";"une";"planche";"à";"<E>";"pain";"+";"-";"-";"-";"-";"+";"-";"§est§une planche à pain "
"342";"-";"<E>";" être";"une belle";"plante";"<E>";"<E>";"<E>";"+";"-";"+";"-";"-";"+";"-";"§est§une belle plante "
"343";"-";"<E>";" être";"un gros";"plein";"de";"<E>";"soupe";"+";"-";"-";"-";"+";"-";"-";"§est§un gros plein de soupe "
"344";"-";"<E>";" être";"tout un";"poème";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§tout un poème "
"345";"-";"<E>";" être";"une bonne";"poire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une bonne poire "
"346";"-";"<E>";" être";"un gros";"poisson";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§un gros poisson "
"347";"-";"<E>";" être";"un";"porc";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un porc "
"348";"-";"<E>";" être";"une demi-";"portion";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une demi-portion "
"349";"-";"<E>";" être";"un";"pot";"à";"<E>";"tabac";"+";"-";"+";"-";"+";"+";"-";"§est§un pot à tabac "
"350";"-";"<E>";" être";"une";"potiche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une potiche "
"351";"-";"<E>";" être";"une";"poule";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une poule "
"352";"-";"<E>";" être";"un";"poulet";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§un poulet "
