"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Det1";"C1 =: Npc0";"Det1 pluriel";"<ENT>C1";"<ENT>Adj1";"Det1 =: Dind";"Vop = N-hum donner";"il y avoir Det1 C1 Adj1 Prép2 (N2 de N0)";"Exemple"
"71";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  main";"tendue";"-";"-";"-";"§a§la main tendue "
"72";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  main";"verte";"-";"-";"-";"§a§la main verte "
"73";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  mains";"couvertes de bagues";"+";"-";"-";"§a§les mains couvertes de bagues "
"74";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  mal";"ailleurs";"-";"+";"-";"§a§mal ailleurs "
"75";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  mal";"fait";"-";"-";"-";"§a§mal fait "
"76";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  mal";"où ?";"-";"+";"-";"§a§mal où ? "
"77";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  mal";"partout";"-";"+";"-";"§a§mal partout "
"78";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  mal";"quelque part";"-";"+";"-";"§a§mal quelque part "
"79";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  nez";"creux";"-";"-";"-";"§a§le nez creux "
"80";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  nez";"fin";"-";"-";"-";"§a§le nez fin "
"81";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  N-hum";"facile";"-";"-";"-";"§a§le N-hum facile "
"82";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  oeil";"américain";"-";"-";"-";"§a§l'oeil américain "
"83";"+";"-";"-";"<E>";" avoir";"un";"+";"-";"  oeil";"noir";"-";"-";"-";"§a§un oeil noir "
"84";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  oreille";"absolue";"+";"+";"-";"§a§l'oreille absolue "
"85";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  oreille";"basse";"-";"-";"-";"§a§l'oreille basse "
"86";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  oreille";"musicale";"-";"-";"-";"§a§l'oreille musicale "
"87";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  parlé";"trop tôt";"-";"-";"-";"§a§parlé trop tôt "
"88";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  parole";"facile";"-";"-";"-";"§a§la parole facile "
"89";"+";"+";"-";"<E>";" avoir";"la";"-";"-";"  part";"belle";"-";"+";"-";"§a§la part belle "
"90";"+";"-";"-";"<E>";" avoir";"la";"-";"-";"  partie";"belle";"-";"-";"-";"§a§la partie belle "
"91";"+";"-";"-";"<E>";" avoir";"un";"-";"+";"  passage";"difficile";"-";"-";"+";"§a§un passage difficile "
"92";"+";"-";"-";"<E>";" avoir";"une";"+";"-";"  patte";"folle";"-";"-";"-";"§a§une patte folle "
"93";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  peau";"blanche";"-";"-";"-";"§a§la peau blanche "
"94";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  peau";"dure";"-";"-";"-";"§a§la peau dure "
"95";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  peau";"noire";"-";"-";"-";"§a§la peau noire "
"96";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  pied";"alerte";"-";"+";"-";"§a§le pied alerte "
"97";"+";"-";"-";"<E>";" avoir";"un";"+";"-";"  pied";"bot";"-";"-";"-";"§a§un pied bot "
"98";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  pied";"marin";"-";"+";"-";"§a§le pied marin "
