"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"1";"+";"-";"+";"-";"-";"s'";" abandonner";"dans";"les";"+";" bras";"-";"+";"-";"-";"+";"§s'abandonner§dans les bras "
"2";"+";"+";"-";"-";"-";"<E>";" abonder";"dans";"le";"-";" sens";"-";"+";"-";"-";"+";"§abonder§dans le sens "
"3";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" bienveillance";"-";"+";"-";"+";"+";"§abuser§de la bienveillance "
"4";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" hospitalité";"-";"+";"-";"+";"+";"§abuser§de l'hospitalité "
"5";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" patience";"-";"+";"-";"+";"+";"§abuser§de la patience "
"6";"+";"-";"-";"-";"-";"<E>";" agir";"à";"le";"-";" mieux des intérêts";"-";"+";"-";"-";"+";"§agir§au mieux des intérêts "
"7";"+";"+";"-";"-";"-";"<E>";" aller";"jusqu'à";"le";"-";" bout";"-";"-";"+";"-";"-";"§aller§jusqu'à le bout "
"8";"+";"+";"-";"-";"-";"<E>";" aller";"jusqu'à";"le";"-";" bout de la pensée";"-";"+";"-";"-";"+";"§aller§jusqu'à le bout de la pensée "
"9";"-";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà";"-";"-";"+";"-";"-";"§aller§au delà "
"10";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des demandes";"-";"+";"-";"-";"+";"§aller§au delà des demandes "
"11";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des désirs";"-";"+";"-";"-";"+";"§aller§au delà des désirs "
"12";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des espérances";"-";"+";"-";"-";"+";"§aller§au delà des espérances "
"13";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des espoirs";"-";"+";"-";"-";"+";"§aller§au delà des espoirs "
"14";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des exigences";"-";"+";"-";"-";"+";"§aller§au delà des exigences "
"15";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des revendications";"-";"+";"-";"-";"+";"§aller§au delà des revendications "
"16";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des voeux";"-";"+";"-";"-";"+";"§aller§au delà des voeux "
"17";"+";"-";"-";"-";"-";"<E>";" aller";"à";"le";"-";" devant";"-";"+";"-";"-";"+";"§aller§au devant "
"18";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" devant";"-";"-";"+";"-";"-";"§aller§au devant "
"19";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" fond";"+";"-";"+";"-";"-";"§aller§au fond "
"20";"-";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" inverse";"-";"-";"+";"-";"-";"§aller§à l'inverse "
"21";"+";"+";"-";"-";"-";"<E>";" aller";"à";"<E>";"-";" rebours";"+";"-";"+";"-";"-";"§aller§à rebours "
"22";"+";"-";"-";"-";"-";"<E>";" aller";"à";"la";"-";" rencontre";"-";"+";"-";"-";"+";"§aller§à la rencontre "
"23";"+";"-";"-";"-";"-";"<E>";" aller";"à";"le";"-";" secours";"-";"+";"-";"-";"+";"§aller§au secours "
"24";"+";"+";"-";"-";"-";"<E>";" aller";"dans";"le";"-";" sens";"-";"+";"+";"-";"+";"§aller§dans le sens "
"25";"-";"+";"-";"-";"-";"<E>";" aller";"en";"<E>";"-";" sens contraire";"-";"-";"+";"-";"-";"§aller§en sens contraire "
"26";"-";"+";"-";"-";"-";"<E>";" aller";"en";"<E>";"-";" sens inverse";"-";"-";"+";"-";"-";"§aller§en sens inverse "
"27";"+";"-";"-";"-";"-";"<E>";" aller";"sur";"la";"-";" tombe";"-";"+";"-";"-";"+";"§aller§sur la tombe "
"28";"+";"-";"+";"-";"-";"s'";" apitoyer";"sur";"le";"-";" sort";"-";"+";"-";"-";"+";"§s'apitoyer§sur le sort "
"29";"-";"+";"-";"-";"-";"<E>";" apparaître";"sur";"le";"+";" visage";"-";"+";"-";"-";"+";"§apparaître§sur le visage "
"30";"-";"+";"-";"-";"-";"<E>";" apparaître";"dans";"les";"+";" yeux";"-";"+";"-";"-";"+";"§apparaître§dans les yeux "
"31";"+";"-";"-";"+";"-";"en";" appeler";"à";"la";"-";" justice";"-";"+";"-";"-";"+";"§en appeler§à la justice "
"32";"+";"-";"-";"+";"-";"en";" appeler";"à";"le";"-";" témoignage";"-";"+";"-";"-";"+";"§en appeler§au témoignage "
"33";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"<E>";"-";" bout";"-";"+";"+";"-";"-";"§arriver§à bout "
"34";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"le";"+";" bras";"-";"+";"-";"-";"+";"§arriver§au bras "
"35";"+";"+";"-";"-";"-";"<E>";" arriver";"à";"la";"-";" ceinture";"-";"+";"-";"+";"+";"§arriver§à la ceinture "
"36";"-";"+";"-";"-";"-";"<E>";" arriver";"à";"la";"+";" cheville";"-";"+";"-";"+";"-";"§arriver§à la cheville "
"37";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"le";"-";" terme";"-";"-";"+";"-";"+";"§arriver§au terme "
"38";"+";"-";"+";"-";"-";"s'";" asseoir";"à";"la";"-";" droite";"-";"+";"-";"-";"+";"§s'asseoir§à la droite "
"39";"+";"-";"+";"-";"-";"s'";" asseoir";"sur";"le";"-";" trône";"+";"+";"+";"-";"+";"§s'asseoir§sur le trône "
"40";"+";"-";"+";"-";"-";"s'";" assurer";"de";"la";"-";" personne";"-";"+";"-";"-";"+";"§s'assurer§de la personne "
"41";"+";"-";"+";"-";"-";"s'";" attacher";"à";"les";"-";" pas";"-";"+";"-";"-";"+";"§s'attacher§aux pas "
"42";"+";"-";"-";"-";"-";"<E>";" attenter";"à";"les";"-";" jours";"-";"+";"-";"-";"+";"§attenter§aux jours "
"43";"+";"-";"-";"-";"-";"<E>";" attenter";"à";"la";"-";" personne";"-";"+";"-";"-";"+";"§attenter§à la personne "
"44";"+";"-";"-";"-";"-";"<E>";" attenter";"à";"la";"-";" vie";"-";"+";"-";"-";"+";"§attenter§à la vie "
"45";"+";"+";"-";"-";"-";"<E>";" avancer";"sur";"la";"-";" voie";"-";"-";"+";"-";"-";"§avancer§sur la voie "
"46";"+";"+";"-";"-";"-";"<E>";" baisser";"dans";"la";"-";" estime";"-";"+";"-";"-";"+";"§baisser§dans l'estime "
"47";"+";"-";"+";"-";"-";"se";" battre";"à";"les";"-";" côtés";"-";"+";"-";"-";"+";"§se battre§aux côtés "
"48";"+";"-";"+";"-";"-";"se";" blottir";"dans";"les";"+";" bras";"-";"+";"-";"-";"+";"§se blottir§dans les bras "
"49";"+";"+";"+";"-";"-";"se";" cacher";"sous";"les";"+";" traits";"-";"+";"-";"-";"+";"§se cacher§sous les traits "
"50";"+";"-";"-";"-";"-";"<E>";" carillonner";"à";"la";"-";" porte";"-";"+";"-";"-";"+";"§carillonner§à la porte "
"51";"+";"-";"-";"-";"-";"<E>";" chier";"dans";"les";"-";" bottes";"-";"+";"-";"+";"+";"§chier§dans les bottes "
"52";"-";"+";"-";"-";"-";"<E>";" claquer";"dans";"les";"+";" doigts";"+";"+";"-";"+";"+";"§claquer§dans les doigts "
"53";"-";"+";"-";"-";"-";"<E>";" claquer";"entre";"les";"+";" doigts";"+";"+";"-";"+";"+";"§claquer§entre les doigts "
"54";"-";"+";"-";"-";"-";"<E>";" claquer";"dans";"les";"+";" pattes";"+";"+";"-";"+";"+";"§claquer§dans les pattes "
"55";"-";"+";"-";"-";"-";"<E>";" claquer";"entre";"les";"+";" pattes";"+";"+";"-";"+";"+";"§claquer§entre les pattes "
"56";"+";"-";"-";"-";"-";"<E>";" coller";"à";"le";"+";" cul";"-";"+";"-";"+";"-";"§coller§au cul "
"57";"+";"-";"-";"-";"-";"<E>";" coller";"à";"les";"+";" fesses";"-";"+";"-";"+";"-";"§coller§aux fesses "
"58";"-";"+";"-";"-";"-";"<E>";" coller";"à";"la";"+";" peau";"+";"+";"-";"+";"+";"§coller§à la peau "
"59";"+";"-";"-";"-";"-";"<E>";" combattre";"à";"les";"-";" côtés";"-";"+";"-";"-";"+";"§combattre§aux côtés "
"60";"+";"-";"-";"-";"-";"<E>";" compter";"sur";"la";"-";" discrétion";"-";"+";"-";"+";"-";"§compter§sur la discrétion "
"61";"+";"-";"+";"-";"-";"se";" couler";"dans";"les";"+";" bras";"-";"+";"-";"-";"+";"§se couler§dans les bras "
"62";"+";"-";"-";"-";"-";"<E>";" courir";"à";"le";"-";" devant";"-";"-";"+";"-";"-";"§courir§au devant "
"63";"-";"+";"-";"-";"-";"<E>";" courir";"sur";"le";"+";" système";"-";"+";"-";"+";"-";"§courir§sur le système "
"64";"+";"-";"-";"-";"-";"<E>";" courir";"sur";"les";"+";" talons";"-";"+";"-";"-";"+";"§courir§sur les talons "
"65";"+";"-";"-";"-";"-";"<E>";" cracher";"à";"la";"+";" face";"-";"+";"-";"+";"-";"§cracher§à la face "
"66";"+";"-";"-";"-";"-";"<E>";" cracher";"à";"la";"+";" figure";"-";"+";"-";"+";"-";"§cracher§à la figure "
"67";"+";"-";"-";"-";"-";"<E>";" cracher";"à";"la";"+";" gueule";"-";"+";"-";"+";"-";"§cracher§à la gueule "
"68";"+";"-";"-";"-";"-";"<E>";" cracher";"à";"le";"+";" visage";"-";"+";"-";"+";"-";"§cracher§au visage "
"69";"+";"-";"-";"-";"-";"<E>";" croire";"en";"la";"-";" étoile";"-";"+";"-";"-";"+";"§croire§en l'étoile "
"70";"+";"-";"-";"-";"-";"<E>";" croire";"en";"la";"-";" parole";"-";"+";"-";"-";"+";"§croire§en la parole "
"71";"-";"+";"-";"-";"-";"<E>";" crouler";"sous";"les";"-";" applaudissements";"+";"+";"-";"-";"+";"§crouler§sous les applaudissements "
"72";"+";"-";"-";"-";"-";"<E>";" dégoiser";"sur";"le";"-";" compte";"-";"+";"-";"-";"+";"§dégoiser§sur le compte "
"73";"+";"+";"-";"-";"-";"<E>";" descendre";"dans";"la";"-";" estime";"-";"+";"-";"-";"+";"§descendre§dans l'estime "
"74";"+";"-";"-";"-";"-";"<E>";" donner";"sur";"les";"+";" doigts";"-";"+";"-";"+";"-";"§donner§sur les doigts "
"75";"-";"+";"-";"-";"-";"<E>";" donner";"sur";"les";"+";" nerfs";"+";"+";"-";"+";"-";"§donner§sur les nerfs "
"76";"+";"-";"-";"-";"-";"<E>";" donner";"dans";"le";"-";" sens";"-";"+";"-";"-";"+";"§donner§dans le sens "
"77";"-";"+";"-";"-";"-";"<E>";" donner";"sur";"le";"+";" système";"-";"+";"-";"+";"-";"§donner§sur le système "
"78";"-";"+";"-";"-";"-";"<E>";" donner";"dans";"les";"+";" yeux";"+";"+";"-";"+";"+";"§donner§dans les yeux "
"79";"+";"-";"-";"-";"-";"<E>";" douter";"de";"la";"-";" parole";"-";"+";"-";"-";"+";"§douter§de la parole "
"80";"+";"-";"+";"-";"-";"se";" dresser";"en";"<E>";"-";" accusateur";"+";"+";"+";"-";"-";"§se dresser§en accusateur "
"81";"+";"-";"+";"-";"-";"se";" dresser";"en";"<E>";"-";" défenseur";"+";"+";"+";"-";"-";"§se dresser§en défenseur "
"82";"-";"+";"+";"-";"-";"se";" dresser";"devant";"les";"+";" yeux";"-";"+";"-";"-";"+";"§se dresser§devant les yeux "
"83";"-";"+";"-";"-";"-";"<E>";" échapper";"de";"les";"+";" doigts";"-";"+";"-";"+";"+";"§échapper§des doigts "
"84";"-";"+";"-";"-";"-";"<E>";" échapper";"de";"les";"+";" mains";"+";"+";"-";"+";"+";"§échapper§des mains "
"85";"-";"+";"-";"-";"-";"<E>";" éclater";"à";"la";"+";" face";"-";"+";"-";"+";"+";"§éclater§à la face "
"86";"-";"+";"+";"-";"-";"s'";" emparer";"de";"le";"-";" âme";"-";"+";"-";"-";"+";"§s'emparer§de l'âme "
"87";"+";"-";"+";"-";"-";"s'";" emparer";"de";"le";"+";" coeur";"-";"+";"-";"-";"+";"§s'emparer§du coeur "
"88";"-";"+";"+";"-";"-";"s'";" emparer";"de";"le";"+";" coeur";"-";"+";"-";"-";"+";"§s'emparer§du coeur "
"89";"-";"+";"+";"-";"-";"s'";" emparer";"de";"le";"-";" esprit";"-";"+";"-";"-";"+";"§s'emparer§de l'esprit "
"90";"-";"+";"-";"-";"-";"<E>";" entrer";"dans";"la";"-";" composition";"-";"-";"+";"-";"+";"§entrer§dans la composition "
"91";"+";"+";"-";"-";"-";"<E>";" entrer";"dans";"le";"-";" détail";"+";"-";"+";"-";"-";"§entrer§dans le détail "
"92";"+";"+";"-";"-";"-";"<E>";" entrer";"dans";"les";"-";" détails";"+";"-";"+";"-";"-";"§entrer§dans les détails "
"93";"-";"+";"-";"-";"-";"<E>";" entrer";"dans";"la";"-";" fabrication";"-";"-";"+";"-";"+";"§entrer§dans la fabrication "
"94";"-";"+";"-";"-";"-";"<E>";" entrer";"dans";"la";"-";" formule";"-";"-";"+";"-";"+";"§entrer§dans la formule "
"95";"+";"-";"-";"-";"-";"<E>";" entrer";"dans";"le";"-";" jeu";"+";"+";"+";"-";"+";"§entrer§dans le jeu "
"96";"+";"-";"-";"-";"-";"<E>";" entrer";"dans";"le";"+";" mou";"-";"+";"-";"+";"-";"§entrer§dans le mou "
"97";"-";"+";"-";"-";"-";"<E>";" entrer";"dans";"la";"-";" préparation";"-";"-";"+";"-";"+";"§entrer§dans la préparation "
"98";"-";"+";"-";"-";"-";"<E>";" entrer";"dans";"la";"-";" recette";"-";"-";"+";"-";"+";"§entrer§dans la recette "
"99";"+";"-";"+";"-";"-";"se";" fiche";"de";"la";"+";" fiole";"-";"+";"-";"-";"+";"§se fiche§de la fiole "
"100";"+";"-";"+";"-";"-";"se";" fiche";"de";"la";"+";" gueule";"-";"+";"-";"-";"+";"§se fiche§de la gueule "
"101";"+";"-";"-";"+";"-";"en";" fiche";"plein";"la";"+";" gueule";"-";"+";"-";"+";"+";"§en fiche§plein la gueule "
"102";"+";"-";"+";"-";"-";"se";" fiche";"de";"la";"+";" poire";"-";"+";"-";"-";"+";"§se fiche§de la poire "
"103";"+";"+";"-";"+";"-";"en";" fiche";"plein";"la";"-";" vue";"+";"+";"-";"+";"-";"§en fiche§plein la vue "
"104";"+";"-";"-";"+";"-";"en";" fiche";"plein";"les";"+";" yeux";"-";"+";"-";"+";"-";"§en fiche§plein les yeux "
"105";"+";"+";"-";"-";"-";"<E>";" filer";"entre";"les";"+";" doigts";"-";"+";"-";"+";"+";"§filer§entre les doigts "
"106";"+";"-";"-";"+";"-";"en";" flanquer";"plein";"la";"+";" gueule";"-";"+";"-";"+";"+";"§en flanquer§plein la gueule "
"107";"+";"+";"-";"+";"-";"en";" flanquer";"plein";"la";"-";" vue";"+";"+";"-";"+";"-";"§en flanquer§plein la vue "
"108";"+";"+";"-";"+";"-";"en";" flanquer";"plein";"les";"-";" yeux";"+";"+";"-";"+";"-";"§en flanquer§plein les yeux "
"109";"+";"-";"-";"-";"-";"<E>";" fondre";"dans";"les";"+";" bras";"-";"+";"-";"+";"+";"§fondre§dans les bras "
"110";"+";"+";"+";"-";"-";"se";" fondre";"dans";"la";"-";" masse";"-";"-";"+";"-";"+";"§se fondre§dans la masse "
"111";"+";"-";"+";"-";"-";"se";" foutre";"de";"la";"+";" fiole";"-";"+";"-";"-";"+";"§se foutre§de la fiole "
"112";"+";"-";"+";"-";"-";"se";" foutre";"de";"la";"+";" gueule";"-";"+";"-";"-";"+";"§se foutre§de la gueule "
"113";"+";"-";"-";"-";"-";"<E>";" foutre";"sur";"la";"+";" gueule";"-";"+";"-";"+";"-";"§foutre§sur la gueule "
"114";"+";"-";"-";"+";"-";"en";" foutre";"plein";"la";"+";" gueule";"-";"+";"-";"+";"+";"§en foutre§plein la gueule "
"115";"+";"-";"-";"-";"-";"se";" foutre";"de";"la";"+";" poire";"-";"+";"-";"-";"+";"§se foutre§de la poire "
"116";"+";"+";"-";"+";"-";"en";" foutre";"plein";"la";"-";" vue";"+";"+";"-";"+";"-";"§en foutre§plein la vue "
"117";"+";"-";"-";"+";"-";"en";" foutre";"plein";"les";"+";" yeux";"-";"+";"-";"+";"-";"§en foutre§plein les yeux "
"118";"+";"-";"-";"-";"-";"<E>";" frapper";"à";"la";"-";" porte";"-";"+";"-";"-";"+";"§frapper§à la porte "
"119";"+";"+";"-";"-";"-";"<E>";" glisser";"entre";"les";"+";" doigts";"-";"+";"-";"+";"+";"§glisser§entre les doigts "
"120";"-";"+";"-";"-";"-";"<E>";" glisser";"de";"les";"+";" mains";"-";"+";"-";"+";"+";"§glisser§des mains "
"121";"+";"-";"-";"-";"-";"<E>";" glisser";"entre";"les";"+";" mains";"-";"+";"-";"+";"+";"§glisser§entre les mains "
"122";"+";"+";"-";"-";"-";"<E>";" grandir";"dans";"la";"-";" estime";"-";"+";"-";"-";"+";"§grandir§dans l'estime "
"123";"+";"-";"-";"-";"-";"<E>";" gratter";"à";"la";"-";" porte";"-";"+";"-";"-";"+";"§gratter§à la porte "
"124";"+";"-";"-";"-";"-";"<E>";" graviter";"dans";"la";"-";" orbite";"-";"+";"-";"-";"+";"§graviter§dans l'orbite "
"125";"+";"-";"+";"-";"-";"se";" heurter";"à";"un";"-";" mur";"+";"-";"+";"-";"-";"§se heurter§à un mur "
"126";"+";"-";"+";"-";"-";"s'";" immiscer";"dans";"les";"-";" affaires";"-";"+";"-";"-";"+";"§s'immiscer§dans les affaires "
"127";"+";"-";"+";"-";"-";"s'";" immiscer";"dans";"les";"-";" affaires intérieures";"-";"+";"+";"-";"+";"§s'immiscer§dans les affaires intérieures "
"128";"+";"-";"+";"-";"-";"s'";" incliner";"devant";"la";"-";" dépouille mortelle";"-";"+";"-";"-";"+";"§s'incliner§devant la dépouille mortelle "
"129";"+";"-";"+";"-";"-";"s'";" incliner";"devant";"la";"-";" tombe";"-";"+";"-";"-";"+";"§s'incliner§devant la tombe "
"130";"+";"-";"+";"-";"-";"s'";" incliner";"sur";"la";"-";" tombe";"-";"+";"-";"-";"+";"§s'incliner§sur la tombe "
"131";"+";"-";"+";"-";"-";"s'";" ingérer";"dans";"les";"-";" affaires";"-";"+";"+";"-";"+";"§s'ingérer§dans les affaires "
"132";"-";"+";"+";"-";"-";"s'";" inscrire";"dans";"la";"-";" ligne";"-";"+";"+";"-";"+";"§s'inscrire§dans la ligne "
"133";"+";"-";"+";"-";"-";"s'";" inscrire";"dans";"la";"-";" lignée";"-";"+";"-";"-";"+";"§s'inscrire§dans la lignée "
"134";"-";"+";"+";"-";"-";"s'";" inscrire";"dans";"un";"-";" mouvement";"+";"-";"+";"-";"-";"§s'inscrire§dans un mouvement "
"135";"-";"+";"+";"-";"-";"s'";" inscrire";"dans";"une";"-";" perspective";"+";"-";"+";"-";"-";"§s'inscrire§dans une perspective "
"136";"-";"+";"+";"-";"-";"s'";" inscrire";"dans";"une";"-";" tradition";"+";"-";"+";"-";"-";"§s'inscrire§dans une tradition "
"137";"+";"-";"+";"-";"-";"se";" jeter";"à";"<E>";"-";" bas";"-";"-";"+";"-";"-";"§se jeter§à bas "
"138";"+";"-";"+";"-";"-";"se";" jeter";"dans";"les";"+";" bras";"-";"+";"-";"-";"+";"§se jeter§dans les bras "
"139";"+";"-";"+";"-";"-";"se";" jeter";"à";"le";"+";" cou";"-";"+";"-";"-";"+";"§se jeter§au cou "
"140";"+";"-";"+";"-";"-";"se";" jeter";"à";"le";"-";" écart";"-";"+";"+";"-";"-";"§se jeter§à l'écart "
"141";"+";"-";"+";"-";"-";"se";" jeter";"à";"les";"+";" pieds";"-";"+";"-";"-";"+";"§se jeter§aux pieds "
"142";"+";"-";"+";"-";"-";"se";" jeter";"en travers de";"les";"-";" projets";"-";"+";"-";"-";"+";"§se jeter§en travers des projets "
"143";"+";"-";"+";"-";"-";"se";" jeter";"à";"la";"+";" tête";"-";"+";"-";"-";"+";"§se jeter§à la tête "
"144";"-";"+";"-";"-";"-";"<E>";" jouer";"en";"<E>";"-";" défaveur";"-";"+";"-";"-";"+";"§jouer§en défaveur "
"145";"-";"+";"-";"-";"-";"<E>";" jouer";"en";"<E>";"-";" faveur";"-";"+";"-";"-";"+";"§jouer§en faveur "
"146";"+";"-";"-";"-";"-";"<E>";" jouer";"avec";"les";"+";" nerfs";"-";"+";"-";"-";"+";"§jouer§avec les nerfs "
"147";"+";"-";"-";"-";"-";"<E>";" jouer";"avec";"la";"-";" santé";"-";"+";"-";"-";"+";"§jouer§avec la santé "
"148";"+";"-";"-";"-";"-";"<E>";" jouer";"avec";"la";"-";" vie";"-";"+";"-";"-";"+";"§jouer§avec la vie "
"149";"+";"-";"+";"-";"-";"se";" lamenter";"sur";"le";"-";" sort";"-";"+";"-";"-";"+";"§se lamenter§sur le sort "
"150";"+";"-";"-";"-";"-";"<E>";" lire";"dans";"le";"+";" coeur";"-";"+";"-";"-";"+";"§lire§dans le coeur "
"151";"+";"-";"-";"-";"-";"<E>";" lire";"dans";"le";"-";" jeu";"-";"+";"-";"-";"+";"§lire§dans le jeu "
"152";"+";"-";"-";"-";"-";"<E>";" lire";"dans";"les";"-";" pensées";"-";"+";"-";"-";"+";"§lire§dans les pensées "
"153";"+";"-";"-";"-";"-";"<E>";" manger";"dans";"le";"+";" creux de la main";"-";"+";"-";"+";"+";"§manger§dans le creux de la main "
"154";"+";"-";"-";"-";"-";"<E>";" manger";"à";"la";"-";" gamelle";"-";"+";"-";"-";"+";"§manger§à la gamelle "
"155";"+";"-";"-";"-";"-";"<E>";" manger";"dans";"la";"+";" main";"-";"+";"-";"+";"+";"§manger§dans la main "
"156";"-";"+";"-";"-";"-";"<E>";" manquer";"à";"la";"-";" gloire";"-";"+";"-";"-";"+";"§manquer§à la gloire "
"157";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"-";" brisées";"-";"+";"-";"-";"+";"§marcher§sur les brisées "
"158";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"le";"+";" corps";"-";"+";"-";"+";"+";"§marcher§sur le corps "
"159";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"+";" pas";"-";"+";"-";"-";"+";"§marcher§sur les pas "
"160";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"+";" pieds";"-";"+";"-";"+";"+";"§marcher§sur les pieds "
"161";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"-";" plates-bandes";"-";"+";"-";"-";"+";"§marcher§sur les plates-bandes "
"162";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"+";" talons";"-";"+";"-";"-";"+";"§marcher§sur les talons "
"163";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"les";"-";" traces";"-";"+";"-";"-";"+";"§marcher§sur les traces "
"164";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"le";"+";" ventre";"-";"+";"-";"+";"+";"§marcher§sur le ventre "
"165";"+";"-";"-";"-";"-";"<E>";" marcher";"sur";"le";"+";" ventre";"-";"+";"-";"+";"+";"§marcher§sur le ventre "
"166";"-";"+";"+";"-";"-";"se";" marquer";"sur";"les";"+";" traits";"-";"+";"-";"-";"+";"§se marquer§sur les traits "
"167";"-";"+";"+";"-";"-";"se";" marquer";"sur";"le";"+";" visage";"-";"+";"-";"-";"+";"§se marquer§sur le visage "
"168";"+";"-";"+";"-";"-";"se";" mêler";"de";"les";"-";" affaires";"-";"+";"-";"-";"+";"§se mêler§des affaires "
