"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"235";"+";"-";"-";"-";"-";"<E>";" pisser";"à";"le";"+";" cul";"-";"+";"-";"+";"-";"§pisser§au cul "
"236";"+";"-";"-";"-";"-";"<E>";" pisser";"à";"la";"+";" raie";"-";"+";"-";"+";"-";"§pisser§à la raie "
"237";"+";"-";"+";"-";"-";"se";" placer";"de";"le";"-";" point de vue";"-";"+";"-";"-";"+";"§se placer§du point de vue "
"238";"+";"-";"-";"-";"-";"<E>";" pleurer";"sur";"la";"+";" épaule";"-";"+";"-";"-";"+";"§pleurer§sur l'épaule "
"239";"+";"-";"-";"-";"-";"<E>";" pleurer";"dans";"le";"-";" gilet";"-";"+";"-";"-";"+";"§pleurer§dans le gilet "
"240";"+";"-";"-";"-";"-";"<E>";" pleurer";"dans";"le";"-";" giron";"-";"+";"-";"-";"+";"§pleurer§dans le giron "
"241";"+";"-";"+";"-";"-";"se";" porter";"à";"la";"-";" aide";"-";"+";"-";"-";"+";"§se porter§à l'aide "
"242";"+";"-";"+";"-";"-";"se";" porter";"à";"le";"-";" endroit";"-";"-";"+";"-";"-";"§se porter§à l'endroit "
"243";"+";"-";"+";"-";"-";"se";" porter";"sur";"les";"-";" lieux";"-";"-";"+";"-";"-";"§se porter§sur les lieux "
"244";"+";"-";"+";"-";"-";"se";" porter";"à";"la";"-";" rencontre";"-";"+";"-";"-";"+";"§se porter§à la rencontre "
"245";"+";"-";"+";"-";"-";"se";" porter";"à";"le";"-";" secours";"-";"+";"-";"-";"+";"§se porter§au secours "
"246";"+";"-";"+";"-";"-";"se";" poser";"en";"<E>";"-";" accusateur";"+";"+";"+";"-";"-";"§se poser§en accusateur "
"247";"+";"-";"+";"-";"-";"se";" poser";"en";"<E>";"-";" arbitre";"+";"-";"+";"-";"-";"§se poser§en arbitre "
"248";"+";"-";"+";"-";"-";"se";" poser";"en";"<E>";"-";" défenseur";"+";"+";"+";"-";"-";"§se poser§en défenseur "
"249";"+";"+";"-";"-";"-";"<E>";" pourvoir";"à";"les";"-";" besoins";"-";"+";"-";"-";"+";"§pourvoir§aux besoins "
"250";"+";"+";"-";"-";"-";"<E>";" pourvoir";"à";"la";"-";" subsistance";"-";"+";"-";"-";"+";"§pourvoir§à la subsistance "
"251";"+";"+";"-";"-";"-";"<E>";" pousser";"dans";"le";"-";" sens";"-";"+";"+";"-";"+";"§pousser§dans le sens "
"252";"+";"+";"-";"-";"-";"<E>";" préjuger";"de";"le";"-";" avenir";"+";"+";"+";"-";"+";"§préjuger§de l'avenir "
"253";"+";"+";"-";"-";"-";"<E>";" préjuger";"de";"la";"-";" décision";"+";"+";"+";"-";"+";"§préjuger§de la décision "
"254";"-";"+";"-";"-";"-";"<E>";" présider";"à";"la";"-";" destinée";"-";"+";"+";"-";"+";"§présider§à la destinée "
"255";"+";"-";"-";"-";"-";"<E>";" prier";"pour";"le";"-";" repos de l'âme";"-";"+";"-";"-";"+";"§prier§pour le repos de l'âme "
"256";"+";"-";"+";"-";"-";"se";" priver";"de";"les";"-";" services";"-";"+";"-";"-";"+";"§se priver§des services "
"257";"+";"-";"+";"-";"-";"se";" prosterner";"à";"les";"+";" pieds";"-";"+";"-";"-";"+";"§se prosterner§aux pieds "
"258";"+";"-";"-";"-";"-";"<E>";" protester";"de";"le";"-";" attachement";"-";"+";"-";"-";"+";"§protester§de l'attachement "
"259";"+";"-";"-";"-";"-";"<E>";" protester";"de";"le";"-";" dévouement";"-";"+";"-";"-";"+";"§protester§du dévouement "
"260";"+";"-";"-";"-";"-";"<E>";" protester";"de";"les bonnes";"-";" dispositions";"-";"+";"+";"-";"+";"§protester§des bonnes dispositions "
"261";"+";"-";"-";"-";"-";"<E>";" protester";"de";"la bonne";"-";" foi";"-";"+";"+";"-";"+";"§protester§de la bonne foi "
"262";"+";"-";"-";"-";"-";"<E>";" protester";"de";"la";"-";" honnêteté";"-";"+";"+";"-";"+";"§protester§de l'honnêteté "
"263";"+";"-";"-";"-";"-";"<E>";" protester";"de";"la";"-";" innocence";"-";"+";"+";"-";"+";"§protester§de l'innocence "
"264";"+";"-";"-";"-";"-";"<E>";" protester";"de";"les bonnes";"-";" intentions";"-";"+";"+";"-";"+";"§protester§des bonnes intentions "
"265";"+";"-";"-";"-";"-";"<E>";" protester";"de";"la";"-";" loyauté";"-";"+";"-";"-";"+";"§protester§de la loyauté "
"266";"+";"-";"-";"-";"-";"<E>";" protester";"de";"la";"-";" sincérité";"-";"+";"+";"-";"+";"§protester§de la sincérité "
"267";"+";"-";"+";"-";"-";"se";" rallier";"à";"le";"-";" panache";"-";"+";"-";"-";"+";"§se rallier§au panache "
"268";"+";"-";"+";"-";"-";"se";" ranger";"à";"le";"-";" avis";"-";"+";"-";"-";"+";"§se ranger§à l'avis "
"269";"+";"-";"+";"-";"-";"se";" ranger";"à";"la";"-";" opinion";"-";"+";"-";"-";"+";"§se ranger§à l'opinion "
"270";"+";"-";"-";"-";"-";"<E>";" recourir";"à";"les bons";"-";" offices";"-";"+";"-";"-";"+";"§recourir§aux bons offices "
"271";"+";"-";"-";"-";"-";"<E>";" recourir";"à";"les";"-";" services";"-";"+";"-";"-";"+";"§recourir§aux services "
"272";"+";"-";"+";"-";"-";"se";" recueillir";"sur";"la";"-";" tombe";"-";"+";"-";"-";"+";"§se recueillir§sur la tombe "
"273";"+";"-";"-";"-";"-";"<E>";" regarder";"dans";"la";"+";" bouche";"-";"+";"-";"+";"+";"§regarder§dans la bouche "
"274";"+";"-";"-";"-";"-";"<E>";" regarder";"dans";"le";"+";" nez";"-";"+";"-";"+";"+";"§regarder§dans le nez "
"275";"+";"-";"-";"-";"-";"<E>";" regarder";"dans";"le";"+";" oeil";"-";"+";"-";"+";"+";"§regarder§dans l'oeil "
"276";"+";"-";"-";"-";"-";"<E>";" regarder";"dans";"la";"+";" oreille";"-";"+";"-";"+";"+";"§regarder§dans l'oreille "
"277";"-";"+";"-";"-";"-";"<E>";" régner";"dans";"le";"+";" coeur";"+";"+";"-";"-";"+";"§régner§dans le coeur "
