"<ID>";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: te figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"N2 =: V1-inf W";"N2 =: si P";"Exemple"
"389";"<E>";"tu";"-";"-";"-";"+";"-";"-";"-";"me";"vois";"<E>";"<E>";"ravi";"-";"-";"de";"+";"+";"-";"+";"+";"-";"tu§me vois§ravi de "
"390";"<E>";"tu";"-";"-";"-";"-";"-";"-";"+";"ne";"voudrais pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"tu§ne voudrais pas§"
"391";"<E>";"vous";"-";"-";"-";"-";"-";"-";"+";"ne";"voudriez pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"vous§ne voudriez pas§"
"392";"pourquoi";"vous";"-";"-";"-";"-";"-";"-";"-";"<E>";"voulez ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"+";"+";"-";"pourquoi vous§voulez§?"
"393";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"voulez-vous";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"+";"-";"que§voulez-vous§"
"394";"la";"chance";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"la chance§vouloir§"
"395";"les";"circonstances";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"les circonstances§vouloir§"
"396";"le";"hasard";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"l'hasard§vouloir§"
"397";"la";"logique";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"la logique§vouloir§"
"398";"la";"malchance";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"la malchance§vouloir§"
"399";"le";"sort";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"le sort§vouloir§"
"400";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la tradition§vouloir§pour "
"401";"le";"usage";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"l'usage§vouloir§"
"402";"le";"usage";"-";"-";"-";"-";"-";"-";"-";"<E>";"vouloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"l'usage§vouloir§"
"403";"<E>";"vous";"-";"-";"-";"+";"-";"-";"-";"me";"voyez";"<E>";"<E>";"Adj";"-";"-";"de";"+";"+";"-";"+";"+";"-";"vous§me voyez§Adj de "
"404";"<E>";"vous";"-";"-";"-";"+";"-";"-";"-";"me";"voyez";"<E>";"<E>";"content";"-";"-";"de";"+";"+";"-";"+";"+";"-";"vous§me voyez§content de "
"405";"<E>";"vous";"-";"-";"-";"+";"-";"-";"-";"me";"voyez";"<E>";"<E>";"ravi";"-";"-";"de";"+";"+";"-";"+";"+";"-";"vous§me voyez§ravi de "

