"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"348";"c'";"-";"-";"<E>";" être";" est";"<E>";"tant";"pis";"-";"-";"-";"+";"-";"-";"si";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est§tant pis si P "
"349";"c'";"-";"-";"<E>";" être";" est";"<E>";"des";"pleurs";"-";"-";"-";"-";"-";"-";"et";"des";"grincements de dents";"+";"pour";"+";"-";"-";"-";"-";"c'§est§des pleurs et des grincements de dents pour "
"350";"c'";"-";"-";"<E>";" être";" est";"tout à";"le";"plus";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout au plus "
"351";"c'";"-";"-";"<E>";" être";" est";"dans";"la";"poche";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§dans la poche pour "
"352";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout un";"poème";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout un poème "
"353";"c'";"-";"-";"<E>";" être";" est";"à";"le";"poil";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§au poil "
"354";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"politesse";"-";"-";"-";"-";"-";"-";"<E>";"qui";"étouffe";"+";"<E>";"+";"-";"-";"-";"-";"ce§n'est pas§la politesse qui étouffe "
"355";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"pompon";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le pompon "
"356";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"porte";"-";"-";"-";"-";"-";"-";"à";"<E>";"côté";"-";"-";"-";"-";"-";"-";"-";"c'§est§la porte à côté "
"357";"c'";"-";"-";"<E>";" être";" est";"<E>";"la Dnum-ième";"porte";"-";"-";"+";"-";"-";"-";"à";"<E>";"droite";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Dnum-ième porte à droite "
"358";"c'";"-";"-";"<E>";" être";" est";"<E>";"la Dnum-ième";"porte";"-";"-";"+";"-";"-";"-";"à";"<E>";"gauche";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Dnum-ième porte à gauche "
"359";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"possible !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§possible! "
"360";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"pot de terre";"-";"-";"-";"-";"-";"-";"contre";"le";"pot de fer";"-";"-";"-";"-";"-";"-";"-";"c'§est§le pot de terre contre le pot de fer "
"361";"ce";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"pourquoi";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"P";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§pourquoi P "
"362";"c'";"-";"-";"<E>";" être";" est";"<E>";"le même";"prix !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le même prix! "
"363";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"promis";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"juré !";"-";"-";"-";"-";"-";"-";"-";"c'§est§promis juré! "
"364";"c'";"-";"-";"<E>";" être";" est";"comme";"si";"Pron";"-";"-";"-";"-";"-";"-";"<E>";"y";"est";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme si Pron y est "
"365";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"propre !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du propre! "
"366";"ce";"-";"+";"n'";" être pas";" est pas";"pour";"des";"prunes";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§pour des prunes "
"367";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça !";"-";"-";"-";"-";"-";"-";"-";"c'§est§quelque chose ça! "
"368";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"quelque chose !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§quelque chose! "
"369";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"qui";"-";"+";"-";"-";"-";"-";"<E>";"la";"faute ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui la faute ? "
"370";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"qui";"-";"+";"-";"-";"-";"-";"<E>";"le";"tour ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§qui le tour ? "
"371";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"qui";"-";"+";"-";"-";"-";"-";"<E>";"le";"tour ?";"+";"<E>";"-";"-";"-";"-";"+";"c'§est§à qui le tour ? "
"372";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"qui";"-";"+";"-";"-";"-";"-";"<E>";"le";"tour ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui le tour ? "
"373";"c'";"-";"-";"<E>";" être";" est";"<E>";"ce";"qui";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"tromper";"+";"<E>";"+";"-";"-";"-";"-";"c'§est§ce qui tromper "
"374";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"qui ?";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui ? "
"375";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"quoi";"-";"-";"-";"-";"-";"-";"<E>";"ce";"travail ?";"-";"-";"-";"-";"-";"-";"-";"c'§est§quoi ce travail ? "
"376";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"quoi ?";"-";"-";"-";"-";"-";"-";"<E>";"le";"nom";"+";"de";"+";"+";"-";"-";"-";"c'§est§quoi ? le nom de "
"377";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"raison";"-";"-";"-";"-";"-";"-";"de";"<E>";"plus";"+";"pour";"-";"-";"-";"+";"+";"c'§est§raison de plus pour "
"378";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"râpé";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§râpé "
"379";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"réfléchi";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout réfléchi "
"380";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"de";"refus";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§de refus "
"381";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"reparti";"-";"-";"-";"-";"-";"-";"pour";"un";"tour";"-";"-";"-";"-";"-";"-";"-";"c'§est§reparti pour un tour "
"382";"c'";"-";"-";"<E>";" être";" est";"<E>";"des";"retours";"+";"-";"-";"-";"-";"-";"de";"<E>";"manivelle";"+";"pour";"+";"+";"-";"-";"-";"c'§est§des retours de manivelle pour "
"383";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§rien "
"384";"ce";"-";"+";"n'";" être pas";" est pas";"pour";"<E>";"rien";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§pour rien "
"385";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"-";"de";"le";"dire !";"-";"-";"-";"-";"-";"-";"-";"c'§est§rien du dire! "
"386";"ce";"-";"+";"n'";" être";" est";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"-";"de";"le";"dire !";"-";"-";"-";"-";"-";"-";"-";"ce§n'est§rien du dire! "
"387";"c'";"-";"-";"<E>";" être";" est";"<E>";"la Dnum-ième";"rue";"-";"-";"+";"-";"-";"-";"à";"<E>";"droite";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Dnum-ième rue à droite "
"388";"c'";"-";"-";"<E>";" être";" est";"<E>";"la Dnum-ième";"rue";"-";"-";"+";"-";"-";"-";"à";"<E>";"gauche";"-";"-";"-";"-";"-";"-";"-";"c'§est§la Dnum-ième rue à gauche "
"389";"c'";"-";"-";"<E>";" être";" est";"<E>";"DET";"ruée !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§DET ruée! "
"390";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"ruine !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la ruine! "
"391";"c'";"-";"-";"<E>";" être";" est";"dans";"le";"sac !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§dans le sac! "
"392";"c'";"-";"-";"<E>";" être";" est";"tous";"des";"salauds";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tous des salauds "
"393";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"Seigneur";"-";"-";"-";"-";"-";"-";"<E>";"qui";"envoyer";"-";"-";"-";"-";"-";"-";"-";"c'§est§le Seigneur qui envoyer "
"394";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"selon";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§selon "
"395";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"selon";"-";"-";"-";"-";"-";"-";"<E>";"les";"cas";"-";"-";"-";"-";"-";"-";"-";"c'§est§selon les cas "
"396";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"semaine";"-";"-";"-";"-";"-";"-";"de";"<E>";"bonté";"+";"de";"+";"-";"-";"-";"-";"c'§est§la semaine de bonté de "
"397";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"signe";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§signe "
"398";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"sport";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du sport "
"399";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"statu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"quo";"-";"-";"-";"-";"-";"-";"-";"c'§est§le statu quo "
"400";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"tant";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tant "
"401";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"tapé";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tapé "
"402";"c'";"-";"-";"<E>";" être";" est";"<E>";"trop";"tard";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"-";"-";"-";"+";"-";"c'§est§trop tard pour "
"403";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"tellement";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tellement "
"404";"c'";"-";"-";"<E>";" être";" était";"<E>";"le bon";"temps";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§était§le bon temps "
"405";"c'";"-";"-";"<E>";" être";" est";"<E>";"sale";"temps";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§sale temps pour "
"406";"ce";"-";"+";"n'";" être ni";" est ni";"<E>";"le";"temps";"-";"-";"-";"-";"-";"-";"ni";"le";"lieu";"+";"-";"-";"-";"-";"-";"+";"ce§n'est ni§le temps ni le lieu "
"407";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toi";"-";"-";"-";"-";"-";"-";"<E>";"qui le";"dis";"-";"-";"-";"-";"-";"-";"-";"c'§est§toi qui le dis "
"408";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toi";"-";"-";"-";"-";"-";"-";"<E>";"qui";"vois";"-";"-";"-";"-";"-";"-";"-";"c'§est§toi qui vois "
"409";"c'";"-";"-";"<E>";" être";" est";"<E>";"un";"tollé général";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"contre";"+";"+";"-";"-";"-";"c'§est§un tollé général contre "
"410";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"tonnerre !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du tonnerre! "
"411";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"trop";"tôt";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§trop tôt "
"412";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"totale !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la totale! "
"413";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme toujours "
"414";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours ça "
"415";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours comme ça "
"416";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça de fait";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours ça de fait "
"417";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça de pris";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours ça de pris "
"418";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"ça de pris sur l'ennemi";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours ça de pris sur l'ennemi "
"419";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"la même";"chanson";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours la même chanson "
"420";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"la même";"chose";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours la même chose "
"421";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"la même";"histoire";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours la même histoire "
"422";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"la même";"musique";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours la même musique "
"423";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"toujours";"-";"-";"-";"-";"-";"-";"<E>";"le même";"refrain";"-";"-";"-";"-";"-";"-";"-";"c'§est§toujours le même refrain "
"424";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"tour";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"+";"<E>";"-";"-";"-";"-";"+";"c'§est§le tour "
"425";"c'";"-";"-";"<E>";" être";" est";"à";"le";"tour";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"+";"<E>";"-";"-";"-";"-";"+";"c'§est§au tour "
"426";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"tout";"-";"-";"-";"-";"-";"-";"pour";"<E>";"aujourd'hui";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout pour aujourd'hui "
"427";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"tout";"-";"-";"-";"-";"-";"-";"ou";"<E>";"rien";"+";"avec";"+";"-";"-";"-";"-";"c'§est§tout ou rien avec "
"428";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"tout !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout! "
"429";"c'";"-";"-";"<E>";" être";" est";"<E>";"ce qui te";"trompe";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§ce qui te trompe "
"430";"c'";"-";"-";"<E>";" être";" est";"<E>";"ce qui vous";"trompe";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§ce qui vous trompe "
"431";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"trop";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"de";"+";"+";"-";"-";"-";"c'§est§trop de "
"432";"c'";"+";"-";"en";" être";" est";"<E>";"<E>";"trop !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§en est§trop! "
"433";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"trop !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"trop !";"-";"-";"-";"-";"-";"-";"-";"c'§est§trop! trop ! "
"434";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"tu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"veux";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme tu veux "
"435";"c'";"-";"-";"<E>";" être";" est";"<E>";"encore";"un";"-";"+";"-";"-";"-";"-";"que";"les";"Boches n'auront pas";"-";"-";"-";"-";"-";"-";"-";"c'§est§encore un que les Boches n'auront pas "
"436";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"un !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout un! "
"437";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la";"veille";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"demain";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la veille demain "
"438";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"vérité";"-";"-";"-";"-";"-";"-";"<E>";"toute";"nue";"-";"-";"-";"-";"-";"-";"-";"c'§est§la vérité toute nue "
"439";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"V-fut W";"-";"-";"-";"-";"-";"-";"<E>";"le";"dernier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui V-fut W le dernier "
"440";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"V-fut W";"-";"-";"-";"-";"-";"-";"<E>";"le";"plus";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui V-fut W le plus "
"441";"c'";"-";"-";"<E>";" être";" est";"à";"qui";"V-fut W";"-";"-";"-";"-";"-";"-";"<E>";"le";"premier";"-";"-";"-";"-";"-";"-";"-";"c'§est§à qui V-fut W le premier "
"442";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"vie";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la vie "
"443";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"vie";"-";"-";"-";"-";"-";"-";"de";"<E>";"château !";"-";"-";"-";"-";"-";"-";"-";"c'§est§la vie de château! "
"444";"c'";"-";"-";"<E>";" être";" est";"à";"la";"vie";"-";"-";"-";"-";"-";"-";"à";"la";"mort";"+";"avec";"+";"-";"-";"-";"-";"c'§est§à la vie à la mort avec "
"445";"c'";"-";"-";"<E>";" être";" est";"à";"<E>";"voir";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§à voir "
"446";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"vous";"-";"-";"-";"-";"-";"-";"<E>";"qui le";"dites";"-";"-";"-";"-";"-";"-";"-";"c'§est§vous qui le dites "
"447";"c'";"-";"-";"<E>";" être";" est";"comme";"<E>";"vous";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"voulez";"-";"-";"-";"-";"-";"-";"-";"c'§est§comme vous voulez "
"448";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"<E>";"vrai !";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§vrai! "
"449";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"vu";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§tout vu "
"450";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"zéro";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"+";"-";"-";"-";"c'§est§zéro pour "
"451";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"zéro";"-";"-";"-";"-";"-";"-";"de";"<E>";"conduite";"+";"pour";"+";"-";"-";"-";"-";"c'§est§zéro de conduite pour "
"452";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"faux";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du faux "
"453";"c'";"-";"-";"<E>";" être";" est";"<E>";"du";"vrai";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§du vrai "
"454";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"vrai";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§vrai "
"455";"c'";"-";"-";"<E>";" être bien";" est bien";"<E>";"<E>";"vrai";"-";"-";"-";"-";"-";"-";"<E>";"ce";"mensonge ?";"-";"-";"-";"-";"-";"-";"-";"c'§est bien§vrai ce mensonge ? "
"456";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"vrai";"-";"-";"-";"-";"-";"-";"de";"<E>";"vrai";"-";"-";"-";"-";"-";"-";"-";"c'§est§vrai de vrai "

