"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"198";"c'";"-";"-";"<E>";" être";" est";"<E>";"la première et la dernière";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la première et la dernière fois "
"199";"c'";"-";"-";"<E>";" être";" est";"<E>";"la première";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§la première fois "
"200";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"la première";"fois";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§la première fois "
"201";"c'";"-";"-";"<E>";" être";" sera";"pour";"une autre";"fois";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§sera§pour une autre fois "
"202";"c'";"-";"-";"<E>";" être";" sera";"pour";"la prochaine";"fois";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§sera§pour la prochaine fois "
"203";"c'";"-";"-";"<E>";" être";" est";"<E>";"trois";"fois";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"-";"-";"c'§est§trois fois rien "
"204";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"folie";"-";"-";"-";"+";"+";"-";"de";"la";"part";"+";"de";"+";"-";"-";"-";"-";"c'§est§folie de la part de "
"205";"c'";"-";"-";"<E>";" être";" est";"<E>";"trop";"fort";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§trop fort "
"206";"c'";"-";"-";"<E>";" être";" est";"<E>";"un peu";"fort";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§un peu fort "
"207";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"fou";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§fou "
"208";"c'";"-";"-";"<E>";" être";" est";"<E>";"<E>";"foutaises";"-";"-";"-";"-";"-";"-";"que";"tout";"cela";"-";"-";"-";"-";"-";"-";"-";"c'§est§foutaises que tout cela "
"209";"c'";"-";"-";"<E>";" être";" est";"<E>";"le";"foutoir";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§le foutoir "
