"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"129";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"il";"-";"-";"y avoir";"de";"pire";"-";"-";"§est§ce qu'il y a de pire "
"130";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"il";"-";"-";"y avoir";"de";"plus Adj";"-";"-";"§est§ce qu'il y a de plus Adj "
"131";"+";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"il";"-";"-";"y avoir";"de";"plus sérieux";"-";"-";"§est§ce qu'il y a de plus sérieux "
"132";"+";"-";"-";"-";"-";"-";"<E>";" être";"-";"-";"+";"ce";"que";"Il-0";"+";"-";"être";"<E>";"<E>";"-";"-";"§est§ce qu'il est "
"133";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"le";"moins";"que";"+";"-";"puisse";"<E>";"V-inf1 W";"-";"-";"§est§le moins que puisse V-inf1 W "
"134";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"-";"-";"le";"moins";"que";"+";"-";"puisse";"<E>";"dire à Luc";"-";"-";"§est§le moins que puisse dire à Luc "
"135";"-";"+";"-";"-";"-";"+";"n'";" être";"-";"-";"-";"<E>";"<E>";"rien à";"-";"-";"faire";"<E>";"<E>";"-";"-";"§n'est§rien à fait "
"136";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"+";"-";"à";"<E>";"tout";"-";"-";"casser";"<E>";"<E>";"-";"-";"§est§à tout casser "
"137";"+";"-";"-";"-";"-";"+";"n'";" être pas";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"attraper";"avec des";"pincettes";"-";"-";"§n'est pas§à attraper avec des pincettes "
"138";"-";"+";"-";"-";"-";"+";"n'";" être pas";"-";"+";"-";"sans";"<E>";"<E>";"-";"-";"déplaire";"à";"<E>";"+";"-";"§n'est pas§sans déplaire à "
"139";"+";"+";"-";"-";"-";"+";"n'";" être pas";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"prendre";"avec des";"pincettes";"-";"-";"§n'est pas§à prendre avec des pincettes "
