"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"366";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"-";"-";"<E>";"<E>";"comment";"-";"-";"dire";"à";"<E>";"+";"-";"§ne savoir§comment dire à "
"367";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"-";"-";"<E>";"<E>";"comment";"-";"-";"faire";"<E>";"<E>";"-";"-";"§ne savoir§comment fait "
"368";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"+";"+";"<E>";"<E>";"comment";"-";"-";"prendre";"<E>";"<E>";"+";"-";"§savoir§comment prendre "
"369";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"comment";"-";"-";"remercier";"<E>";"<E>";"+";"-";"§ne savoir§comment remercier "
"370";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"de";"quel";"côté";"-";"-";"venir";"le";"vent";"-";"-";"§savoir§de quel côté venir le vent "
"371";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"de";"quel";"côté le pain";"-";"-";"est";"<E>";"beurré";"-";"-";"§savoir§de quel côté le pain est beurré "
"372";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"de quoi";"<E>";"demain";"-";"-";"être";"<E>";"fait";"-";"-";"§savoir§de quoi demain est fait "
"373";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"ce";"que";"il";"-";"-";"en être";"<E>";"<E>";"-";"-";"§savoir§ce qu'il en est "
"374";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"de quoi";"<E>";"il";"-";"-";"retourner";"<E>";"<E>";"-";"-";"§savoir§de quoi il retourner "
"375";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"ce";"que";"Il-0";"+";"-";"dire";"<E>";"<E>";"-";"-";"§savoir§ce qu'il dire "
"376";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"ce";"que";"Il-0";"+";"-";"faire";"<E>";"<E>";"-";"-";"§savoir§ce qu'il fait "
"377";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"<E>";"ce que";"Il-0";"-";"-";"vouloir";"<E>";"<E>";"-";"-";"§savoir§ce qu'il vouloir "
"378";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"par";"<E>";"où";"-";"-";"commencer";"<E>";"<E>";"-";"-";"§ne savoir§par où commencer "
"379";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"où";"-";"-";"donner";"de la";"tête";"-";"-";"§ne savoir§où donner de la tête "
"380";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"où";"-";"-";"se cacher";"<E>";"<E>";"-";"-";"§ne savoir§où se cacher "
"381";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"où";"-";"-";"se fourrer";"<E>";"<E>";"-";"-";"§ne savoir§où se fourrer "
"382";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"où";"-";"-";"se mettre";"<E>";"<E>";"-";"-";"§ne savoir§où se mettre "
"383";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"où";"-";"-";"se tourner";"<E>";"<E>";"-";"-";"§ne savoir§où se tourner "
"384";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"sur";"quel";"pied";"-";"-";"danser";"<E>";"<E>";"-";"-";"§ne savoir§sur quel pied danser "
"385";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"que";"-";"-";"dire";"<E>";"<E>";"-";"-";"§ne savoir§trop que dire "
"386";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"que";"-";"-";"faire";"<E>";"<E>";"-";"-";"§ne savoir§trop que fait "
"387";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"que";"-";"-";"penser";"de";"<E>";"+";"+";"§ne savoir§trop que penser de "
"388";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"-";"<E>";"<E>";"qui";"+";"-";"être";"<E>";"qui";"-";"-";"§savoir§qui est qui "
"389";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"vers";"<E>";"qui";"-";"-";"se tourner";"<E>";"<E>";"-";"-";"§ne savoir§vers qui se tourner "
"390";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"quoi";"-";"-";"dire";"<E>";"<E>";"-";"-";"§ne savoir§trop quoi dire "
"391";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"quoi";"-";"-";"faire";"<E>";"<E>";"-";"-";"§ne savoir§trop quoi fait "
"392";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"<E>";"quoi";"-";"-";"inventer";"<E>";"<E>";"-";"-";"§ne savoir§quoi inventer "
"393";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"<E>";"trop";"quoi";"-";"-";"penser";"de";"<E>";"+";"+";"§ne savoir§trop quoi penser de "
"394";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"-";"-";"+";"à";"<E>";"quoi";"-";"-";"s'en tenir";"<E>";"<E>";"-";"-";"§savoir§à quoi s'en tenir "
"395";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"à";"quel";"saint";"-";"-";"se vouer";"<E>";"<E>";"-";"-";"§ne savoir§à quel saint se vouer "
"396";"+";"-";"-";"-";"-";"+";"ne";" savoir";"-";"+";"+";"à";"quel";"saint Il-0";"-";"-";"doit";"<E>";"se vouer";"-";"-";"§ne savoir§à quel saint il doit se vouer "
"397";"+";"-";"-";"-";"-";"+";"ne";" savoir ni";"-";"+";"-";"<E>";"<E>";"lire ni";"-";"-";"écrire";"<E>";"<E>";"-";"-";"§ne savoir ni§lire ni écrire "
"398";"+";"-";"-";"-";"-";"-";"se";" sentir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"fondre";"<E>";"<E>";"-";"-";"§se sentir§fondre "
"399";"+";"-";"-";"-";"-";"-";"le";" sentir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"<E>";"<E>";"-";"-";"§le sentir§passer "
"400";"+";"-";"+";"-";"-";"+";"ne se";" sentir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"pisser";"<E>";"<E>";"-";"-";"§ne se sentir§pisser "
"401";"+";"-";"-";"-";"-";"-";"<E>";" sentir";"-";"-";"+";"de";"quel";"côté";"-";"-";"venir";"le";"vent";"-";"-";"§sentir§de quel côté venir le vent "
"402";"+";"-";"-";"-";"-";"-";"<E>";" sentir";"-";"+";"-";"<E>";"la";"heure";"-";"-";"venir";"<E>";"<E>";"-";"-";"§sentir§l'heure venir "
"403";"+";"-";"-";"-";"-";"-";"<E>";" sentir";"-";"+";"-";"<E>";"la";"mort";"-";"-";"venir";"<E>";"<E>";"-";"-";"§sentir§la mort venir "
"404";"+";"-";"-";"-";"-";"-";"<E>";" sommer";"-";"-";"-";"de";"<E>";"<E>";"-";"-";"se rendre";"<E>";"<E>";"+";"-";"§sommer§de se rendre "
"405";"+";"-";"-";"-";"-";"-";"<E>";" sortir";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"en prendre";"<E>";"<E>";"-";"-";"§sortir§d'en prendre "
"406";"+";"-";"-";"-";"-";"-";"<E>";" trouver";"-";"+";"+";"à";"qui";"<E>";"-";"-";"parler";"<E>";"<E>";"-";"-";"§trouver§à qui parler "
"407";"+";"-";"-";"-";"-";"-";"<E>";" user";"-";"-";"-";"et";"<E>";"<E>";"-";"-";"abuser";"de";"<E>";"-";"+";"§user§et abuser de "
"408";"+";"-";"-";"-";"-";"-";"<E>";" va";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"montrer !";"à";"<E>";"+";"-";"§va§montrer! à "
"409";"+";"-";"-";"-";"-";"-";"<E>";" va";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"voir !";"<E>";"<E>";"-";"-";"§va§voir! "
"410";"+";"+";"-";"-";"-";"-";"<E>";" venir";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"passer";"<E>";"<E>";"-";"-";"§venir§à passer "
"411";"+";"-";"-";"-";"-";"-";"<E>";" voir";"-";"-";"-";"<E>";"<E>";"<E>";"+";"+";"arriver";"de";"loin";"-";"-";"§voir§arriver de loin "
"412";"+";"-";"-";"-";"-";"-";"<E>";" voir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"-";"-";"§voir§venir "
"413";"+";"-";"-";"-";"-";"-";"<E>";" voir";"-";"-";"-";"<E>";"<E>";"<E>";"+";"+";"venir";"de";"loin";"-";"-";"§voir§venir de loin "
"414";"+";"-";"-";"-";"-";"-";"<E>";" voir";"-";"-";"+";"de";"quel";"bois";"+";"-";"se chauffer";"<E>";"<E>";"-";"-";"§voir§de quel bois se chauffer "
"415";"+";"-";"-";"-";"-";"+";"ne";" voir";"-";"-";"-";"<E>";"le";"temps";"-";"-";"passer";"<E>";"<E>";"-";"-";"§ne voir§le temps passer "
"416";"+";"-";"-";"-";"-";"-";"<E>";" voudrait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"y voir";"<E>";"<E>";"+";"-";"§voudrait§y voir "
"417";"+";"-";"-";"-";"-";"+";"ne";" voudrait pas";"-";"+";"-";"à";"le";"coin d'un bois";"-";"-";"rencontrer";"<E>";"<E>";"+";"-";"§ne voudrait pas§au coin d'un bois rencontrer "
"418";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"blanchir";"la";"tête d'un maure";"-";"-";"§vouloir§blanchir la tête d'un maure "
"419";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"en venir";"<E>";"où ?";"-";"-";"§vouloir§en venir où ? "
"420";"+";"-";"-";"-";"-";"+";"ne";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"le savoir";"<E>";"<E>";"-";"-";"§ne vouloir§le savoir "
"421";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"plaisanter";"<E>";"<E>";"-";"-";"§vouloir§plaisanter "
"422";"+";"-";"-";"-";"-";"+";"ne";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"priver";"<E>";"<E>";"+";"-";"§ne vouloir§priver "
"423";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"rigoler";"<E>";"<E>";"-";"-";"§vouloir§rigoler "
"424";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"rire";"<E>";"<E>";"-";"-";"§vouloir§rire "
"425";"+";"-";"-";"-";"-";"+";"ne";" vouloir";"-";"+";"-";"<E>";"<E>";"entendre";"-";"-";"parler";"de";"<E>";"+";"-";"§ne vouloir§entendre parler de "
"426";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"péter";"-";"-";"plus haut que";"Poss0";"cul";"-";"-";"§vouloir§péter plus haut que son cul "
"427";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"cent";"pieds";"-";"-";"disparaître";"sous";"terre";"-";"-";"§vouloir§cent pieds disparaître sous terre "
"428";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"cent";"pieds";"-";"-";"être";"sous";"terre";"-";"-";"§vouloir§cent pieds est sous terre "
"429";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"cent";"pieds";"-";"-";"rentrer";"sous";"terre";"-";"-";"§vouloir§cent pieds rentrer sous terre "
"430";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"cent";"pieds";"-";"-";"s'enfoncer";"sous";"terre";"-";"-";"§vouloir§cent pieds s'enfoncer sous terre "
"431";"+";"-";"-";"-";"-";"+";"ne";" vouloir";"-";"+";"-";"<E>";"<E>";"rien";"-";"-";"savoir";"<E>";"<E>";"-";"-";"§ne vouloir§rien savoir "
"432";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"tout";"-";"-";"avaler";"<E>";"<E>";"-";"-";"§vouloir§tout avaler "
"433";"+";"-";"-";"-";"-";"-";"<E>";" vouloir";"-";"+";"-";"<E>";"<E>";"tout";"-";"-";"bouffer";"<E>";"<E>";"-";"-";"§vouloir§tout bouffer "
"434";"+";"-";"-";"-";"-";"+";"ne";" vouloir plus";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"entendre";"<E>";"ça";"-";"-";"§ne vouloir plus§entendre ça "

