"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"753";"-";"+";"-";"-";"-";"<E>";"être";"dans";"les";"prix";"+";"-";"-";"+";"-";"§être§dans les prix "
"754";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"processus";"-";"+";"-";"-";"-";"§être§en plein processus "
"755";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"profit";"+";"+";"-";"+";"-";"§être§au profit "
"756";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"programme";"+";"+";"+";"+";"-";"§être§au programme "
"757";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"projets";"+";"-";"-";"+";"-";"§être§dans les projets "
"758";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"prolongement";"-";"+";"-";"-";"-";"§être§en prolongement "
"759";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"prolongement";"-";"+";"-";"+";"-";"§être§dans le prolongement "
"760";"-";"+";"-";"-";"-";"<E>";"être";"dans";"le";"prolongement";"-";"+";"-";"+";"+";"§être§dans le prolongement "
"761";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"proportion";"-";"+";"-";"-";"-";"§être§en proportion "
"762";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"proportions";"+";"-";"-";"+";"-";"§être§aux proportions "
"763";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"propos";"+";"-";"-";"+";"-";"§être§dans le propos "
"764";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"propos";"+";"-";"-";"+";"-";"§être§du propos "
"765";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"prorata";"-";"+";"-";"+";"-";"§être§au prorata "
"766";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"protection";"+";"-";"-";"+";"-";"§être§sous la protection "
"767";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"proximité";"+";"+";"-";"-";"+";"§être§à proximité "
