"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"98";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" hésiter";"-";"-";"-";"entre";"la";"peste";"et";"le";"choléra";"-";"-";"-";"-";"§hésiter§entre la peste "
"99";"+";"-";"+";"-";"-";"-";"-";"-";"s'";" inscrire";"-";"-";"-";"en";"<E>";"faux";"contre";"<E>";"<E>";"-";"-";"-";"+";"§s'inscrire§en faux "
"100";"+";"-";"+";"-";"-";"-";"-";"-";"se";" jeter";"-";"+";"-";"par";"la";"fenêtre";"de";"<E>";"<E>";"-";"-";"-";"+";"§se jeter§par la fenêtre "
"101";"+";"-";"+";"-";"-";"-";"-";"-";"se";" jeter";"-";"-";"-";"à";"le";"feu";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se jeter§au feu "
"102";"+";"-";"+";"-";"-";"-";"-";"-";"se";" jeter";"-";"+";"+";"à";"<E>";"genoux";"devant";"<E>";"<E>";"-";"-";"+";"-";"§se jeter§à genoux "
"103";"+";"-";"+";"-";"-";"-";"-";"-";"se";" jeter";"-";"+";"-";"dans";"la";"mêlée";"à";"<E>";"corps perdu";"-";"+";"-";"-";"§se jeter§dans la mêlée "
"104";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"-";"-";"à";"<E>";"cache-cache";"avec";"<E>";"<E>";"-";"-";"-";"+";"§jouer§à cache-cache "
"105";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"-";"-";"à";"<E>";"cache-cache";"avec";"<E>";"<E>";"-";"-";"+";"+";"§jouer§à cache-cache "
"106";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"à";"les";"devinettes";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§aux devinettes "
"107";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"à";"le";"docteur";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§au docteur "
"108";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"à";"la";"main chaude";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§à la main chaude "
"109";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"+";"-";"à";"le plus";"malin";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§au plus malin "
"110";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"-";"-";"à";"le";"plus fin";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§au plus fin "
"111";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" jouer";"-";"-";"-";"à";"<E>";"touche-pipi";"avec";"<E>";"<E>";"-";"-";"+";"-";"§jouer§à touche-pipi "
"112";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" juger";"-";"-";"-";"de";"<E>";"autrui";"d'après";"<E>";"Lui-0-même";"-";"-";"-";"-";"§juger§d'autrui "
"113";"+";"-";"+";"-";"-";"-";"-";"-";"se";" lancer";"-";"-";"-";"à";"<E>";"corps perdu";"dans";"<E>";"<E>";"+";"-";"-";"+";"§se lancer§à corps perdu "
"114";"+";"-";"+";"-";"-";"-";"-";"-";"se";" lier";"-";"-";"-";"de";"<E>";"amitié";"avec";"<E>";"<E>";"+";"-";"+";"-";"§se lier§d'amitié "
"115";"+";"-";"+";"-";"-";"-";"-";"-";"se";" livrer";"-";"-";"-";"à";"certains";"actes";"sur";"la";"personne de Nhum";"-";"-";"-";"-";"§se livrer§à certains actes "
"116";"+";"-";"+";"-";"-";"-";"-";"-";"se";" livrer";"-";"-";"-";"à";"une";"action";"sur";"la";"personne de Nhum";"-";"-";"-";"-";"§se livrer§à une action "
"117";"+";"-";"+";"-";"-";"-";"-";"-";"se";" livrer";"-";"-";"-";"à";"des";"brutalités";"sur";"la";"personne de Nhum";"-";"-";"-";"-";"§se livrer§à des brutalités "
"118";"+";"-";"+";"-";"-";"-";"-";"-";"se";" livrer";"-";"-";"-";"à";"un";"geste";"sur";"la";"personne de Nhum";"-";"-";"-";"-";"§se livrer§à un geste "
"119";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" loger";"-";"-";"-";"à";"la même";"enseigne";"avec";"<E>";"<E>";"-";"-";"+";"-";"§loger§à la même enseigne "
