"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"449";"le";"-";"-";" pire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"venir";"-";"-";"le pire§est§à venir "
"450";"Det";"-";"-";" plaie";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"vif";"-";"+";"un plaie§est§à vif "
"451";"tout le";"-";"-";" plaisir";"-";"-";"-";"-";"<E>";" être";" est";"pour";"-";"-";"<E>";"moi";"-";"-";"tout le plaisir§est§pour moi "
"452";"tout le";"-";"-";" plaisir";"-";"-";"-";"-";"<E>";" être";" est";"pour";"-";"-";"<E>";"nous";"-";"-";"tout le plaisir§est§pour nous "
"453";"Det";"-";"-";" pli";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"prendre";"+";"-";"un pli§est§à prendre "
"454";"Det";"-";"-";" pneu";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"plat";"-";"+";"un pneu§est§à plat "
"455";"le";"-";"-";" poids";"+";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"la";"balance";"-";"-";"le poids§est§dans la balance "
"456";"le";"-";"-";" poids";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"kilo";"+";"-";"le poids§est§de Dnum kilo "
"457";"le";"-";"-";" poids";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"kilo";"+";"-";"le poids§est§de Dnum kilo "
"458";"le";"-";"-";" poids";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"kilo";"+";"-";"le poids§est§de Dnum kilo "
"459";"le";"-";"-";" poids";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"kilogramme";"+";"-";"le poids§est§de Dnum kilogramme "
"460";"<E>";"-";"-";" point";"-";"-";"-";"+";"n'";" être";" est";"<E>";"-";"-";"<E>";"besoin que Psubj";"-";"-";"point§n'est§besoin que Psubj "
"461";"la";"-";"-";" police";"-";"-";"-";"-";"<E>";" être";" est";"sur";"-";"-";"les";"dents";"-";"-";"la police§est§sur les dents "
"462";"Det";"+";"-";" polynôme";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"ordre Dnum";"-";"-";"un polynôme§est§d'ordre Dnum "
"463";"Det";"+";"-";" pont";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"dos d'âne";"-";"-";"un pont§est§en dos d'âne "
"464";"la";"-";"-";" popularité";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"baisse";"+";"-";"la popularité§est§en baisse "
"465";"la";"-";"-";" popularité";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"hausse";"+";"-";"la popularité§est§en hausse "
"466";"le";"-";"-";" pourboire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"appréciation de la clientèle";"-";"-";"le pourboire§est§à l'appréciation de la clientèle "
"467";"le";"-";"-";" pourboire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"appréciation des clients";"-";"-";"le pourboire§est§à l'appréciation des clients "
"468";"la";"-";"-";" pression";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"hectopascal";"+";"-";"la pression§est§de Dnum hectopascal "
"469";"la";"-";"-";" pression";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"millibar";"+";"-";"la pression§est§de Dnum millibar "
"470";"la";"-";"-";" pression";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"millimètre de mercure";"+";"-";"la pression§est§de Dnum millimètre de mercure "
"471";"Det";"-";"-";" prêt";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"fonds perdus";"-";"-";"un prêt§est§à fonds perdus "
"472";"Det";"+";"-";" prison";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"barreaux";"-";"-";"un prison§est§sans barreaux "
"473";"Det";"+";"-";" prison";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"murs";"-";"-";"un prison§est§sans murs "
"474";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"dollar";"+";"-";"le prix§est§de Dnum dollar "
"475";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"franc";"+";"-";"le prix§est§de Dnum franc "
"476";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"franc belge";"+";"-";"le prix§est§de Dnum franc belge "
"477";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"franc suisse";"+";"-";"le prix§est§de Dnum franc suisse "
"478";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"livre";"+";"-";"le prix§est§de Dnum livre "
"479";"le";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mark";"+";"-";"le prix§est§de Dnum mark "
"480";"Det";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"mien";"-";"-";"un prix§est§le mien "
"481";"Det";"-";"-";" prix";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"nôtre";"-";"-";"un prix§est§le nôtre "
"482";"la";"-";"-";" profondeur";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"mètre";"+";"-";"la profondeur§est§de Dnum mètre "
"483";"Det";"+";"-";" projet";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"le";"air";"-";"-";"un projet§est§en l'air "
"484";"Det";"+";"-";" propos";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"le";"air";"+";"-";"un propos§est§en l'air "
"485";"Det";"-";"-";" propos";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire rougir un singe";"+";"-";"un propos§est§à fait rougir un singe "
"486";"le";"-";"-";" public";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"or";"+";"+";"le public§est§en or "
"487";"les";"-";"+";" pupilles";"+";"-";"-";"+";"ne";" être plus que";" sont plus que";"<E>";"-";"-";"des";"fentes";"-";"-";"les pupilles§ne sont plus que§des fentes "
"488";"<E>";"-";"-";" qu'";"-";"-";"-";"-";"<E>";" est-ce";" est-ce";"que";"-";"-";"il y";"a ?";"-";"-";"qu'§est-ce§qu'il y a ? "
"489";"<E>";"-";"-";" qu'";"-";"-";"-";"-";"<E>";" est-ce";" est-ce";"à";"-";"-";"<E>";"dire ?";"-";"-";"qu'§est-ce§à dire ? "
"490";"<E>";"-";"-";" qu'";"-";"-";"-";"-";"<E>";" est-ce";" est-ce";"que";"-";"-";"ce";"est ?";"-";"-";"qu'§est-ce§que c'est ? "
"491";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"étude";"-";"-";"un question§est§à l'étude "
"492";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"examen";"-";"-";"un question§est§à l'examen "
"493";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"examen";"-";"-";"un question§est§en examen "
"494";"la";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Dnum";"francs";"-";"-";"la question§est§à Dnum francs "
"495";"Det";"+";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"sur";"+";"+";"les";"lèvres";"+";"-";"un question§est§sur les lèvres "
"496";"Det";"+";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"sur";"+";"+";"toutes les";"lèvres";"-";"-";"un question§est§sur toutes les lèvres "
"497";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"ordre du jour";"-";"-";"un question§est§à l'ordre du jour "
"498";"la";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Dnum";"points";"-";"-";"la question§est§à Dnum points "
"499";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"réponse";"-";"-";"un question§est§sans réponse "
"500";"la";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"savoir si P";"-";"-";"la question§est§de savoir si P "
"501";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"suspens";"-";"-";"un question§est§en suspens "
"502";"Det";"-";"-";" question";"-";"-";"-";"-";"<E>";" être";" est";"sur";"-";"-";"le";"tapis";"-";"-";"un question§est§sur le tapis "
"503";"Det";"+";"-";" raisonnement";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"faille";"-";"-";"un raisonnement§est§sans faille "
"504";"le";"-";"-";" rapport entre N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"un à";"Dnum";"-";"-";"le rapport entre N§est§d'un à Dnum "
"505";"le";"-";"-";" rapport entre N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"un à";"cent";"-";"-";"le rapport entre N§est§d'un à cent "
"506";"Det";"-";"-";" rédition";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"condition";"-";"-";"un rédition§est§sans condition "
"507";"Det";"-";"-";" rédition";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"conditions";"-";"-";"un rédition§est§sans conditions "
"508";"le";"-";"-";" regard";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"demi";"éteint";"+";"+";"le regard§est§à demi éteint "
"509";"le";"-";"-";" regard";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"expression";"+";"+";"le regard§est§sans expression "
"510";"le";"+";"-";" règlement";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"le";"côté";"+";"-";"le règlement§est§du côté "
"511";"Det";"-";"-";" réponse";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"non";"-";"-";"un réponse§est§non "
"512";"Det";"-";"-";" réponse";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"oui";"-";"-";"un réponse§est§oui "
"513";"Det";"-";"-";" réponse";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"<E>";"si";"-";"-";"un réponse§est§si "
"514";"la";"-";"-";" réputation";"+";"-";"-";"+";"n'";" être plus";" est plus";"à";"-";"-";"<E>";"faire";"-";"-";"la réputation§n'est plus§à fait "
"515";"le";"-";"-";" reste";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"avenant";"-";"-";"le reste§est§à l'avenant "
"516";"le";"-";"-";" résultat";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"même";"-";"-";"le résultat§est§le même "
"517";"la";"-";"-";" révolution";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"marche";"-";"-";"la révolution§est§en marche "
"518";"<E>";"-";"-";" rien";"-";"-";"-";"+";"n'";" être plus";" est plus";"comme";"-";"-";"<E>";"avant";"-";"-";"rien§n'est plus§comme avant "
"519";"plus";"-";"-";" rien";"-";"-";"-";"+";"ne";" être";" sera";"comme";"-";"-";"<E>";"avant";"-";"-";"plus rien§ne sera§comme avant "
"520";"les";"-";"-";" rieurs";"-";"-";"-";"-";"<E>";" être";" sont";"de";"-";"+";"le";"côté";"+";"-";"les rieurs§sont§du côté "
"521";"le";"-";"-";" roi";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"+";"le";"cousin";"-";"-";"le roi§n'est pas§le cousin "
"522";"Det";"-";"-";" roue";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"plat";"-";"+";"un roue§est§à plat "
"523";"Det";"-";"-";" route";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"deux";"voies";"-";"-";"un route§est§à deux voies "
"524";"Det";"-";"-";" route";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"trois";"voies";"-";"-";"un route§est§à trois voies "
"525";"Det";"+";"-";" salaire";"+";"-";"-";"-";"<E>";" être";" est";"hors";"-";"-";"<E>";"indemnités";"-";"-";"un salaire§est§hors indemnités "
"526";"la";"-";"-";" santé";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"fer";"+";"+";"la santé§est§de fer "
"527";"Det";"-";"-";" scrutin";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"proportionnelle";"-";"-";"un scrutin§est§à la proportionnelle "
"528";"les";"-";"-";" sens";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"éveil";"+";"-";"les sens§sont§en éveil "
"529";"la";"-";"-";" sensibilité";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"gauche";"-";"-";"la sensibilité§est§à gauche "
"530";"la";"-";"-";" sensibilité";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"gauche";"-";"-";"la sensibilité§est§de gauche "
"531";"la";"-";"-";" sensibilité";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"vif";"+";"+";"la sensibilité§est§à vif "
"532";"le";"-";"-";" service";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"appréciation de la clientèle";"-";"-";"le service§est§à l'appréciation de la clientèle "
"533";"le";"-";"-";" service";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"appréciation des clients";"-";"-";"le service§est§à l'appréciation des clients "
"534";"la";"-";"-";" situation";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"main";"-";"-";"la situation§est§en main "
"535";"la";"-";"-";" situation";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"mains";"-";"-";"la situation§est§en mains "
"536";"Det";"-";"-";" soleil";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"plomb";"-";"-";"un soleil§est§de plomb "
"537";"le";"-";"-";" soleil";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"son";"zénith";"-";"-";"le soleil§est§à son zénith "
"538";"le";"-";"-";" sommeil";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"plomb";"+";"-";"le sommeil§est§de plomb "
"539";"le";"-";"-";" sort";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"envier";"-";"-";"le sort§est§à envier "
"540";"le";"-";"-";" sort";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"jeu";"+";"-";"le sort§est§en jeu "
"541";"le";"-";"-";" sort";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"le sort§est§dans les mains "
"542";"le";"-";"-";" sort";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"le sort§est§entre les mains "
"543";"les";"-";"-";" soucis";"+";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"le";"vestiaire";"-";"-";"les soucis§sont§au vestiaire "
"544";"les";"-";"+";" sourcils";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"broussaille";"+";"+";"les sourcils§sont§en broussaille "
"545";"Det";"-";"-";" spectacle";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un";"four";"-";"-";"un spectacle§est§un four "
"546";"le";"-";"-";" spectacle";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"la";"salle";"-";"-";"le spectacle§est§dans la salle "
"547";"le";"-";"-";" spectacle";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"la";"salle";"-";"-";"le spectacle§est§dans la salle "
"548";"Det";"+";"-";" steak";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"point";"-";"-";"un steak§est§à point "
"549";"la";"-";"-";" surface";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"are";"+";"-";"la surface§est§de Dnum are "
"550";"la";"-";"-";" surface";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"hectare";"+";"-";"la surface§est§de Dnum hectare "
"551";"la";"-";"-";" surface";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"kilomètre carré";"+";"-";"la surface§est§de Dnum kilomètre carré "
"552";"Det";"-";"-";" surprise";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"taille";"-";"-";"un surprise§est§de taille "
"553";"Det";"+";"-";" tableau";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"double";"entrée";"-";"-";"un tableau§est§à double entrée "
"554";"Det";"+";"-";" tapis";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"points noués";"-";"-";"un tapis§est§à points noués "
"555";"<E>";"-";"-";" tel";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"cas";"-";"-";"tel§est§le cas "
"556";"<E>";"-";"-";" tel";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"+";"le bon";"plaisir";"-";"-";"tel§est§le bon plaisir "
"557";"Det";"+";"-";" téléphone";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"dérangement";"-";"-";"un téléphone§est§en dérangement "
"558";"<E>";"-";"-";" telle";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"+";"la";"volonté";"-";"-";"telle§est§la volonté "
"559";"Det";"+";"-";" témoin";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"barre";"-";"-";"un témoin§est§à la barre "
"560";"le";"-";"-";" temps";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"beau";"-";"-";"le temps§est§au beau "
"561";"le";"-";"+";" temps";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"orage";"-";"-";"le temps§est§à l'orage "
"562";"le";"-";"-";" temps";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"pLuie";"-";"-";"le temps§est§à la pLuie "
"563";"les";"-";"-";" temps";"-";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"les";"restrictions";"-";"-";"les temps§sont§aux restrictions "
"564";"le";"-";"-";" temps";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"saison";"-";"-";"le temps§est§de saison "
"565";"les";"-";"-";" temps";"-";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"le";"sérieux";"-";"-";"les temps§sont§au sérieux "
"566";"Det";"+";"-";" tendance";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"baisse";"-";"-";"un tendance§est§à la baisse "
"567";"Det";"+";"-";" tendance";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"hausse";"-";"-";"un tendance§est§à l'hausse "
"568";"la";"-";"-";" tension électrique";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"ampère";"+";"-";"la tension électrique§est§de Dnum ampère "
"569";"la";"-";"-";" tenue de soirée";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"rigueur";"-";"-";"la tenue de soirée§est§de rigueur "
"570";"la";"-";"+";" tête";"+";"-";"-";"-";"<E>";" être";" est";"près de";"-";"-";"Poss0c";"bonnet";"-";"-";"la tête§est§près de son bonnet "
"571";"Det";"-";"+";" tête";"+";"-";"-";"-";"<E>";" être";" est";"sans";"+";"-";"<E>";"cervelle";"+";"-";"un tête§est§sans cervelle "
"572";"la";"-";"+";" tête";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"envers";"+";"-";"la tête§est§à l'envers "
"573";"la";"-";"+";" tête";"+";"-";"-";"-";"<E>";" être";" est";"sur";"-";"+";"Poss0c";"épaules";"+";"+";"la tête§est§sur ses épaules "
"574";"la";"-";"+";" tête";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"prix";"+";"-";"la tête§est§à prix "
"575";"la";"-";"+";" tête";"+";"-";"-";"+";"n'";" être";" est";"à";"-";"-";"<E>";"travailler";"+";"-";"la tête§n'est§à travailler "
"576";"Det";"-";"-";" thèse";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"+";"<E>";"présence";"-";"-";"un thèse§est§en présence "
"577";"le";"+";"-";" titre";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"jeu";"-";"-";"le titre§est§en jeu "
"578";"le";"-";"-";" ton";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"réplique";"+";"+";"le ton§est§sans réplique "
"579";"les";"-";"-";" torts";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"le";"côté";"+";"-";"les torts§est§du côté "
"580";"le plus";"-";"-";" tôt";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"mieux";"-";"-";"le plus tôt§est§le mieux "
"581";"Det";"-";"-";" tournant";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"épingle à cheveux";"-";"-";"un tournant§est§en épingle à cheveux "
"582";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"avenant";"-";"-";"tout§est§à l'avenant "
"583";"le";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"avenant";"-";"-";"le tout§est§à l'avenant "
"584";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire Loc N";"-";"-";"tout§est§à fait Loc N "
"585";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"pour";"-";"-";"le";"mieux";"-";"-";"tout§est§pour le mieux "
"586";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"oeuvre pour que Max vienne ici";"-";"-";"tout§est§en oeuvre pour que Max vienne ici "
"587";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"oeuvre pour que Psubj";"-";"-";"tout§est§en oeuvre pour que Psubj "
"588";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"ordre !";"-";"-";"tout§est§en ordre! "
"589";"<E>";"-";"-";" tout";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"refaire";"-";"-";"tout§est§à refaire "
"590";"Det";"-";"-";" traité";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"vigueur";"-";"-";"un traité§est§en vigueur "
"591";"les";"-";"+";" traits";"+";"-";"-";"-";"<E>";" être";" sont";"sans";"-";"-";"<E>";"expression";"+";"+";"les traits§sont§sans expression "
"592";"Det";"-";"-";" travail";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"mi-";"temps";"+";"+";"un travail§est§à mi-temps "
"593";"Det";"-";"-";" travail";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"plein";"temps";"+";"+";"un travail§est§à plein temps "
"594";"Det";"-";"-";" tripes";"-";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"la";"mode de Caen";"-";"-";"un tripes§sont§à la mode de Caen "
"595";"Det";"-";"-";" trou";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"fond";"-";"-";"un trou§est§sans fond "
"596";"le";"-";"-";" trouillomètre";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"zéro";"-";"-";"le trouillomètre§est§à zéro "
"597";"<E>";"-";"-";" tu";"-";"-";"-";"-";"<E>";" être";" es";"parmi";"-";"-";"les";"tiens";"-";"-";"tu§es§parmi les tiens "
"598";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"est";"-";"-";"le vent§est§à l'est "
"599";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"force Dnum";"-";"-";"le vent§est§de force Dnum "
"600";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"force 7";"-";"-";"le vent§est§de force 7 "
"601";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"nord";"-";"-";"le vent§est§au nord "
"602";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"ouest";"-";"-";"le vent§est§à l'ouest "
"603";"le";"-";"-";" vent";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"sud";"-";"-";"le vent§est§au sud "
"604";"Det";"+";"-";" vente";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"pièce";"-";"-";"un vente§est§à la pièce "
"605";"Det";"+";"-";" vente";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"unité";"-";"-";"un vente§est§à l'unité "
"606";"le";"-";"-";" ver";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"fruit";"-";"-";"le ver§est§dans le fruit "
"607";"Det";"-";"-";" verre";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"coupe";"-";"-";"un verre§est§à la coupe "
"608";"les";"-";"-";" vêtements";"-";"-";"-";"-";"<E>";" être";" est";"sur";"-";"-";"<E>";"mesure";"+";"-";"les vêtements§est§sur mesure "
"609";"qui";"-";"-";" veut";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"<E>";"-";"-";"qui veut§n'est pas§"
"610";"le";"-";"-";" vice";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"la";"peau";"+";"-";"le vice§est§dans la peau "
"611";"Det";"-";"-";" victoire sur N";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"partage";"-";"-";"un victoire sur N§est§sans partage "
"612";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"derrière";"-";"-";"<E>";"Lui-0c";"+";"-";"la vie§est§derrière luic "
"613";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"devant";"-";"-";"<E>";"Lui-0c";"+";"-";"la vie§est§devant luic "
"614";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"danger";"-";"-";"la vie§est§en danger "
"615";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un";"enfer";"-";"-";"la vie§est§un enfer "
"616";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"la vie§est§dans les mains "
"617";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"la vie§est§entre les mains "
"618";"la";"-";"-";" vie";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"péril";"-";"-";"la vie§est§en péril "
"619";"Det";"-";"-";" virage";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"épingle à cheveux";"-";"-";"un virage§est§en épingle à cheveux "
