"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"253";"Det";"+";"-";" hélice";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"pas variable";"-";"-";"un hélice§est§à pas variable "
"254";"la";"+";"-";" hélice d'avion";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"drapeau";"-";"-";"l'hélice d'avion§est§en drapeau "
"255";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"accommodements";"-";"-";"l'heure§est§aux accommodements "
"256";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"arrangements";"-";"-";"l'heure§est§aux arrangements "
"257";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"compromis";"-";"-";"l'heure§est§aux compromis "
"258";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"concertation";"-";"-";"l'heure§est§à la concertation "
"259";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"discussion";"-";"-";"l'heure§est§à la discussion "
"260";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"négociation";"-";"-";"l'heure§est§à la négociation "
"261";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"réflexion";"-";"-";"l'heure§est§à la réflexion "
"262";"la";"-";"-";" heure";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"les";"réjouissances";"-";"-";"l'heure§est§aux réjouissances "
"263";"Det";"+";"-";" histoire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"dormir debout";"-";"-";"un histoire§est§à dormir debout "
"264";"la";"-";"-";" humeur";"+";"-";"-";"+";"n'";" être pas";" est pas";"à";"-";"-";"<E>";"plaisanter";"-";"-";"l'humeur§n'est pas§à plaisanter "
"265";"la";"-";"-";" humeur";"+";"-";"-";"+";"n'";" être pas";" est pas";"à";"-";"-";"<E>";"rigoler";"-";"-";"l'humeur§n'est pas§à rigoler "
"266";"la";"-";"-";" humeur";"+";"-";"-";"+";"n'";" être pas";" est pas";"à";"-";"-";"<E>";"rire";"-";"-";"l'humeur§n'est pas§à rire "
"267";"Det";"+";"-";" idée";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"le";"air";"-";"-";"un idée§est§en l'air "
"268";"Det";"-";"-";" idée";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"le";"crâne";"+";"-";"un idée§est§dans le crâne "
"269";"Det";"-";"-";" idée";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"la";"tête";"+";"-";"un idée§est§dans la tête "
"270";"<E>";"-";"-";" il";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"des";"N qui V W";"-";"-";"il§est§des N qui V W "
