"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"295";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"degré primitif";"de";"<E>";"civilisation";"-";"-";"§être§à un degré primitif de civilisation "
"296";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"dehors";"de";"le";"coup";"-";"-";"§être§en dehors du coup "
"297";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dehors";"de";"les";"heures de service";"-";"-";"§être§en dehors des heures de service "
"298";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dehors";"de";"les";"limites de l'épure";"-";"-";"§être§en dehors des limites de l'épure "
"299";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"dehors";"de";"la";"mêlée";"-";"-";"§être§en dehors de la mêlée "
"300";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"les";"apparences";"-";"-";"§être§au delà des apparences "
"301";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"une certaine";"limite";"-";"-";"§être§au delà d'une certaine limite "
"302";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"delà";"de";"une certaine";"limite";"-";"-";"§être§en delà d'une certaine limite "
"303";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"les";"mers";"-";"+";"§être§au delà des mers "
"304";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"un certain";"seuil";"-";"-";"§être§au delà d'un certain seuil "
"305";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"les";"siècles";"-";"-";"§être§au delà des siècles "
"306";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"tout";"soupçon";"-";"-";"§être§au delà de tout soupçon "
"307";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"de";"le";"temps";"-";"-";"§être§au delà du temps "
"308";"+";"-";"-";"-";"-";"<E>";"être";"en";"plein";"délire";"de";"<E>";"persécution";"-";"-";"§être§en plein délire de persécution "
"309";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dents";"de";"<E>";"scie";"-";"-";"§être§en dents de scie "
"310";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"départ";"de";"une";"course";"-";"-";"§être§au départ d'une course "
"311";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dépassement";"de";"<E>";"capacité";"-";"-";"§être§en dépassement de capacité "
"312";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dépassement";"de";"<E>";"crédit";"-";"-";"§être§en dépassement de crédit "
"313";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"la";"barre des Dnum points";"-";"-";"§être§au dessous de la barre des Dnum points "
"314";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"la";"barre des Dnum points";"-";"-";"§être§en dessous de la barre des Dnum points "
"315";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"la";"ceinture";"-";"-";"§être§au dessous de la ceinture "
"316";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"une certaine";"limite";"-";"-";"§être§au dessous d'une certaine limite "
"317";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"une certaine";"limite";"-";"-";"§être§en dessous d'une certaine limite "
"318";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"la";"moyenne";"-";"-";"§être§au dessous de la moyenne "
"319";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"la";"moyenne";"-";"-";"§être§en dessous de la moyenne "
"320";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"les";"moyennes saisonnières";"-";"-";"§être§au dessous des moyennes saisonnières "
"321";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"les";"moyennes saisonnières";"-";"-";"§être§en dessous des moyennes saisonnières "
"322";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"le";"niveau de la mer";"-";"+";"§être§au dessous du niveau de la mer "
"323";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"le";"niveau de la mer";"-";"+";"§être§en dessous du niveau de la mer "
"324";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"un certain";"seuil";"-";"-";"§être§au dessous d'un certain seuil "
"325";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"un certain";"seuil";"-";"-";"§être§en dessous d'un certain seuil "
"326";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"tout";"soupçon";"-";"-";"§être§au dessous de tout soupçon "
"327";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"<E>";"tout";"-";"-";"§être§au dessous de tout "
"328";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"de";"<E>";"tout";"-";"-";"§être§en dessous de tout "
"329";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"la";"vérité";"-";"-";"§être§au dessous de la vérité "
"330";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"de";"<E>";"zéro";"-";"-";"§être§au dessous de zéro "
"331";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"la";"barre des Dnum points";"-";"-";"§être§au dessus de la barre des Dnum points "
"332";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"<E>";"ça";"-";"-";"§être§au dessus de ça "
"333";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"calomnies";"-";"-";"§être§au dessus des calomnies "
"334";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"ces";"contingences";"-";"-";"§être§au dessus de ces contingences "
"335";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"contingences matérielles";"-";"-";"§être§au dessus des contingences matérielles "
"336";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"toute";"critique";"-";"-";"§être§au dessus de toute critique "
"337";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"critiques";"-";"-";"§être§au dessus des critiques "
"338";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"une certaine";"limite";"-";"-";"§être§au dessus d'une certaine limite "
"339";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"la";"loi";"-";"-";"§être§au dessus de la loi "
"340";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"lois";"-";"-";"§être§au dessus des lois "
"341";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"le";"lot";"-";"-";"§être§au dessus du lot "
"342";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"la";"mêlée";"-";"-";"§être§au dessus de la mêlée "
"343";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"la";"moyenne";"-";"-";"§être§au dessus de la moyenne "
"344";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"moyennes saisonnières";"-";"-";"§être§au dessus des moyennes saisonnières "
"345";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"le";"niveau de la mer";"-";"+";"§être§au dessus du niveau de la mer "
"346";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"les";"partis";"-";"-";"§être§au dessus des partis "
"347";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"tout";"reproche";"-";"-";"§être§au dessus de tout reproche "
"348";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"un certain";"seuil";"-";"-";"§être§au dessus d'un certain seuil "
"349";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"tout";"soupçon";"-";"-";"§être§au dessus de tout soupçon "
"350";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"de";"<E>";"zéro";"-";"-";"§être§au dessus de zéro "
"351";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"destination";"de";"le grand";"public";"-";"-";"§être§à destination du grand public "
"352";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"devant";"de";"la";"scène";"-";"-";"§être§au devant de la scène "
"353";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"devant";"de";"la";"scène";"-";"-";"§être§sur le devant de la scène "
"354";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"distance";"de";"Dnum";"kilomètre";"-";"+";"§être§à la distance de Dnum kilomètre "
"355";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"distance";"de";"Dnum";"kilomètre";"-";"+";"§être§à une distance de Dnum kilomètre "
"356";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"distance";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à la distance de Dnum N-mesure-de-longueur "
"357";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"distance";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à une distance de Dnum N-mesure-de-longueur "
"358";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"distinction";"de";"<E>";"race ou de religion";"-";"-";"§être§sans distinction de race ou de religion "
"359";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"division";"de";"<E>";"honneur";"-";"-";"§être§en division d'honneur "
"360";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"Dnum";"de";"la";"rue X";"-";"+";"§être§au Dnum de la rue X "
"361";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un certain";"domaine";"de";"<E>";"activité";"-";"-";"§être§dans un certain domaine d'activité "
"362";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"domaine";"de";"les";"choses possibles";"-";"-";"§être§dans le domaine des choses possibles "
"363";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"domaine";"de";"les";"choses possibles";"-";"-";"§être§du domaine des choses possibles "
"364";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"domaine";"de";"le";"possible";"-";"-";"§être§dans le domaine du possible "
"365";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"domaine";"de";"le";"possible";"-";"-";"§être§du domaine du possible "
"366";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un certain";"domaine";"de";"<E>";"recherche";"-";"-";"§être§dans un certain domaine de recherche "
"367";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un certain";"domaine";"de";"la";"recherche";"-";"-";"§être§dans un certain domaine de la recherche "
"368";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un certain";"domaine";"de";"<E>";"recherches";"-";"-";"§être§dans un certain domaine de recherches "
"369";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"domination";"de";"la";"Angleterre";"-";"-";"§être§sous la domination de la Angleterre "
"370";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"domination";"de";"le";"N-pays";"-";"-";"§être§sous la domination du N-pays "
"371";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"brouillard";"-";"-";"§être§dans un drôle de brouillard "
"372";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"cirage";"-";"-";"§être§dans un drôle de cirage "
"373";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"état";"-";"-";"§être§dans un drôle d'état "
"374";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"excitation";"-";"-";"§être§dans une drôle d'excitation "
"375";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"foutoir";"-";"-";"§être§dans un drôle de foutoir "
"376";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"galère";"-";"-";"§être§dans une drôle de galère "
"377";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"guêpier";"-";"-";"§être§dans un drôle de guêpier "
"378";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"jubilation";"-";"-";"§être§dans une drôle de jubilation "
"379";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"marasme";"-";"-";"§être§dans un drôle de marasme "
"380";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"mélasse";"-";"-";"§être§dans une drôle de mélasse "
"381";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"merde";"-";"-";"§être§dans une drôle de merde "
"382";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"merdier";"-";"-";"§être§dans un drôle de merdier "
"383";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"mouise";"-";"-";"§être§dans une drôle de mouise "
"384";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"panade";"-";"-";"§être§dans une drôle de panade "
"385";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"pétrin";"-";"-";"§être§dans un drôle de pétrin "
"386";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"purée";"-";"-";"§être§dans une drôle de purée "
"387";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"drôle";"de";"<E>";"sac de noeuds";"-";"-";"§être§dans un drôle de sac de noeuds "
"388";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"drôle";"de";"<E>";"situation";"-";"-";"§être§dans une drôle de situation "
"389";"+";"-";"-";"-";"-";"<E>";"être";"dans";"de";"drôles";"de";"<E>";"draps";"-";"-";"§être§dans de drôles de draps "
"390";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"eau";"de";"<E>";"pluie";"-";"-";"§être§à l'eau de pluie "
"391";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"eau";"de";"le";"robinet";"-";"-";"§être§à l'eau du robinet "
"392";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"eau";"de";"<E>";"rose";"-";"-";"§être§à l'eau de rose "
"393";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"eau";"de";"<E>";"source";"-";"-";"§être§à l'eau de source "
"394";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"eaux territoriales";"de";"la";"Angleterre";"-";"+";"§être§dans les eaux territoriales de la Angleterre "
"395";"+";"-";"-";"-";"-";"<E>";"être";"dans";"les";"eaux territoriales";"de";"le";"N-pays";"-";"+";"§être§dans les eaux territoriales du N-pays "
"396";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"écart";"de";"la";"mêlée";"-";"-";"§être§à l'écart de la mêlée "
"397";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"écart";"de";"<E>";"tout";"-";"-";"§être§à l'écart de tout "
"398";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"le";"atome";"-";"-";"§être§à l'échelle de l'atome "
"399";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"la";"cellule";"-";"-";"§être§à l'échelle de la cellule "
"400";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"le";"continent";"-";"-";"§être§à l'échelle du continent "
"401";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"la";"molécule";"-";"-";"§être§à l'échelle de la molécule "
"402";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"le";"pays";"-";"-";"§être§à l'échelle du pays "
"403";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"la";"planète";"-";"-";"§être§à l'échelle de la planète "
"404";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"de";"le";"univers";"-";"-";"§être§à l'échelle de l'univers "
"405";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"éclat";"de";"<E>";"voix";"+";"-";"§être§sans éclat de voix "
"406";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"écoute";"de";"Poss0";"interlocuteur";"-";"-";"§être§à l'écoute de son interlocuteur "
"407";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"édition";"de";"<E>";"poche";"-";"-";"§être§en édition de poche "
"408";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"empire";"de";"le";"alcool";"-";"-";"§être§sous l'empire de l'alcool "
"409";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"empire";"de";"la";"boisson";"-";"-";"§être§sous l'empire de la boisson "
"410";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"empire";"de";"la";"terreur";"-";"-";"§être§sous l'empire de la terreur "
"411";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"emprise";"de";"le";"alcool";"-";"-";"§être§sous l'emprise de l'alcool "
"412";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"emprise";"de";"la";"boisson";"-";"-";"§être§sous l'emprise de la boisson "
"413";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"entrée";"de";"le";"virage";"-";"+";"§être§à l'entrée du virage "
"414";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"entrée";"de";"le";"virage";"-";"+";"§être§dans l'entrée du virage "
"415";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"époque";"de";"la";"communication";"-";"-";"§être§à l'époque de la communication "
"416";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"époque";"de";"le";"N";"-";"-";"§être§à l'époque du N "
"417";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"épreuve";"de";"les";"balles";"-";"-";"§être§à l'épreuve des balles "
"418";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"épreuve";"de";"le";"feu";"-";"-";"§être§à l'épreuve du feu "
"419";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"épreuve";"de";"le";"temps";"-";"-";"§être§à l'épreuve du temps "
"420";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"espoir";"de";"<E>";"retour";"-";"-";"§être§sans espoir de retour "
"421";"-";"+";"-";"-";"-";"<E>";"être";"dans";"le";"esprit";"de";"le";"temps";"-";"-";"§être§dans l'esprit du temps "
"422";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"alerte";"-";"-";"§être§en état d'alerte "
"423";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"alerte maximum";"-";"-";"§être§en état d'alerte maximum "
"424";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"apesanteur";"-";"-";"§être§en état d'apesanteur "
"425";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"arrestation";"-";"-";"§être§en état d'arrestation "
"426";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"choc";"-";"-";"§être§en état de choc "
"427";"+";"-";"-";"-";"+";"n'";"être pas";"en";"<E>";"état";"de";"<E>";"conduire";"-";"-";"§n'est pas§en état de conduire "
"428";"+";"-";"-";"-";"-";"<E>";"être";"hors de";"<E>";"état";"de";"<E>";"conduire";"-";"-";"§être§hors d'état de conduire "
"429";"-";"+";"-";"-";"-";"<E>";"être";"en";"bon";"état";"de";"<E>";"conservation";"-";"-";"§être§en bon état de conservation "
"430";"-";"+";"-";"-";"-";"<E>";"être";"en";"excellent";"état";"de";"<E>";"conservation";"-";"-";"§être§en excellent état de conservation "
"431";"-";"+";"-";"-";"-";"<E>";"être";"en";"mauvais";"état";"de";"<E>";"conservation";"-";"-";"§être§en mauvais état de conservation "
"432";"-";"+";"-";"-";"-";"<E>";"être";"en";"parfait";"état";"de";"<E>";"conservation";"-";"-";"§être§en parfait état de conservation "
"433";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"état";"de";"<E>";"décomposition";"-";"-";"§être§dans un état de décomposition "
"434";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"état";"de";"<E>";"décomposition avancé";"-";"-";"§être§dans un état de décomposition avancé "
"435";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"état";"de";"<E>";"décomposition avancée";"-";"-";"§être§dans un état de décomposition avancée "
"436";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"légitime";"défense";"-";"-";"§être§en état de légitime défense "
"437";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"état";"de";"<E>";"ébauche";"-";"-";"§être§à l'état d'ébauche "
"438";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"ébriété";"-";"-";"§être§en état d'ébriété "
"439";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"état";"de";"<E>";"esquisse";"-";"-";"§être§à l'état d'esquisse "
"440";"+";"-";"-";"-";"-";"<E>";"être";"hors de";"<E>";"état";"de";"<E>";"faire quoi que ce soit";"-";"-";"§être§hors d'état de fait quoi que ce soit "
"441";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"grâce";"-";"-";"§être§en état de grâce "
"442";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"grossesse";"-";"-";"§être§en état de grossesse "
"443";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"guerre";"-";"-";"§être§en état de guerre "
"444";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"insurrection";"-";"-";"§être§en état d'insurrection "
"445";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"ivresse";"-";"-";"§être§en état d'ivresse "
"446";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"marche";"-";"-";"§être§en état de marche "
"447";"-";"+";"-";"-";"-";"<E>";"être";"en";"bon";"état";"de";"<E>";"marche";"-";"-";"§être§en bon état de marche "
"448";"-";"+";"-";"-";"-";"<E>";"être";"en";"mauvais";"état";"de";"<E>";"marche";"-";"-";"§être§en mauvais état de marche "
"449";"-";"+";"-";"-";"-";"<E>";"être";"en";"parfait";"état";"de";"<E>";"marche";"-";"-";"§être§en parfait état de marche "
"450";"-";"+";"-";"-";"-";"<E>";"être";"hors de";"<E>";"état";"de";"<E>";"marche";"-";"-";"§être§hors d'état de marche "
"451";"+";"-";"-";"-";"+";"n'";"être plus";"en";"<E>";"état";"de";"<E>";"nuire";"-";"-";"§n'est plus§en état de nuire "
"452";"+";"-";"-";"-";"-";"<E>";"être";"hors de";"<E>";"état";"de";"<E>";"nuire";"-";"-";"§être§hors d'état de nuire "
"453";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"état";"de";"<E>";"plan";"-";"-";"§être§à l'état de plan "
"454";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"état";"de";"<E>";"projet";"-";"-";"§être§à l'état de projet "
"455";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"siège";"-";"-";"§être§en état de siège "
"456";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"<E>";"urgence";"-";"-";"§être§en état d'urgence "
"457";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"état avancé";"de";"<E>";"décomposition";"-";"-";"§être§dans un état avancé de décomposition "
"458";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"exercice";"de";"Poss0";"fonctions";"-";"-";"§être§dans l'exercice de ses fonctions "
"459";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"extrémité";"de";"Poss0";"forces";"-";"-";"§être§à l'extrémité de ses forces "
"460";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"fer";"de";"<E>";"lance";"-";"-";"§être§en fer de lance "
"461";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"festival";"de";"<E>";"jazz";"-";"+";"§être§à un festival de jazz "
"462";"+";"-";"-";"-";"-";"<E>";"être";"à";"une";"fête";"de";"<E>";"charité";"-";"+";"§être§à une fête de charité "
"463";"+";"-";"-";"-";"-";"<E>";"être";"à";"une";"fête";"de";"<E>";"famille";"-";"+";"§être§à une fête de famille "
"464";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"feu";"de";"la";"action";"-";"-";"§être§dans le feu de l'action "
"465";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"feu";"de";"<E>";"bois";"-";"-";"§être§au feu de bois "
"466";"+";"+";"+";"-";"-";"<E>";"être";"dans";"le";"feu";"de";"la";"discussion";"-";"-";"§être§dans le feu de la discussion "
"467";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"feu";"de";"le";"ennemi";"-";"-";"§être§sous le feu de l'ennemi "
"468";"+";"-";"-";"-";"-";"<E>";"être";"sous";"un";"feu nourri";"de";"<E>";"questions";"-";"-";"§être§sous un feu nourri de questions "
"469";"+";"-";"-";"-";"-";"<E>";"être";"sous";"un";"feu roulant";"de";"<E>";"questions";"-";"-";"§être§sous un feu roulant de questions "
"470";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"feux";"de";"la";"actualité";"-";"-";"§être§sous les feux de l'actualité "
"471";"+";"-";"-";"-";"-";"<E>";"être";"sous";"les";"feux";"de";"la";"rampe";"-";"-";"§être§sous les feux de la rampe "
"472";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"fil";"de";"le";"rasoir";"-";"-";"§être§sur le fil du rasoir "
"473";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"file";"de";"<E>";"attente";"-";"-";"§être§dans une file d'attente "
"474";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"file";"de";"<E>";"droite";"-";"+";"§être§dans la file de droite "
"475";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"file";"de";"<E>";"gauche";"-";"+";"§être§dans la file de gauche "
"476";"-";"+";"-";"-";"-";"<E>";"être";"dans";"la";"file";"de";"le";"milieu";"-";"+";"§être§dans la file du milieu "
"477";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"carrière";"-";"-";"§être§en fin de carrière "
"478";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"contrat";"-";"-";"§être§en fin de contrat "
"479";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"course";"-";"-";"§être§en fin de course "
"480";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"course";"-";"-";"§être§en fin de course "
"481";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"droits";"-";"-";"§être§en fin de droits "
"482";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"exercice";"-";"-";"§être§en fin d'exercice "
"483";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"mandat";"-";"-";"§être§en fin de mandat "
"484";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fin";"de";"<E>";"match";"-";"-";"§être§en fin de match "
"485";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"fin";"de";"le";"mois";"-";"-";"§être§à la fin du mois "
"486";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"fin";"de";"un";"mois difficile";"-";"-";"§être§à la fin d'un mois difficile "
