"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"x1";"x2";"x3";"Exemple"
"185";"-";"+";"+";"-";"<E>";" être";"du";"pareil au même";"-";"-";"-";"§est§du pareil au même "
"186";"-";"+";"-";"-";"<E>";" être";"<E>";"partie remise";"-";"-";"-";"§est§partie remise "
"187";"-";"+";"+";"-";"<E>";" être";"du";"parti-pris";"-";"-";"-";"§est§du parti-pris "
"188";"-";"+";"+";"-";"<E>";" être";"du";"passé";"-";"-";"-";"§est§du passé "
"189";"-";"+";"+";"-";"<E>";" être";"<E>";"peine perdue";"-";"-";"-";"§est§peine perdue "
"190";"+";"-";"-";"-";"<E>";" être";"quatre";"pelés et un tondu";"-";"-";"-";"§est§quatre pelés et un tondu "
"191";"-";"+";"-";"+";"n'";" être";"le";"Perou";"-";"-";"-";"§n'est§le Perou "
"192";"-";"+";"-";"+";"n'";" être pas";"une";"perte";"-";"-";"-";"§n'est pas§une perte "
"193";"-";"+";"-";"+";"n'";" être pas";"une grosse";"perte";"-";"-";"-";"§n'est pas§une grosse perte "
"194";"+";"-";"-";"-";"<E>";" être";"<E>";"pète sec";"-";"-";"-";"§est§pète sec "
"195";"+";"+";"+";"-";"<E>";" être";"on ne";"peut mieux";"-";"-";"-";"§est§on ne peut mieux "
"196";"+";"+";"+";"-";"<E>";" être";"fair";"play";"-";"-";"-";"§est§fair play "
"197";"+";"-";"-";"-";"<E>";" être";"un gros";"plein de soupe";"-";"-";"-";"§est§un gros plein de soupe "
"198";"-";"+";"+";"-";"<E>";" être";"un";"plus";"-";"-";"-";"§est§un plus "
"199";"-";"+";"+";"-";"<E>";" être";"tout un";"poème";"-";"-";"-";"§est§tout un poème "
"200";"-";"+";"-";"-";"<E>";" être";"le";"pont aux ânes";"-";"-";"-";"§est§le pont aux ânes "
"201";"-";"+";"-";"-";"<E>";" être";"tout ce que Nhum";"possèder";"-";"-";"-";"§est§tout ce que Nhum possèder "
"202";"+";"-";"-";"+";"n'";" être pas";"<E>";"poulet de printemps";"-";"-";"-";"§n'est pas§poulet de printemps "
"203";"+";"-";"-";"-";"<E>";" être";"les";"princes qui nous gouvernent";"-";"-";"-";"§est§les princes qui nous gouvernent "
"204";"-";"+";"-";"-";"<E>";" être";"la";"proie des flammes";"-";"-";"-";"§est§la proie des flammes "
"205";"-";"+";"+";"-";"<E>";" être";"du";"provisoire qui dure longtemps";"-";"-";"-";"§est§du provisoire qui dure longtemps "
"206";"+";"-";"-";"-";"<E>";" être";"bon";"public";"-";"-";"-";"§est§bon public "
"207";"+";"-";"-";"-";"<E>";" être";"mauvais";"public";"-";"-";"-";"§est§mauvais public "
"208";"-";"+";"+";"-";"<E>";" être";"le pire qui";"puisse arriver";"-";"-";"-";"§est§le pire qui puisse arriver "
"209";"-";"+";"+";"-";"<E>";" être";"le moins que Nhum";"puisse dire";"-";"-";"-";"§est§le moins que Nhum puisse dire "
"210";"-";"+";"+";"-";"<E>";" être";"le moins que Nhum";"puisse faire";"-";"-";"-";"§est§le moins que Nhum puisse fait "
"211";"+";"-";"-";"-";"<E>";" être";"<E>";"quelque chose";"-";"-";"-";"§est§quelque chose "
"212";"+";"+";"-";"-";"<E>";" être";"<E>";"quelque chose comme cent";"-";"-";"-";"§est§quelque chose comme cent "
"213";"+";"+";"-";"-";"<E>";" être";"<E>";"quelque chose comme Dnum";"-";"-";"-";"§est§quelque chose comme Dnum "
"214";"+";"-";"-";"-";"<E>";" être";"<E>";"quelqu'un";"-";"-";"-";"§est§quelqu'un "
"215";"+";"-";"-";"-";"<E>";" être";"<E>";"quelqu'un de bien";"-";"-";"-";"§est§quelqu'un de bien "
"216";"-";"+";"-";"-";"<E>";" être";"une bonne";"question";"-";"-";"-";"§est§une bonne question "
"217";"-";"+";"+";"-";"<E>";" être";"la";"rançon de la gloire";"-";"-";"-";"§est§la rançon de la gloire "
"218";"-";"+";"+";"-";"<E>";" être";"du";"réchauffé";"-";"-";"-";"§est§du réchauffé "
"219";"-";"+";"-";"+";"n'";" être pas";"de";"refus";"-";"-";"-";"§n'est pas§de refus "
"220";"-";"+";"+";"-";"<E>";" être";"la";"règle";"-";"-";"-";"§est§la règle "
"221";"-";"+";"+";"-";"<E>";" être";"le";"règlement";"-";"-";"-";"§est§le règlement "
"222";"-";"+";"+";"+";"n'";" être que";"un";"rêve";"-";"-";"-";"§n'est que§un rêve "
"223";"-";"+";"+";"-";"<E>";" être";"le";"revers de la médaille";"-";"-";"-";"§est§le revers de la médaille "
"224";"-";"+";"+";"+";"n'";" être";"<E>";"rien";"-";"-";"-";"§n'est§rien "
"225";"-";"+";"+";"+";"n'";" être pas";"<E>";"rien";"-";"-";"-";"§n'est pas§rien "
"226";"-";"+";"+";"-";"<E>";" être";"deux fois";"rien";"-";"-";"-";"§est§deux fois rien "
"227";"-";"+";"+";"-";"<E>";" être";"quatre fois";"rien";"-";"-";"-";"§est§quatre fois rien "
"228";"-";"+";"+";"-";"<E>";" être";"trois fois";"rien";"-";"-";"-";"§est§trois fois rien "
"229";"+";"+";"-";"+";"n'";" être";"<E>";"rien de cela";"-";"-";"-";"§n'est§rien de cela "
"230";"+";"+";"-";"+";"n'";" être";"<E>";"rien de tout cela";"-";"-";"-";"§n'est§rien de tout cela "
"231";"-";"+";"+";"-";"<E>";" être";"de la";"rigolade";"-";"-";"-";"§est§de la rigolade "
"232";"-";"+";"+";"-";"<E>";" être";"une";"rigolade";"-";"-";"-";"§est§une rigolade "
"233";"-";"+";"-";"-";"<E>";" être";"<E>";"rococo";"-";"-";"-";"§est§rococo "
"234";"+";"+";"-";"-";"<E>";" être";"<E>";"roi";"-";"-";"-";"§est§roi "
"235";"-";"+";"+";"-";"<E>";" être";"tout un";"roman";"-";"-";"-";"§est§tout un roman "
