"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"152";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"compter dessus";"et";"<E>";"<E>";"boire";"de la";"eau";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§pouvoir§compter dessus et boire de l'eau "
"153";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"courir";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§courir "
"154";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"toujours";"courir";"pour que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§pouvoir§toujours courir pour que "
"155";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"crever";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§crever "
"156";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"parler";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§parler "
"157";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"toujours";"repasser";"pour que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§pouvoir§toujours repasser pour que "
"158";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"toujours";"s'aligner";"pour que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§pouvoir§toujours s'aligner pour que "
"159";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"se brosser";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§se brosser "
"160";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"se fouiller";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§se fouiller "
"161";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"se gratter";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§se gratter "
"162";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"se l'accrocher";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§se l'accrocher "
"163";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" pouvoir";"toujours";"y aller";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§pouvoir§toujours y aller "
"164";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"ne";" pouvoir";"<E>";"V W";"sans que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§ne pouvoir§V W sans que "
