"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"102";"<E>";"<E>";"ce";"-";"-";"-";"-";"-";"+";"n'";" être pas";"pour";"dire";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"ce§n'est pas§pour dire mais "
"103";"<E>";"<E>";"ce";"-";"-";"-";"-";"-";"+";"n'";" être pas";"tant";"que P";"<E>";"<E>";"ce";"être";"que";"P";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tant que P c'est que P "
"104";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" être pas";"le";"tout";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"§n'est pas§le tout mais "
"105";"<E>";"le";"Ndurée";"-";"-";"-";"-";"-";"+";"n'";" être plus";"<E>";"<E>";"où";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"le Ndurée§n'est plus§où "
"106";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" existait pas";"<E>";"<E>";"<E>";"<E>";"il";"faudrait";"<E>";"Le-0 inventer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si§n'existait pas§il faudrait l'inventer "
"107";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"comme";"<E>";"bon";"li-0 sembler";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§fait§comme bon li-0 sembler "
"108";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" faire";"le";"âne";"pour";"<E>";"<E>";"avoir";"du";"son";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§fait§l'âne pour a du son "
"109";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"bon";"<E>";"<E>";"<E>";"V W";"Loc";"N";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"il§fait§bon V W Loc N "
"110";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"plus";"<E>";"<E>";"Il-0";"V";"<E>";"W";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§fait§plus il V W "
"111";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" fallait";"<E>";"voir";"comme";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§fallait§voir comme "
"112";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" falloir";"<E>";"voir";"<E>";"<E>";"N0";"V0-inf W";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§falloir§voir N0 V0-inf W "
"113";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faudra";"<E>";"bien";"que";"<E>";"ça";"aille";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§faudra§bien que ça aille "
"114";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faut";"<E>";"<E>";"<E>";"<E>";"<E>";"le dire";"<E>";"vite";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§faut§le dire vite "
"115";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faut";"<E>";"bien";"que";"tout le";"monde";"vive";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§faut§bien que tout le monde vive "
"116";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faut";"<E>";"voir";"comme";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§faut§voir comme "
"117";"<E>";"<E>";"il";"-";"-";"-";"-";"-";"-";"<E>";" faut";"le";"voir";"pour";"<E>";"le";"croire";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§faut§le voir pour le croire "
"118";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" faut-il";"à";"<E>";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"que§faut-il§à si "
"119";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" ferait";"mieux de";"V-inf W";"que";"<E>";"<E>";"V-inf W";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§ferait§mieux de V-inf W que V-inf W "
"120";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" ferme";"ton";"porte-monnaie";"<E>";"<E>";"ce";"est";"moi qui";"paie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§ferme§ton porte-monnaie c'est moi qui paie "
