"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"555";"+";"-";"-";"-";"<E>";" être";"une";"personne de la connaissance de";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§une personne de la connaissance de "
"556";"-";"+";"-";"-";"<E>";" être";"le";"phare";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le phare "
"557";"-";"+";"-";"-";"<E>";" être";"un";"phénomène";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un phénomène "
"558";"-";"+";"-";"-";"<E>";" être";"la";"pièce maîtresse";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la pièce maîtresse "
"559";"-";"+";"-";"-";"<E>";" être";"la";"pierre angulaire";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la pierre angulaire "
"560";"-";"+";"-";"-";"<E>";" être";"la";"pierre d'achopement";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la pierre d'achopement "
"561";"-";"+";"-";"-";"<E>";" être";"la";"pierre d'angle";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la pierre d'angle "
"562";"-";"+";"-";"-";"<E>";" être";"la";"pierre de touche";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la pierre de touche "
"563";"+";"+";"-";"-";"<E>";" être";"le";"pire";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le pire "
"564";"-";"+";"-";"-";"<E>";" être";"un";"pivot";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un pivot "
"565";"-";"+";"-";"-";"<E>";" être";"un";"plagiat";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"§être§un plagiat "
"566";"-";"+";"-";"-";"<E>";" être";"le bon";"plaisir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le bon plaisir "
"567";"-";"+";"-";"-";"<E>";" être";"une";"plaque tournante";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une plaque tournante "
"568";"-";"+";"-";"-";"<E>";" être";"un";"point culminant";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un point culminant "
"569";"-";"+";"-";"-";"<E>";" être";"un";"point d'ancrage";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un point d'ancrage "
"570";"+";"+";"-";"-";"<E>";" être";"le";"point de mire";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"§être§le point de mire "
"571";"-";"+";"-";"-";"<E>";" être";"le";"point de vue";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le point de vue "
"572";"-";"+";"-";"-";"<E>";" être";"le strict";"point de vue";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le strict point de vue "
"573";"-";"+";"-";"-";"<E>";" être";"un";"point faible";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§un point faible "
"574";"-";"+";"-";"-";"<E>";" être";"un";"point fort";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§un point fort "
"575";"+";"-";"-";"-";"<E>";" être";"le";"porte drapeau";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le porte drapeau "
"576";"+";"-";"-";"-";"<E>";" être";"le";"porte parole";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le porte parole "
"577";"+";"-";"-";"-";"<E>";" être";"le";"portrait";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le portrait "
"578";"+";"-";"-";"-";"<E>";" être";"le";"portrait craché";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le portrait craché "
"579";"+";"-";"-";"-";"<E>";" être";"le";"portrait tout craché";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le portrait tout craché "
"580";"+";"-";"-";"-";"<E>";" être";"le";"portrait vivant";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§le portrait vivant "
"581";"-";"+";"-";"-";"<E>";" être";"un";"pot pourri";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un pot pourri "
"582";"+";"-";"-";"-";"<E>";" être";"un";"poulain";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un poulain "
"583";"-";"+";"-";"-";"<E>";" être";"le";"poumon";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§le poumon "
"584";"+";"+";"-";"-";"<E>";" être";"une";"pourriture";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une pourriture "
"585";"+";"-";"-";"-";"<E>";" être";"un";"pourvoyeur";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un pourvoyeur "
"586";"-";"+";"-";"-";"<E>";" être";"une";"poutre maîtresse";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une poutre maîtresse "
"587";"+";"-";"-";"-";"<E>";" être";"le";"premier à rire";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"§être§le premier à rire "
"588";"+";"+";"-";"-";"<E>";" être";"le";"premier d'une lignée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le premier d'une lignée "
"589";"+";"+";"-";"-";"<E>";" être";"le";"premier d'une série";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le premier d'une série "
"590";"+";"+";"-";"-";"<E>";" être";"le";"premier en date";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le premier en date "
"591";"+";"+";"-";"-";"<E>";" être";"le";"premier N de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le premier N de la vie "
"592";"+";"+";"-";"-";"<E>";" être";"la";"première auto de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la première auto de la vie "
"593";"+";"-";"-";"-";"<E>";" être";"<E>";"preneur";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§preneur "
"594";"-";"+";"-";"-";"<E>";" être";"unE";"preuve";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"§être§unE preuve "
"595";"+";"-";"-";"-";"<E>";" être";"la";"preuve vivante";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"§être§la preuve vivante "
"596";"-";"+";"-";"-";"<E>";" être";"le";"prix";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"§être§le prix "
"597";"+";"-";"-";"-";"<E>";" être";"un";"prix";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un prix "
"598";"+";"-";"-";"-";"<E>";" être";"un Dnum-ième";"prix";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un Dnum-ième prix "
"599";"+";"-";"-";"-";"<E>";" être";"un premier";"prix";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un premier prix "
"600";"+";"-";"-";"-";"<E>";" être";"un second";"prix";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un second prix "
"601";"-";"+";"-";"-";"<E>";" être";"le";"problème";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le problème "
"602";"-";"+";"-";"-";"<E>";" être";"le";"problème numéro un";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le problème numéro un "
"603";"+";"-";"-";"-";"<E>";" être";"un";"proche";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"§être§un proche "
"604";"+";"-";"-";"-";"<E>";" être";"un";"produit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un produit "
"605";"+";"-";"-";"-";"<E>";" être";"un pur";"produit";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un pur produit "
"606";"+";"-";"-";"-";"<E>";" être";"la";"proie";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la proie "
"607";"+";"+";"-";"-";"<E>";" être";"la";"proie";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§la proie "
"608";"-";"+";"-";"-";"<E>";" être";"le";"propre";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le propre "
"609";"+";"-";"-";"-";"<E>";" être";"un";"protégé";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un protégé "
"610";"-";"+";"-";"-";"<E>";" être";"la";"providence";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"§être§la providence "
"611";"+";"-";"-";"-";"<E>";" être";"le";"puiné";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le puiné "
"612";"+";"+";"-";"-";"<E>";" être";"un";"putain";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un putain "
"613";"-";"+";"-";"-";"<E>";" être";"le";"quadruple";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le quadruple "
"614";"-";"+";"-";"-";"<E>";" être";"les trois";"quarts";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§les trois quarts "
"615";"-";"+";"-";"-";"<E>";" être";"<E>";"question";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§question "
"616";"-";"+";"-";"-";"<E>";" être";"une";"question";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une question "
"617";"-";"+";"-";"-";"<E>";" être";"une simple";"question";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une simple question "
"618";"+";"-";"-";"-";"<E>";" être";"un";"ramassis";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un ramassis "
"619";"+";"-";"-";"-";"<E>";" être";"un";"ramassis";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§un ramassis "
"620";"-";"+";"-";"-";"<E>";" être";"le";"rayon";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le rayon "
"621";"+";"+";"-";"-";"<E>";" être";"le";"rayon de soleil";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le rayon de soleil "
"622";"+";"-";"-";"-";"<E>";" être";"un";"récipiendaire";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un récipiendaire "
"623";"-";"+";"-";"-";"<E>";" être";"la";"reconnaissance";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§la reconnaissance "
"624";"+";"+";"-";"-";"<E>";" être";"un pâle";"reflet";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un pâle reflet "
"625";"+";"-";"-";"-";"<E>";" être";"la";"régulière";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la régulière "
"626";"+";"-";"-";"-";"<E>";" être";"la";"reine";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§la reine "
"627";"+";"-";"-";"-";"<E>";" être";"la";"reine";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la reine "
"628";"+";"-";"-";"-";"<E>";" être";"la";"reine d'un jour";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la reine d'un jour "
"629";"-";"+";"-";"-";"<E>";" être";"un";"reliquat";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un reliquat "
"630";"-";"+";"-";"-";"<E>";" être";"un";"reliquat";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un reliquat "
"631";"-";"+";"-";"-";"<E>";" être";"un";"remake";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un remake "
"632";"+";"+";"-";"-";"<E>";" être";"un";"remplaçant";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un remplaçant "
"633";"-";"+";"-";"-";"<E>";" être";"un";"repaire";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"§être§un repaire "
"634";"+";"+";"-";"-";"<E>";" être";"une";"réplique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une réplique "
"635";"-";"+";"-";"-";"<E>";" être";"un";"réservoir";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un réservoir "
"636";"-";"+";"-";"-";"<E>";" être";"un non-";"respect";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"§être§un non-respect "
"637";"+";"-";"+";"-";"<E>";" être";"un";"responsable";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un responsable "
"638";"+";"-";"-";"-";"<E>";" être";"un";"ressortissant";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§un ressortissant "
"639";"-";"+";"-";"-";"<E>";" être";"la dernière";"ressource";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la dernière ressource "
"640";"-";"+";"-";"-";"<E>";" être";"la seule";"ressource";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la seule ressource "
"641";"-";"+";"-";"-";"<E>";" être";"l'unique";"ressource";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'unique ressource "
"642";"-";"+";"-";"-";"<E>";" être";"un";"reste";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un reste "
"643";"-";"+";"-";"-";"<E>";" être";"un beau";"reste";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un beau reste "
"644";"-";"+";"-";"-";"<E>";" être";"les";"restes";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§les restes "
"645";"-";"+";"-";"-";"<E>";" être";"le";"revers de la médaille";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"§être§le revers de la médaille "
"646";"+";"+";"-";"-";"<E>";" être";"la";"risée";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§la risée "
"647";"-";"+";"-";"-";"<E>";" être";"le";"roi";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le roi "
"648";"+";"-";"-";"-";"<E>";" être";"le";"roi";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le roi "
"649";"+";"-";"-";"-";"<E>";" être";"le";"roi";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le roi "
"650";"+";"-";"-";"-";"<E>";" être";"un";"rouage";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"§être§un rouage "
