"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"N0 =: Qu Pind extrap";"N0 =: Qu Psubj extrap";"N0 =: de V1c-inf W extrap";"N0 V Prép1 Det1 C1 pour Nc Qu Psubj";"Exemple"
"107";"-";"+";"-";"<E>";" tomber";"sur";"le";"+";" rable";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§tomber§sur le rable "
"108";"-";"+";"-";"<E>";" tomber";"sous";"les";"+";" yeux";"-";"+";"-";"+";"-";"-";"+";"+";"+";"§tomber§sous les yeux "
"109";"-";"+";"-";"<E>";" trotter";"dans";"la";"+";" cervelle";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§trotter§dans la cervelle "
"110";"-";"+";"-";"<E>";" trotter";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§trotter§dans le ciboulot "
"111";"-";"+";"-";"<E>";" trotter";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§trotter§dans le crâne "
"112";"-";"+";"-";"<E>";" trotter";"dans";"la";"+";" tête";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§trotter§dans la tête "
"113";"-";"+";"-";"<E>";" venir";"en";"<E>";"-";" application";"-";"-";"+";"-";"-";"+";"+";"-";"-";"§venir§en application "
"114";"-";"+";"-";"<E>";" venir";"à";"le";"-";" appui";"-";"-";"+";"-";"-";"+";"-";"-";"-";"§venir§à l'appui "
"115";"-";"+";"-";"<E>";" venir";"en";"<E>";"-";" appui";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§venir§en appui "
"116";"-";"+";"-";"<E>";" venir";"à";"la";"-";" connaissance";"-";"+";"-";"-";"+";"+";"-";"-";"-";"§venir§à la connaissance "
"117";"-";"+";"-";"<E>";" venir";"à";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"-";"+";"-";"§venir§à l'esprit "
"118";"-";"+";"-";"<E>";" venir";"en";"<E>";"-";" exécution";"-";"-";"+";"-";"-";"+";"+";"-";"-";"§venir§en exécution "
"119";"-";"+";"-";"<E>";" venir";"à";"la";"-";" idée";"-";"+";"-";"+";"+";"+";"-";"+";"-";"§venir§à l'idée "
"120";"-";"+";"-";"<E>";" venir";"à";"la";"-";" pensée";"-";"+";"-";"+";"+";"+";"-";"+";"-";"§venir§à la pensée "
"121";"-";"+";"-";"<E>";" venir";"en";"<E>";"-";" réparation";"-";"-";"+";"-";"-";"+";"+";"-";"-";"§venir§en réparation "

