"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"160";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"à";"le";"point A";"-";"-";"à";"la";"droite D";"-";"-";"-";"+";"§élever§une perpendiculaire au point A à la droite D "
"161";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"de";"le";"point A";"-";"-";"sur";"la";"droite D";"-";"-";"-";"+";"§élever§une perpendiculaire du point A sur la droite D "
"162";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"à";"le";"point A";"-";"-";"à";"le";"plan P";"-";"-";"-";"+";"§élever§une perpendiculaire au point A au plan P "
"163";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire";"de";"le";"point A";"-";"-";"sur";"le";"plan P";"-";"-";"-";"+";"§élever§une perpendiculaire du point A sur le plan P "
"164";"+";"-";"-";"-";"-";"<E>";" élever";"<E>";"une";"-";"-";" perpendiculaire à N";"en";"<E>";"<E>";"-";"+";"de";"<E>";"<E>";"-";"+";"-";"+";"§élever§une perpendiculaire à N en de "
"165";"+";"-";"-";"-";"-";"<E>";" emmerder";"<E>";"<E>";"+";"-";" <E>";"à";"<E>";"pied à cheval";"-";"-";"et en";"<E>";"voiture";"-";"-";"-";"-";"§emmerder§à pied à cheval et en voiture "
"166";"+";"-";"-";"-";"-";"<E>";" encourager";"<E>";"<E>";"-";"-";" <E>";"de";"la";"voix";"-";"-";"et de";"le";"geste";"-";"-";"-";"+";"§encourager§de la voix et du geste "
"167";"+";"-";"-";"-";"-";"<E>";" envoyer";"<E>";"<E>";"+";"-";" <E>";"à";"le";"tapis";"-";"-";"pour";"le";"compte";"-";"-";"-";"+";"§envoyer§au tapis pour le compte "
"168";"+";"-";"-";"-";"-";"<E>";" être";"<E>";"<E>";"-";"-";" bras dessus";"<E>";"<E>";"bras dessous";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§est§bras dessus bras dessous avec "
"169";"+";"-";"-";"-";"-";"<E>";" être";"<E>";"<E>";"-";"-";" cousin";"à";"le";"n-ième degré";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§est§cousin au n-ième degré avec "
"170";"-";"+";"-";"-";"-";"<E>";" être";"<E>";"<E>";"-";"-";" dévolu";"par";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§est§dévolu par à "
"171";"+";"-";"+";"-";"-";"s'";" être";"<E>";"<E>";"-";"-";" dit";"<E>";"<E>";"tout";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§s'est§dit tout avec "
"172";"-";"+";"-";"-";"-";"<E>";" être";"<E>";"le";"-";"-";" jour";"et";"la";"nuit";"-";"-";"avec";"<E>";"<E>";"+";"+";"-";"-";"§est§le jour et la nuit avec "
"173";"+";"-";"-";"-";"-";"<E>";" être";"de";"<E>";"-";"-";" moitié";"avec";"<E>";"<E>";"+";"-";"Loc";"<E>";"<E>";"-";"+";"+";"-";"§est§de moitié avec Loc "
"174";"+";"-";"-";"-";"-";"<E>";" être";"<E>";"<E>";"-";"-";" toujours";"par";"<E>";"monts";"-";"-";"et par";"<E>";"vaux";"-";"-";"-";"-";"§est§toujours par monts et par vaux "
"175";"-";"+";"-";"-";"-";"<E>";" être";"<E>";"ce qu'il";"-";"-";" y avoir";"de";"plus";"Adj";"-";"-";"à";"<E>";"dire";"-";"-";"-";"-";"§est§ce qu'il y a de plus Adj à dire "
"176";"-";"+";"-";"-";"-";"<E>";" être";"<E>";"ce qu'il";"-";"-";" y avoir";"de";"plus";"Adj";"-";"-";"à";"<E>";"faire";"-";"-";"-";"-";"§est§ce qu'il y a de plus Adj à fait "
"177";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"+";" <E>";"à";"moitié";"prix";"-";"-";"à";"<E>";"<E>";"+";"-";"-";"+";"§fait§à moitié prix à "
"178";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"+";" <E>";"<E>";"le quart du";"prix";"-";"-";"à";"<E>";"<E>";"+";"-";"-";"+";"§fait§le quart du prix à "
"179";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"+";" <E>";"de";"<E>";"bric";"-";"-";"et de";"<E>";"broc";"-";"-";"-";"+";"§fait§de bric et de broc "
"180";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"+";" <E>";"de";"<E>";"pièces";"-";"-";"et de";"<E>";"morceaux";"-";"-";"-";"+";"§fait§de pièces et de morceaux "
"181";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" aïe";"<E>";"<E>";"aïe";"-";"-";"<E>";"<E>";"aïe";"-";"-";"-";"-";"§fait§aïe aïe aïe "
"182";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" ami";"<E>";"<E>";"ami";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§fait§ami ami avec "
"183";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" appel";"de";"le";"pied";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§un appel du pied à "
"184";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"-";"-";" article";"pour";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§l'article pour à "
"185";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" bloc";"avec";"<E>";"<E>";"+";"-";"contre";"<E>";"<E>";"+";"+";"-";"-";"§fait§bloc avec contre "
"186";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" ça";"à";"la";"esbrouffe";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§ça à l'esbrouffe à "
"187";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" cadeau";"de";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§cadeau d'à "
"188";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" cause commune";"avec";"<E>";"<E>";"+";"-";"contre";"<E>";"<E>";"+";"+";"-";"-";"§fait§cause commune avec contre "
"189";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"épaisseur";"-";"-";"-";"-";"§fait§combien de Nmesure d'épaisseur "
"190";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"haut";"-";"-";"-";"-";"§fait§combien de Nmesure d'haut "
"191";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"hauteur";"-";"-";"-";"-";"§fait§combien de Nmesure d'hauteur "
"192";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"large";"-";"-";"-";"-";"§fait§combien de Nmesure de large "
"193";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"largeur";"-";"-";"-";"-";"§fait§combien de Nmesure de largeur "
"194";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"long";"-";"-";"-";"-";"§fait§combien de Nmesure de long "
"195";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"longueur";"-";"-";"-";"-";"§fait§combien de Nmesure de longueur "
"196";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" combien";"de";"<E>";"Nmesure";"-";"-";"de";"<E>";"profondeur";"-";"-";"-";"-";"§fait§combien de Nmesure de profondeur "
"197";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" copain";"<E>";"<E>";"copain";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§fait§copain copain avec "
"198";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" échec";"et";"<E>";"mat";"-";"-";"<E>";"<E>";"<E>";"+";"+";"+";"-";"§fait§échec et mat "
"199";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" étalage";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§étalage d'à "
"200";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" fifty";"<E>";"<E>";"fifty";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§fait§fifty fifty avec "
"201";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" grâce";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§grâce d'à "
"202";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" guerre";"à";"<E>";"outrance";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§une guerre à outrance à "
"203";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" ha";"<E>";"<E>";"ha";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§ha ha à "
"204";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" hommage";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§hommage d'à "
"205";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"les";"-";"-";" honneurs";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§les honneurs d'à "
"206";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"les";"-";"-";" honneurs";"de";"Poss0";"maison";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§les honneurs de sa maison à "
"207";"-";"+";"-";"-";"+";"ne";" faire";"<E>";"<E>";"-";"-";" jamais";"de";"<E>";"mal";"-";"-";"à";"<E>";"personne";"-";"-";"-";"-";"§ne fait§jamais de mal à personne "
"208";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" jeu";"<E>";"<E>";"égal";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§fait§jeu égal avec "
"209";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" ksss";"<E>";"<E>";"ksss";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§ksss ksss à "
"210";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" lecture";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§lecture d'à "
"211";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" mal";"à";"le";"coeur";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§mal au coeur à "
"212";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" mal";"à";"les";"seins";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§mal aux seins à "
"213";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" mal";"à";"le";"ventre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§mal au ventre à "
"214";"+";"+";"-";"-";"-";"<E>";" faire";"de";"<E>";"-";"-";" même";"qu'à";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§de même qu'à à "
"215";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"la";"-";"-";" même chose";"qu'à";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§la même chose qu'à à "
"216";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"de la";"-";"-";" monnaie";"sur";"<E>";"Nsomme";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§de la monnaie sur Nsomme à "
"217";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"de la";"-";"-";" monnaie";"sur";"dix";"francs";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§de la monnaie sur dix francs à "
"218";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" nez";"<E>";"<E>";"long";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"§fait§un nez long comme ça "
"219";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" nez";"<E>";"<E>";"long";"-";"-";"comme";"un";"jour sans pain";"-";"-";"-";"-";"§fait§un nez long comme un jour sans pain "
"220";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" non";"de";"la";"tête";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§non de la tête à "
"221";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" non";"de";"la";"tête";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§non de la tête à "
"222";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" objection";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§une objection sur à "
"223";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"-";"-";" octroi";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§l'octroi d'à "
"224";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" office";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§office d'à "
"225";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" oh";"<E>";"<E>";"la";"-";"-";"<E>";"<E>";"la";"-";"-";"-";"-";"§fait§oh la la "
"226";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" oui";"de";"la";"tête";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§oui de la tête à "
"227";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" oui";"de";"la";"tête";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§oui de la tête à "
"228";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" ouille";"<E>";"<E>";"ouille";"-";"-";"<E>";"<E>";"ouille";"-";"-";"-";"-";"§fait§ouille ouille ouille "
"229";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" panpan";"<E>";"<E>";"cucu";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§panpan cucu à "
"230";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" pareil";"qu'à";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§pareil qu'à à "
"231";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"la";"-";"-";" part";"<E>";"<E>";"belle";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§la part belle à "
"232";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"la";"-";"-";" partie";"<E>";"<E>";"belle";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§la partie belle à "
"233";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"plus de";"-";"-";" peur";"que";"de";"mal";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§plus de peur que de mal à "
"234";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"la";"-";"-";" pluie";"et";"le";"beau temps";"-";"-";"Loc";"<E>";"<E>";"+";"+";"+";"-";"§fait§la pluie et le beau temps Loc "
"235";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" présent";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§présent d'à "
"236";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"Det";"-";"-";" rabais";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§un rabais sur à "
"237";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"Det";"-";"-";" réduction";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§un réduction sur à "
"238";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" remarque";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§une remarque sur à "
"239";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"Det";"-";"-";" remise";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§un remise sur à "
"240";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" rempart";"de";"Poss0";"corps";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§un rempart de son corps à "
"241";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" retour";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§retour d'à "
"242";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" retour";"en";"<E>";"force";"-";"-";"Loc";"<E>";"<E>";"+";"+";"+";"+";"§fait§un retour en force Loc "
"243";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" signe";"de";"le";"Npc";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§signe du Npc à "
"244";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" signe";"de";"le";"doigt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§signe du doigt à "
"245";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" signe";"de";"la";"main";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§signe de la main à "
"246";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" signe";"de";"la";"tête";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§signe de la tête à "
"247";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"-";"-";" tableau noir";"de";"la";"situation";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§fait§un tableau noir de la situation à "
"248";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" tête";"à";"le";"carré";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§une tête au carré à "
"249";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" tête";"<E>";"<E>";"grosse comme ça";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§une tête grosse comme ça à "
"250";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" tête";"<E>";"<E>";"longue";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"§fait§une tête longue comme ça "
"251";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"-";"-";" tête";"<E>";"<E>";"longue";"-";"-";"comme";"un";"jour sans pain";"-";"-";"-";"-";"§fait§une tête longue comme un jour sans pain "
"252";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" toc";"<E>";"<E>";"toc";"-";"-";"à";"la";"porte";"-";"-";"-";"+";"§fait§toc toc à la porte "
"253";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"le";"-";"-";" un";"pour";"le";"autre";"-";"-";"<E>";"<E>";"<E>";"+";"-";"+";"+";"§fait§l'un pour le autre "
"254";"-";"+";"-";"-";"-";"<E>";" faire";"<E>";"la";"-";"-";" une";"pour";"la";"autre";"-";"-";"<E>";"<E>";"<E>";"+";"-";"+";"+";"§fait§l'une pour la autre "
"255";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"-";"-";" vis-";"à-";"<E>";"vis";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§fait§vis-à-vis à "
"256";"-";"+";"-";"-";"+";"ne";" faire ni";"<E>";"<E>";"-";"-";" chaud";"ni";"<E>";"froid";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ne fait ni§chaud ni froid à "
"257";"+";"-";"-";"-";"-";"<E>";" formuler";"<E>";"une";"-";"-";" objection";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§formuler§une objection sur à "
"258";"+";"-";"-";"-";"-";"<E>";" formuler";"<E>";"une";"-";"-";" remarque";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§formuler§une remarque sur à "
"259";"+";"+";"-";"-";"-";"<E>";" frayer";"<E>";"une";"-";"-";" chemin";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§frayer§une chemin Loc à "
"260";"+";"+";"-";"-";"-";"<E>";" frayer";"<E>";"une";"-";"-";" passage";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§frayer§une passage Loc à "
"261";"+";"+";"-";"-";"-";"<E>";" frayer";"<E>";"une";"-";"-";" voie";"Loc";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§frayer§une voie Loc à "
"262";"+";"-";"-";"-";"-";"<E>";" gagner";"<E>";"<E>";"-";"+";" <E>";"par";"Dnum";"but";"-";"-";"à";"Dnum";"but";"-";"-";"-";"+";"§gagner§par Dnum but à Dnum but "
"263";"+";"-";"-";"-";"-";"<E>";" gagner";"<E>";"<E>";"-";"+";" <E>";"par";"Dnum";"point";"-";"-";"à";"Dnum";"point";"-";"-";"-";"+";"§gagner§par Dnum point à Dnum point "
"264";"+";"-";"-";"-";"-";"<E>";" garantir";"<E>";"<E>";"-";"+";" <E>";"<E>";"<E>";"pièces";"-";"-";"et";"<E>";"main d'oeuvre";"-";"-";"-";"+";"§garantir§pièces et main d'oeuvre "
"265";"+";"+";"-";"-";"-";"<E>";" garder";"<E>";"la";"-";"-";" balance";"<E>";"<E>";"égale";"-";"-";"entre";"<E>";"<E>";"+";"+";"-";"+";"§garder§la balance égale entre "
"266";"+";"-";"-";"-";"-";"<E>";" garder";"<E>";"le";"-";"-";" meilleur";"pur";"la";"fin";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§garder§le meilleur pur la fin à "
"267";"+";"-";"-";"-";"-";"<E>";" implorer";"<E>";"le";"-";"-";" pardon";"pour";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§implorer§le pardon pour à "
"268";"+";"-";"-";"-";"-";"<E>";" implorer";"<E>";"le";"-";"-";" pardon";"pour";"<E>";"<E>";"+";"-";"auprès de";"<E>";"<E>";"+";"-";"-";"+";"§implorer§le pardon pour auprès de "
"269";"+";"-";"-";"-";"-";"<E>";" implorer";"<E>";"<E>";"-";"-";" pitié";"pour";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§implorer§pitié pour à "
"270";"+";"-";"-";"-";"-";"<E>";" implorer";"<E>";"<E>";"-";"-";" pitié";"pour";"<E>";"<E>";"+";"-";"auprès de";"<E>";"<E>";"+";"-";"-";"+";"§implorer§pitié pour auprès de "
"271";"+";"-";"-";"-";"-";"<E>";" introduire";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"contrebande";"-";"-";"Loc";"<E>";"<E>";"+";"+";"+";"+";"§introduire§en contrebande Loc "
"272";"+";"-";"-";"-";"-";"<E>";" introduire";"<E>";"un";"-";"-";" recours";"contre";"<E>";"<E>";"+";"-";"auprès de";"<E>";"<E>";"+";"+";"-";"+";"§introduire§un recours contre auprès de "
"273";"+";"-";"-";"-";"-";"<E>";" jeter";"<E>";"<E>";"+";"+";" <E>";"en";"<E>";"pâture";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§jeter§en pâture à "
"274";"+";"-";"-";"-";"-";"<E>";" jouer";"à";"<E>";"-";"-";" cache-";"<E>";"<E>";"cache";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§jouer§à cache-cache avec "
"275";"+";"-";"-";"-";"-";"<E>";" jouer";"à";"le";"-";"-";" chat";"et à";"la";"souris";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§jouer§au chat et à la souris avec "
"276";"+";"-";"-";"-";"-";"<E>";" jouer";"à";"les";"-";"-";" gendarmes";"et à";"les";"voleurs";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§jouer§aux gendarmes et aux voleurs avec "
"277";"+";"-";"-";"-";"-";"<E>";" jouer";"à";"le";"-";"-";" papa";"et à";"la";"maman";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§jouer§au papa et à la maman avec "
"278";"+";"-";"-";"-";"-";"<E>";" jouer";"à";"<E>";"-";"-";" touche-";"<E>";"<E>";"pipi";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§jouer§à touche-pipi avec "
"279";"+";"-";"-";"-";"-";"<E>";" lâcher";"<E>";"Poss0";"-";"-";" sous";"avec";"un";"élastique";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§lâcher§son sous avec un élastique à "
"280";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"héritage";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§laisser§en héritage à "
"281";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"dépôt";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§laisser§en dépôt à "
"282";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"-";"+";" <E>";"en";"<E>";"garantie";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§laisser§en garantie à "
"283";"+";"+";"-";"-";"-";"<E>";" laisser";"<E>";"la";"-";"-";" porte";"<E>";"<E>";"ouverte";"-";"-";"à";"<E>";"<E>";"+";"+";"-";"+";"§laisser§la porte ouverte à "
"284";"+";"+";"-";"-";"-";"<E>";" lier";"<E>";"<E>";"-";"-";" pieds";"et";"<E>";"poings";"-";"-";"à";"<E>";"<E>";"+";"-";"-";"+";"§lier§pieds et poings à "
"285";"+";"+";"-";"-";"-";"<E>";" maintenir";"<E>";"la";"-";"-";" balance";"<E>";"<E>";"égale";"-";"-";"entre";"<E>";"<E>";"+";"-";"-";"+";"§maintenir§la balance égale entre "
"286";"+";"-";"-";"-";"-";"<E>";" mener";"<E>";"Det";"-";"-";" parallèle";"à";"<E>";"<E>";"-";"+";"par";"<E>";"<E>";"-";"+";"-";"+";"§mener§un parallèle à par "
