"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"349";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"la";"-";"-";" monnaie";"sur";"dix";"francs";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§la monnaie sur dix francs à "
"350";"+";"-";"-";"-";"-";"<E>";" rendre";"<E>";"la";"-";"-";" monnaie";"de";"Poss-";"pièce";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§la monnaie de Poss-pièce à "
"351";"+";"+";"-";"-";"-";"<E>";" rendre";"<E>";"la";"-";"-";" réciproque";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§rendre§la réciproque d'à "
"352";"+";"-";"-";"-";"-";"<E>";" renoncer";"à";"<E>";"-";"-";" Satan";"à";"ses";"pompes";"-";"-";"et à";"ses";"oeuvres";"-";"-";"-";"-";"§renoncer§à Satan à ses pompes et à ses oeuvres "
"353";"+";"+";"-";"-";"-";"<E>";" renvoyer";"<E>";"<E>";"-";"-";" dos à dos";"<E>";"<E>";"<E>";"+";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§renvoyer§dos à dos avec "
"354";"+";"-";"-";"-";"-";"<E>";" répondre";"par";"<E>";"-";"-";" oui";"ou";"par";"non";"-";"-";"à";"<E>";"<E>";"+";"+";"+";"-";"§répondre§par oui ou par non à "
"355";"+";"-";"-";"-";"-";"<E>";" reprendre";"<E>";"la";"-";"-";" vie";"en";"<E>";"commun";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§reprendre§la vie en commun avec "
"356";"+";"-";"-";"-";"-";"<E>";" réserver";"<E>";"le";"-";"-";" meilleur";"pur";"la";"fin";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§réserver§le meilleur pur la fin à "
"357";"+";"-";"-";"-";"-";"<E>";" ressembler";"<E>";"<E>";"-";"-";" trait";"pour";"<E>";"trait";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§ressembler§trait pour trait à "
"358";"+";"-";"-";"-";"-";"<E>";" sentir";"<E>";"le";"-";"-";" rouge";"<E>";"Lui-0";"monter";"-";"-";"à";"la";"face";"-";"-";"-";"+";"§sentir§le rouge lui monter à la face "
"359";"+";"-";"-";"-";"-";"<E>";" sentir";"<E>";"le";"-";"-";" rouge";"<E>";"Lui-0";"monter";"-";"-";"à";"le";"visage";"-";"-";"-";"+";"§sentir§le rouge lui monter au visage "
"360";"+";"-";"-";"-";"-";"<E>";" servir";"<E>";"<E>";"-";"+";" <E>";"sur";"un";"plateau";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§servir§sur un plateau à "
"361";"+";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"+";"-";" <E>";"<E>";"<E>";"serré";"-";"-";"contre";"<E>";"Lui-0";"-";"-";"-";"+";"§tenir§serré contre lui "
"362";"+";"-";"-";"-";"-";"<E>";" tenir";"<E>";"la";"-";"-";" bride";"<E>";"<E>";"haute";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§tenir§la bride haute à "
"363";"-";"+";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"-";"-";" lieu";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§tenir§lieu d'à "
"364";"-";"+";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"-";"-";" office";"de";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§tenir§office d'à "
"365";"+";"+";"-";"-";"-";"<E>";" tirer";"<E>";"<E>";"+";"-";" <E>";"à";"<E>";"hue";"-";"-";"et à";"<E>";"dia";"-";"-";"-";"+";"§tirer§à hue et à dia "
"366";"+";"-";"-";"-";"-";"<E>";" tirer";"<E>";"les";"-";"-";" marrons";"de";"le";"feu";"-";"-";"pour";"<E>";"<E>";"+";"-";"-";"-";"§tirer§les marrons du feu pour "
"367";"+";"-";"-";"-";"-";"<E>";" tirer";"<E>";"un";"-";"-";" nez";"<E>";"<E>";"long";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"§tirer§un nez long comme ça "
"368";"+";"-";"-";"-";"-";"<E>";" tirer";"<E>";"un";"-";"-";" nez";"<E>";"<E>";"long";"-";"-";"comme";"un";"jour sans pain";"-";"-";"-";"-";"§tirer§un nez long comme un jour sans pain "
"369";"+";"-";"-";"-";"-";"<E>";" tirer";"<E>";"une";"-";"-";" tête";"<E>";"<E>";"longue";"-";"-";"comme";"<E>";"ça";"-";"-";"-";"-";"§tirer§une tête longue comme ça "
"370";"+";"-";"-";"-";"-";"<E>";" tirer";"<E>";"une";"-";"-";" tête";"<E>";"<E>";"longue";"-";"-";"comme";"un";"jour sans pain";"-";"-";"-";"-";"§tirer§une tête longue comme un jour sans pain "
"371";"+";"-";"-";"-";"-";"<E>";" tomber";"de";"<E>";"-";"-";" accord";"avec";"<E>";"<E>";"-";"+";"sur";"<E>";"<E>";"-";"+";"-";"-";"§tomber§d'accord avec sur "
"372";"+";"-";"-";"-";"-";"<E>";" tourner";"<E>";"sept";"-";"-";" fois";"<E>";"Poss0";"langue";"-";"-";"dans";"Poss0";"bouche";"-";"-";"-";"-";"§tourner§sept fois sa langue dans sa bouche "
"373";"+";"+";"-";"-";"-";"<E>";" tracer";"<E>";"le";"-";"-";" chemin";"à";"<E>";"suivre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§tracer§le chemin à suivre à "
"374";"+";"+";"-";"-";"-";"<E>";" tracer";"<E>";"la";"-";"-";" marche";"à";"<E>";"suivre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§tracer§la marche à suivre à "
"375";"+";"+";"-";"-";"-";"<E>";" tracer";"<E>";"la";"-";"-";" route";"à";"<E>";"suivre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§tracer§la route à suivre à "
"376";"+";"+";"-";"-";"-";"<E>";" tracer";"<E>";"la";"-";"-";" voie";"à";"<E>";"suivre";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§tracer§la voie à suivre à "
"377";"+";"-";"-";"-";"-";"<E>";" traiter";"<E>";"<E>";"-";"+";" <E>";"sur";"un";"pied d'égalité";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§traiter§sur un pied d'égalité avec "
"378";"+";"-";"-";"-";"-";"<E>";" traiter";"<E>";"plus";"-";"-";" bas";"que";"<E>";"terre";"-";"-";"<E>";"<E>";"<E>";"+";"-";"-";"+";"§traiter§plus bas que terre "
"379";"+";"-";"-";"-";"-";"<E>";" traiter";"de";"<E>";"-";"-";" égal";"à";"<E>";"égal";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§traiter§d'égal à égal avec "
"380";"+";"-";"-";"-";"-";"<E>";" trouver";"<E>";"<E>";"-";"-";" acheteur";"de";"<E>";"<E>";"-";"+";"pour";"<E>";"Nsomme";"-";"-";"-";"+";"§trouver§acheteur de pour Nsomme "
"381";"+";"-";"-";"-";"-";"<E>";" trouver";"<E>";"<E>";"-";"-";" acquéreur";"de";"<E>";"<E>";"-";"+";"pour";"<E>";"Nsomme";"-";"-";"-";"+";"§trouver§acquéreur de pour Nsomme "
"382";"+";"-";"+";"-";"-";"se";" trouver";"<E>";"<E>";"-";"-";" face";"à";"<E>";"face";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§se trouver§face à face avec "
"383";"+";"-";"+";"-";"-";"se";" trouver";"<E>";"<E>";"-";"-";" nez";"à";"<E>";"nez";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§se trouver§nez à nez avec "
"384";"+";"-";"-";"-";"-";"<E>";" trouver";"<E>";"<E>";"-";"-";" preneur";"de";"<E>";"<E>";"-";"+";"pour";"<E>";"Nsomme";"-";"-";"-";"+";"§trouver§preneur de pour Nsomme "
"385";"+";"-";"-";"-";"-";"<E>";" unir";"<E>";"<E>";"+";"-";" <E>";"par";"les";"liens du mariage";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§unir§par les liens du mariage avec "
"386";"+";"-";"-";"-";"-";"<E>";" unir";"<E>";"<E>";"+";"-";" <E>";"par";"les";"liens sacrés du mariage";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"+";"§unir§par les liens sacrés du mariage avec "
"387";"+";"-";"-";"-";"-";"<E>";" vivre";"<E>";"<E>";"-";"-";" porte";"à";"<E>";"porte";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§vivre§porte à porte avec "

