"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"115";"+";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"complaisance";"+";"-";"§être§sans aucune complaisance "
"116";"+";"+";"+";"-";"-";"<E>";"être";"sans";"la";"moindre";"complaisance";"+";"-";"§être§sans la moindre complaisance "
"117";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"grand";"complet";"+";"-";"§être§au grand complet "
"118";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"composition";"-";"-";"§être§de bonne composition "
"119";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"mauvaise";"composition";"-";"-";"§être§de mauvaise composition "
"120";"-";"+";"+";"-";"-";"<E>";"être";"à";"n'y";"rien";"comprendre";"-";"-";"§être§à n'y rien comprendre "
"121";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"condition";"-";"-";"§être§en bonne condition "
"122";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"excellente";"condition";"-";"-";"§être§en excellente condition "
"123";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"condition";"-";"-";"§être§en mauvaise condition "
"124";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"parfaite";"condition";"-";"-";"§être§en parfaite condition "
"125";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"sauf-";"conduit";"-";"-";"§être§sous sauf-conduit "
"126";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"confusion";"-";"-";"§être§en pleine confusion "
"127";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bon";"conseil";"-";"-";"§être§de bon conseil "
"128";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"conseil";"-";"-";"§être§de bon conseil "
