"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"476";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"première";"nécessité";"-";"-";"§être§de la première nécessité "
"477";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"Nhum";"-";"-";"§être§à son Dnum-ième Nhum "
"478";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"N-hum";"-";"-";"§être§à son Dnum-ième N-hum "
"479";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"N-hum";"-";"-";"§être§à son Dnum-ième N-hum "
"480";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"N-hum";"-";"-";"§être§à son Dnum-ième N-hum "
"481";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0 plus";"bas";"niveau";"-";"-";"§être§à son plus bas niveau "
"482";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"bas";"niveau";"-";"-";"§être§de bas niveau "
"483";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"bon";"niveau";"-";"-";"§être§d'un bon niveau "
"484";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"excellent";"niveau";"-";"-";"§être§d'un excellent niveau "
"485";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0 plus";"haut";"niveau";"-";"-";"§être§à son plus haut niveau "
"486";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"haut";"niveau";"-";"-";"§être§d'haut niveau "
"487";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bon";"N-langue";"-";"-";"§être§en bon N-langue "
"488";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bon";"Nloc";"-";"+";"§être§au bon Nloc "
"489";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"bon";"Nloc";"-";"+";"§être§dans le bon Nloc "
"490";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"Nloc";"-";"+";"§être§en plein Nloc "
"491";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"petite";"noblesse";"-";"-";"§être§de petite noblesse "
"492";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"faible";"nombre";"-";"-";"§être§en faible nombre "
"493";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"nombre";"+";"-";"§être§en grand nombre "
"494";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petit";"nombre";"-";"-";"§être§en petit nombre "
"495";"+";"+";"-";"-";"-";"<E>";"être";"par";"<E>";"chez";"nous";"-";"-";"§être§par chez nous "
"496";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"novembre";"-";"-";"§être§à la mi-novembre "
"497";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"dernière";"Ntps";"-";"-";"§être§à son dernière Ntps "
"498";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"dernière";"Ntps";"-";"-";"§être§dans son dernière Ntps "
"499";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"aucun";"nuage";"+";"-";"§être§sans aucun nuage "
"500";"-";"+";"-";"-";"-";"<E>";"être";"sans";"le";"moindre";"nuage";"+";"-";"§être§sans le moindre nuage "
"501";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"nuit";"-";"-";"§être§en pleine nuit "
"502";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"octobre";"-";"-";"§être§à la mi-octobre "
"503";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"plus";"offrant";"-";"-";"§être§au plus offrant "
"504";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"petits";"oignons";"-";"-";"§être§aux petits oignons "
"505";"+";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"grandes";"ondes";"-";"-";"§être§sur grandes ondes "
"506";"+";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"petites";"ondes";"-";"-";"§être§sur petites ondes "
"507";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"opération";"-";"-";"§être§en pleine opération "
"508";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"orage";"-";"-";"§être§en plein orage "
"509";"-";"+";"+";"-";"-";"<E>";"être";"de";"un";"autre";"ordre";"-";"-";"§être§d'un autre ordre "
"510";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bon";"ordre";"-";"-";"§être§en bon ordre "
"511";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"dernier";"ordre";"-";"-";"§être§de dernier ordre "
"512";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"Dnum-ième";"ordre";"-";"-";"§être§de Dnum-ième ordre "
"513";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"premier";"ordre";"-";"-";"§être§de premier ordre "
"514";"+";"+";"-";"-";"-";"<E>";"être";"de";"tout";"premier";"ordre";"-";"-";"§être§de tout premier ordre "
"515";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"second";"ordre";"-";"-";"§être§de second ordre "
"516";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"orgasme";"-";"-";"§être§en plein orgasme "
"517";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"orgasme";"-";"-";"§être§dans un sacré orgasme "
"518";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"page";"-";"-";"§être§à la bonne page "
"519";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mauvaise";"page";"-";"-";"§être§à la mauvaise page "
"520";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"panade";"-";"-";"§être§en pleine panade "
"521";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"panade";"-";"-";"§être§dans une sacrée panade "
"522";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"panique";"-";"-";"§être§en pleine panique "
"523";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"panique";"-";"-";"§être§dans une sacrée panique "
"524";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"paranoïa";"-";"-";"§être§en pleine paranoïa "
"525";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"parcours";"-";"-";"§être§à mi-parcours "
"526";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"autre";"part";"-";"-";"§être§d'autre part "
"527";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"nulle";"part";"-";"-";"§être§de nulle part "
"528";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"parties";"-";"-";"§être§en Dnum parties "
"529";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"parties";"-";"-";"§être§en Dnum parties "
"530";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"bonne";"passe";"-";"-";"§être§dans une bonne passe "
"531";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"mauvaise";"passe";"-";"-";"§être§dans une mauvaise passe "
"532";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"bonne";"pente";"-";"-";"§être§sur la bonne pente "
"533";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"bonne";"pente";"-";"-";"§être§sur une bonne pente "
"534";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"mauvaise";"pente";"-";"-";"§être§sur la mauvaise pente "
"535";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"mauvaise";"pente";"-";"-";"§être§sur une mauvaise pente "
"536";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"pente";"-";"+";"§être§à mi-pente "
"537";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"pente";"-";"+";"§être§à la mi-pente "
"538";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"bonne";"période";"-";"-";"§être§dans une bonne période "
"539";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"mauvaise";"période";"-";"-";"§être§dans une mauvaise période "
"540";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fausse";"perme";"-";"-";"§être§en fausse perme "
"541";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"beau";"pétrin";"-";"-";"§être§dans un beau pétrin "
"542";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"phase";"-";"-";"§être§à son Dnum-ième phase "
"543";"-";"+";"-";"-";"-";"<E>";"être";"dans";"Poss0";"Dnum-ième";"phase";"-";"-";"§être§dans son Dnum-ième phase "
"544";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"seule";"pièce";"+";"-";"§être§d'une seule pièce "
"545";"-";"+";"-";"-";"-";"<E>";"être";"en";"une";"seule";"pièce";"+";"-";"§être§en une seule pièce "
"546";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petites";"pièces";"-";"-";"§être§en petites pièces "
"547";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"plain-";"pied";"-";"-";"§être§de plain-pied "
"548";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"bonne";"piste";"+";"-";"§être§sur la bonne piste "
"549";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"fausse";"piste";"+";"-";"§être§sur une fausse piste "
"550";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"mauvaise";"piste";"-";"-";"§être§sur la mauvaise piste "
"551";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"gros";"plan";"-";"-";"§être§en gros plan "
"552";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"premier";"plan";"-";"-";"§être§de premier plan "
"553";"+";"+";"-";"-";"-";"<E>";"être";"de";"tout";"premier";"plan";"-";"-";"§être§de tout premier plan "
"554";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"second";"plan";"-";"-";"§être§de second plan "
"555";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"contre-";"plaqué";"-";"-";"§être§en contre-plaqué "
"556";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bon";"poil";"-";"-";"§être§de bon poil "
"557";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"mauvais";"poil";"-";"-";"§être§de mauvais poil "
"558";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"petit";"poil";"-";"-";"§être§au petit poil "
"559";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"points";"-";"-";"§être§en Dnum points "
"560";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bonne";"politique";"-";"-";"§être§de bonne politique "
"561";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"courte";"portée";"-";"-";"§être§à courte portée "
"562";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"longue";"portée";"-";"-";"§être§à longue portée "
"563";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"moyenne";"portée";"-";"-";"§être§à moyenne portée "
"564";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"seule";"portée";"+";"-";"§être§d'une seule portée "
"565";"-";"+";"-";"-";"-";"<E>";"être";"en";"une";"seule";"portée";"+";"-";"§être§en une seule portée "
"566";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"position";"-";"-";"§être§en bonne position "
"567";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dernière";"position";"-";"-";"§être§en dernière position "
"568";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum-ième";"position";"-";"-";"§être§en Dnum-ième position "
"569";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"position";"-";"-";"§être§en mauvaise position "
"570";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"première";"position";"-";"-";"§être§en première position "
"571";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"posture";"-";"-";"§être§en bonne posture "
"572";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"excellente";"posture";"-";"-";"§être§en excellente posture "
"573";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"fâcheuse";"posture";"-";"-";"§être§en fâcheuse posture "
"574";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"posture";"-";"-";"§être§en mauvaise posture "
"575";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"meilleure";"posture";"-";"-";"§être§en meilleure posture "
"576";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"parfaite";"posture";"-";"-";"§être§en parfaite posture "
"577";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"faible";"potentiel";"-";"-";"§être§à faible potentiel "
"578";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"haut";"potentiel";"-";"-";"§être§à haut potentiel "
"579";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"précision";"-";"-";"§être§en double précision "
"580";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"avant-";"première";"-";"-";"§être§en avant-première "
"581";"-";"+";"-";"-";"-";"<E>";"être";"de";"un";"premier";"pressage";"-";"-";"§être§d'un premier pressage "
"582";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"demi-";"prix";"-";"-";"§être§à demi-prix "
"583";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"juste";"prix";"-";"-";"§être§à son juste prix "
"584";"-";"+";"+";"-";"-";"<E>";"être";"à";"un";"tel";"prix";"-";"-";"§être§à un tel prix "
"585";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"vrai";"prix";"-";"-";"§être§à son vrai prix "
"586";"-";"+";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"prospérité";"-";"-";"§être§dans une sacrée prospérité "
"587";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"puberté";"-";"-";"§être§en pleine puberté "
"588";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"pleine";"puissance";"-";"-";"§être§à pleine puissance "
"589";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"purée";"-";"-";"§être§en pleine purée "
"590";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"purée";"-";"-";"§être§dans une sacrée purée "
"591";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"qualité";"+";"-";"§être§de bonne qualité "
"592";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"excellente";"qualité";"-";"-";"§être§d'excellente qualité "
"593";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"grande";"qualité";"+";"-";"§être§de grande qualité "
"594";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"haute";"qualité";"+";"-";"§être§d'haute qualité "
"595";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"mauvaise";"qualité";"-";"-";"§être§de mauvaise qualité "
"596";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"qualité";"-";"-";"§être§de première qualité "
"597";"+";"+";"-";"-";"-";"<E>";"être";"de";"toute";"première";"qualité";"-";"-";"§être§de toute première qualité "
"598";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"faible";"quantité";"-";"-";"§être§en faible quantité "
"599";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"quantité";"+";"-";"§être§en grande quantité "
"600";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"grosse";"quantité";"-";"-";"§être§en grosse quantité "
"601";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petite";"quantité";"-";"-";"§être§en petite quantité "
"602";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"haut";"rang";"-";"-";"§être§d'haut rang "
"603";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"réflexion";"-";"-";"§être§en pleine réflexion "
"604";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"régime";"-";"-";"§être§en sous-régime "
"605";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"remord";"-";"-";"§être§en plein remord "
"606";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"reprises";"-";"-";"§être§en Dnum reprises "
"607";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"reproduction";"-";"-";"§être§en pleine reproduction "
"608";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"réserve";"+";"-";"§être§sans aucune réserve "
"609";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"demi-";"rêve";"-";"-";"§être§dans un demi-rêve "
"610";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"semi-";"rêve";"-";"-";"§être§dans un semi-rêve "
"611";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"haut";"ridicule";"-";"-";"§être§du plus haut ridicule "
"612";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucun";"risque";"+";"-";"§être§sans aucun risque "
"613";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"haut";"risque";"+";"-";"§être§à haut risque "
"614";"-";"+";"+";"-";"-";"<E>";"être";"sans";"le";"moindre";"risque";"+";"-";"§être§sans le moindre risque "
"615";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"premier";"rôle";"-";"-";"§être§dans le premier rôle "
"616";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"rounds";"-";"-";"§être§en Dnum rounds "
"617";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"bonne";"route";"-";"-";"§être§sur la bonne route "
"618";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"mauvaise";"route";"-";"-";"§être§sur la mauvaise route "
"619";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"pure";"routine";"-";"-";"§être§de pure routine "
"620";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"rue";"-";"+";"§être§en pleine rue "
"621";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"basse";"saison";"-";"-";"§être§en basse saison "
"622";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"saison";"-";"-";"§être§à la bonne saison "
"623";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"haute";"saison";"-";"-";"§être§en haute saison "
"624";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mauvaise";"saison";"-";"-";"§être§à la mauvaise saison "
"625";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"saison";"-";"-";"§être§à mi-saison "
"626";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"saison";"-";"-";"§être§à la mi-saison "
"627";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"santé";"-";"-";"§être§en bonne santé "
"628";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"excellente";"santé";"-";"-";"§être§en excellente santé "
"629";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"santé";"-";"-";"§être§en mauvaise santé "
"630";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"parfaite";"santé";"-";"-";"§être§en parfaite santé "
"631";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"santé";"-";"-";"§être§en pleine santé "
"632";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"santé";"-";"-";"§être§dans une sacrée santé "
"633";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"séance";"-";"-";"§être§à mi-séance "
"634";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"séance";"-";"-";"§être§à la mi-séance "
"635";"-";"+";"-";"-";"-";"<E>";"être";"dans";"le plus";"grand";"secret";"-";"-";"§être§dans le plus grand secret "
"636";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"sections";"-";"-";"§être§en Dnum sections "
"637";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"sédentarisation";"-";"-";"§être§en pleine sédentarisation "
"638";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"semestre";"-";"-";"§être§à mi-semestre "
"639";"+";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"sens";"-";"-";"§être§de bon sens "
"640";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"sens";"-";"-";"§être§à double sens "
"641";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"sens";"-";"-";"§être§à double sens "
"642";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"septembre";"-";"-";"§être§à la mi-septembre "
"643";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"sérénité";"-";"-";"§être§en pleine sérénité "
"644";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"libre";"service";"-";"-";"§être§en libre service "
"645";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"sets";"-";"-";"§être§en Dnum sets "
"646";"+";"-";"-";"-";"-";"<E>";"être";"chez";"les";"bonnes";"soeurs";"+";"-";"§être§chez les bonnes soeurs "
"647";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sous-";"sol";"-";"+";"§être§au sous-sol "
"648";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"sol";"-";"+";"§être§en sous-sol "
"649";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"soleil";"-";"-";"§être§en plein soleil "
"650";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"demi-";"solitude";"-";"-";"§être§dans une demi-solitude "
"651";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"semi-";"solitude";"-";"-";"§être§dans une semi-solitude "
"652";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"demi-";"sommeil";"-";"-";"§être§dans un demi-sommeil "
"653";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"sommeil";"-";"-";"§être§en plein sommeil "
"654";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"premier";"sommeil";"-";"-";"§être§dans son premier sommeil "
"655";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"semi-";"sommeil";"-";"-";"§être§dans un semi-sommeil "
"656";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"somnolence";"-";"-";"§être§en pleine somnolence "
"657";"+";"+";"-";"-";"-";"<E>";"être";"de";"la";"pire";"sorte";"-";"-";"§être§de la pire sorte "
"658";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"basse";"souche";"-";"-";"§être§de basse souche "
"659";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"noble";"souche";"-";"-";"§être§en noble souche "
"660";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"petits";"souliers";"-";"-";"§être§dans ses petits souliers "
"661";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"grand";"spectacle";"-";"-";"§être§à grand spectacle "
"662";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"stade";"-";"-";"§être§à son Dnum-ième stade "
"663";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"grand";"succès";"+";"-";"§être§sans grand succès "
"664";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"totale";"sujétion";"-";"-";"§être§en totale sujétion "
"665";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"surprise";"+";"-";"§être§sans aucune surprise "
"666";"-";"+";"+";"-";"-";"<E>";"être";"sans";"la";"moindre";"surprise";"+";"-";"§être§sans la moindre surprise "
"667";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"bonne";"surveillance";"+";"-";"§être§sous bonne surveillance "
"668";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"haute";"surveillance";"+";"-";"§être§sous haute surveillance "
"669";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"belle";"taille";"-";"-";"§être§de belle taille "
"670";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"belle";"taille";"-";"-";"§être§d'une belle taille "
"671";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"taille";"-";"-";"§être§à la bonne taille "
"672";"-";"+";"+";"-";"-";"<E>";"être";"pour";"<E>";"plus";"tard";"-";"-";"§être§pour plus tard "
"673";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"demi-";"tarif";"-";"-";"§être§à demi-tarif "
"674";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"plein";"tarif";"-";"-";"§être§à plein tarif "
"675";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"haute";"technologie";"-";"-";"§être§d'haute technologie "
"676";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"demi-";"teintes";"-";"-";"§être§en demi-teintes "
"677";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"température";"-";"-";"§être§à la bonne température "
"678";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"tempête";"-";"-";"§être§en pleine tempête "
"679";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"temps";"-";"-";"§être§à la mi-temps "
"680";"-";"+";"-";"-";"-";"<E>";"être";"de";"un";"seul";"tenant";"+";"-";"§être§d'un seul tenant "
"681";"-";"+";"-";"-";"-";"<E>";"être";"en";"un";"seul";"tenant";"-";"-";"§être§en un seul tenant "
"682";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"tenue";"-";"-";"§être§en grande tenue "
"683";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"petite";"tenue";"-";"-";"§être§en petite tenue "
"684";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"seule";"tenue";"-";"-";"§être§d'une seule tenue "
"685";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"béta";"test";"+";"-";"§être§en béta test "
"686";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"en-";"tête";"-";"-";"§être§à en-tête "
"687";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"titre";"-";"-";"§être§en sous-titre "
"688";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"toilette";"-";"-";"§être§en grande toilette "
"689";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"toit";"-";"-";"§être§à double toit "
"690";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"ton";"-";"-";"§être§de bon ton "
"691";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"tourmente";"-";"-";"§être§en pleine tourmente "
"692";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleins";"tourments";"-";"-";"§être§en pleins tourments "
"693";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"traitance";"-";"-";"§être§en sous-traitance "
"694";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"tranchant";"-";"-";"§être§à double tranchant "
"695";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"travail";"-";"-";"§être§en plein travail "
"696";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"traversée";"-";"-";"§être§en pleine traversée "
