"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"124";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"craché";"-";"+";"§être§craché "
"125";"+";"-";"-";"<E>";" être";"<E>";"<E>";"tout";"craché";"-";"+";"§être§tout craché "
"126";"+";"+";"-";"<E>";" être";"un";"de";"tous";"crins";"-";"+";"§être§un de tous crins "
"127";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"croupion";"-";"+";"§être§un croupion "
"128";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"culte";"-";"+";"§être§un culte "
"129";"-";"+";"-";"<E>";" être";"<E>";"de";"tous les";"dangers";"-";"-";"§être§de tous les dangers "
"130";"+";"+";"-";"<E>";" être";" dernier";"en";"<E>";"date";"-";"+";"§être§dernier en date "
"131";"+";"-";"-";"<E>";" être";"un";"de";"fraîche";"date";"-";"+";"§être§un de fraîche date "
"132";"+";"-";"-";"<E>";" être";"un";"de";"longue";"date";"-";"+";"§être§un de longue date "
"133";"+";"-";"-";"<E>";" être";"un";"de";"vieil";"date";"-";"+";"§être§un de vieil date "
"134";"+";"+";"-";"<E>";" être";"un";"de";"la première";"date";"-";"+";"§être§un de la première date "
"135";"-";"+";"-";"<E>";" être";"un";"par";"<E>";"défaut";"-";"+";"§être§un par défaut "
"136";"+";"+";"-";"<E>";" être";"<E>";"à";" plus haut";"degré";"-";"+";"§être§à plus haut degré "
"137";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"demain";"-";"+";"§être§un de demain "
"138";"+";"+";"-";"<E>";" être";"un";"de";"après-";"demain";"-";"+";"§être§un d'après-demain "
"139";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"demeure";"-";"+";"§être§un à demeure "
"140";"+";"+";"-";"<E>";" être";"<E>";"à";"<E>";"demi";"+";"+";"§être§à demi "
"141";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"démonstration";"-";"+";"§être§un de démonstration "
"142";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"départ";"-";"+";"§être§un de départ "
"143";"+";"+";"-";"<E>";" être";"un";"<E>";"tout";"dernier";"+";"-";"§être§un tout dernier "
"144";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"derrière";"-";"+";"§être§un de derrière "
"145";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"derrière";"-";"+";"§être§un de derrière "
"146";"+";"+";"-";"<E>";" être";"<E>";"<E>";"tant";"désiré";"+";"+";"§être§tant désiré "
"147";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"dessous";"-";"+";"§être§un de dessous "
"148";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"dessous";"-";"+";"§être§un de dessous "
"149";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"dessus";"-";"+";"§être§un de dessus "
"150";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"dessus";"-";"+";"§être§un de dessus "
"151";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"déterminé";"-";"+";"§être§un déterminé "
"152";"-";"+";"-";"<E>";" être";"un";"<E>";"bien";"déterminé";"-";"+";"§être§un bien déterminé "
"153";"+";"+";"-";"<E>";" être";"un";"de";"mes";"deux";"-";"+";"§être§un de mes deux "
"154";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"deux en un";"-";"+";"§être§un deux en un "
"155";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"devant";"-";"+";"§être§un de devant "
"156";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"devant";"-";"+";"§être§un de devant "
"157";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"devanture";"-";"+";"§être§un de devanture "
"158";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"diable";"-";"+";"§être§un de diable"
"159";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"diable";"-";"+";"§être§un en diable"
"160";"-";"+";"-";"<E>";" être";"un";"de";"tous les";"diables";"-";"+";"§être§un de tous les diables"
"161";"+";"+";"-";"<E>";" être";"<E>";"que";"l'on";"dire";"-";"+";"§être§que l'on dire "
"162";"+";"+";"-";"<E>";" être";"<E>";"que";"on";"dire";"-";"+";"§être§qu'on dire "
"163";"+";"+";"-";"<E>";" être";"<E>";"que";"tu";"dire";"-";"+";"§être§que tu dire "
"164";"+";"+";"-";"<E>";" être";"<E>";"que";"vous";"dire";"-";"+";"§être§que vous dire "
"165";"+";"+";"-";"<E>";" être";"un";"qui";"ne";"dire pas Poss0 nom";"-";"+";"§être§un qui ne dire pas son nom "
"166";"+";"+";"-";"<E>";" être";"un";"pour";"ne pas";"dire un N";"-";"+";"§être§un pour ne pas dire un N "
"167";"+";"-";"-";"<E>";" être";"un";"<E>";"soit-";"disant";"+";"-";"§être§un soit-disant "
"168";"+";"+";"-";"<E>";" être";"<E>";"de";"la";"discorde";"-";"+";"§être§de la discorde "
"169";"+";"-";"-";"<E>";" être";"Poss0";"<E>";"<E>";"distingué";"+";"-";"§être§son distingué "
"170";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"distingué";"-";"+";"§être§un distingué "
"171";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"distingué";"-";"+";"§être§un distingué "
"172";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"dit";"-";"+";"§être§dit "
"173";"+";"+";"-";"<E>";" être";"<E>";"<E>";"sus-";"dit";"-";"+";"§être§sus-dit "
"174";"+";"+";"-";"<E>";" être";"un";"<E>";"proprement";"dit";"-";"+";"§être§un proprement dit "
"175";"-";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"dit";"+";"-";"§être§dit "
"176";"+";"+";"-";"<E>";" être";"S";"<E>";"les plus";"divers";"-";"+";"§être§S les plus divers "
"177";"+";"+";"-";"<E>";" être";"des";"<E>";"<E>";"divers";"-";"+";"§être§des divers "
"178";"+";"+";"-";"<E>";" être";"des";"<E>";"<E>";"divers et variés";"-";"+";"§être§des divers et variés "
"179";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"doublé d'un N";"-";"-";"§être§un doublé d'un N "
"180";"+";"+";"-";"<E>";" être";"un";"de";"pin";"droit";"-";"+";"§être§un de pin droit "
"181";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"droit divin";"-";"+";"§être§un de droit divin "
"182";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"droite";"-";"+";"§être§de droite "
"183";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"échantillon";"-";"+";"§être§un échantillon "
"184";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"éclair";"-";"+";"§être§un éclair "
"185";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"élite";"-";"+";"§être§un d'élite "
"186";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"émérite";"+";"+";"§être§un émérite "
"187";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"empire";"-";"+";"§être§un empire "
"188";"-";"+";"-";"<E>";" être";"un";"à";"<E>";"emporte-pièce";"-";"+";"§être§un à emporte-pièce "
"189";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"emprunt";"-";"+";"§être§un d'emprunt "
"190";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"enfant";"-";"+";"§être§un d'enfant "
"191";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"enfer";"-";"+";"§être§un d'enfer "
"192";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"ensemble";"-";"+";"§être§un d'ensemble"
"193";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"entier";"-";"+";"§être§un entier "
"194";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"esprit";"-";"+";"§être§un d'esprit "
"195";"+";"+";"-";"<E>";" être";"un";"si";"il en";"est";"-";"+";"§être§un si il en est "
"196";"+";"+";"+";"n'";" être plus";"<E>";"que";"IL-0";"était";"-";"+";"§n'est plus§qu'IL-0 était "
"197";"+";"+";"-";"<E>";" être";"toujours ";"que";"IL-0";"était";"-";"+";"§être§toujours qu'IL-0 était "
"198";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"étalon";"-";"+";"§être§un étalon "
"199";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"étape";"-";"+";"§être§un étape "
"200";"+";"-";"-";"<E>";" être";"<E>";"de";"Poss0";"état";"-";"+";"§être§de son état "
"201";"+";"-";"-";"<E>";" être";"un grand";"devant";"<E>";"Eternel";"-";"+";"§être§un grand devant Eternel "
"202";"+";"-";"-";"<E>";" être";"un grand";"devant";"<E>";"Eternel";"-";"+";"§être§un grand devant Eternel "
"203";"+";"-";"-";"<E>";" être";"un";"devant";"<E>";"Eternel";"-";"+";"§être§un devant Eternel "
