"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"519";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"salon";"-";"+";"§être§un de salon "
"520";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"salon";"-";"+";"§être§un de salon "
"521";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"satané";"+";"-";"§être§un satané "
"522";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"sauvage";"-";"+";"§être§un sauvage "
"523";"+";"-";"-";"<E>";" être";"un";"sans";"<E>";"savoir";"-";"+";"§être§un sans savoir "
"524";"+";"+";"-";"<E>";" être";"<E>";"que";"l'on";"savoir";"-";"+";"§être§que l'on savoir "
"525";"+";"+";"-";"<E>";" être";"<E>";"que";"on";"savoir";"-";"+";"§être§qu'on savoir "
"526";"+";"+";"-";"<E>";" être";"<E>";"que";"tu";"savoir";"-";"+";"§être§que tu savoir "
"527";"+";"+";"-";"<E>";" être";"<E>";"que";"vous";"savoir";"-";"+";"§être§que vous savoir "
"528";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"secours";"-";"+";"§être§un de secours "
"529";"+";"+";"-";"<E>";" être";"<E>";"de";"la";"semaine";"+";"-";"§être§de la semaine "
"530";"-";"+";"-";"<E>";" être";"un";"de";"la";"semaine";"+";"-";"§être§un de la semaine "
"531";"+";"+";"-";"<E>";" être";"un";"à";"mon";"sens";"-";"+";"§être§un à mon sens "
"532";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"sens strict";"-";"+";"§être§un à sens strict "
"533";"-";"+";"-";"<E>";" être";"un";"à";"<E>";"sensation";"-";"+";"§être§un à sensation "
"534";"+";"-";"-";"<E>";" être";" Dnum-ième";"de";"la";"série";"-";"+";"§être§Dnum-ième de la série "
"535";"+";"-";"-";"<E>";" être";" Dnum-ième et dernier";"de";"la";"série";"-";"+";"§être§Dnum-ième et dernier de la série "
"536";"+";"-";"-";"<E>";" être";" premier et  dernier";"de";"la";"série";"-";"+";"§être§premier et dernier de la série "
"537";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"service";"-";"+";"§être§de service "
"538";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"service";"-";"+";"§être§un de service "
"539";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"siècle";"-";"+";"§être§de siècle"
"540";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"siècle";"-";"+";"§être§un de siècle"
"541";"-";"+";"-";"<E>";" être";"du";"<E>";"<E>";"simili";"+";"-";"§être§du simili "
"542";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"simple";"+";"-";"§être§un simple"
"543";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"sinistre";"+";"-";"§être§un sinistre "
"544";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"société";"-";"+";"§être§un de société "
"545";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"soliveau";"-";"+";"§être§un soliveau "
"546";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"sombre";"+";"-";"§être§un sombre "
"547";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"sortant";"-";"+";"§être§un sortant "
"548";"+";"-";"-";"<E>";" être";"Dnum-ième";"de";"la";"sorte";"-";"+";"§être§Dnum-ième de la sorte "
"549";"+";"-";"-";"<E>";" être";"Dnum-ième et dernier";"de";"la";"sorte";"-";"+";"§être§Dnum-ième et dernier de la sorte "
"550";"+";"-";"-";"<E>";" être";"premier et  dernier";"de";"la";"sorte";"-";"+";"§être§premier et dernier de la sorte "
"551";"+";"+";"-";"<E>";" être";"des";"de";"toute";"sorte";"-";"+";"§être§des de toute sorte "
"552";"+";"+";"-";"<E>";" être";"des";"de";"toutes";"sortes";"-";"+";"§être§des de toutes sortes "
"553";"+";"-";"-";"<E>";" être";"<E>";"de";"<E>";"souche";"-";"+";"§être§de souche "
"554";"+";"+";"-";"<E>";" être";"<E>";"à";"<E>";"souhait";"-";"+";"§être§à souhait "
"555";"+";"+";"-";"<E>";" être";"<E>";"<E>";"tant";"souhaité";"+";"+";"§être§tant souhaité "
"556";"+";"+";"-";"<E>";" être";"un";"de";"quatre";"sous";"-";"+";"§être§un de quatre sous "
"557";"+";"-";"+";"n'";" être pas";"<E>";"pour";"deux";"sous";"-";"+";"§n'est pas§pour deux sous "
"558";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"sous-préfecture";"-";"+";"§être§un de sous-préfecture "
"559";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"stricto sensu";"-";"-";"§être§un stricto sensu "
"560";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"substance";"-";"+";"§être§un de substance "
"561";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"substitution";"-";"+";"§être§un de substitution "
"562";"-";"+";"-";"<E>";" être";"un";"à";"<E>";"succès";"-";"+";"§être§un à succès "
"563";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"suicide";"-";"+";"§être§un suicide "
"564";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"suivre";"-";"+";"§être§un à suivre "
"565";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"supposé";"-";"+";"§être§un supposé "
"566";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"surprise";"-";"+";"§être§un surprise "
"567";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"surprises";"-";"+";"§être§un à surprises "
"568";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"sursis";"-";"+";"§être§un en sursis "
"569";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"symbole";"-";"+";"§être§un symbole"
"570";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"synthèse";"-";"+";"§être§un de synthèse "
"571";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"synthèse";"-";"+";"§être§un de synthèse "
"572";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"table";"-";"+";"§être§un de table"
"573";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"tampon";"-";"+";"§être§un tampon "
"574";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"tant";"-";"+";"§être§un de tant "
"575";"+";"+";"-";"<E>";" être";"un";"<E>";"bon";"teint";"-";"+";"§être§un bon teint "
"576";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"témoignage";"-";"+";"§être§un témoignage "
"577";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"témoin";"-";"+";"§être§un témoin "
"578";"+";"+";"-";"<E>";" être";"<E>";"plus";"de tous les";"temps";"-";"+";"§être§plus de tous les temps "
"579";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"temps jadis";"-";"-";"§être§un de temps jadis "
"580";"+";"+";"-";"<E>";" être";"un";"de";"la";"terre entière";"-";"+";"§être§un de la terre entière "
"581";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"tête";"-";"+";"§être§de tête "
"582";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"théâtre";"+";"-";"§être§un de théâtre "
"583";"+";"+";"-";"<E>";" être";"<E>";"en";"<E>";"titre";"-";"+";"§être§en titre "
"584";"+";"+";"-";"<E>";" être";"<E>";"<E>";"plus";"total";"-";"+";"§être§plus total "
"585";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"toujours";"+";"-";"§être§un de toujours "
"586";"+";"+";"-";"<E>";" être";"un";"entre";"<E>";"tous";"-";"+";"§être§un entre tous "
"587";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"tout";"-";"+";"§être§un en tout "
"588";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"traditionnel";"+";"-";"§être§traditionnel "
"589";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"transition";"-";"+";"§être§un de transition "
"590";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"trimestre";"-";"+";"§être§de trimestre "
"591";"-";"+";"-";"<E>";" être";"<E>";"de";"un";"trimestre";"-";"+";"§être§d'un trimestre "
"592";"+";"+";"-";"<E>";" être";"un";"avant";"la";"lettre";"-";"+";"§être§un avant la lettre "
"593";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"tutelle";"-";"+";"§être§de tutelle"
"594";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"tutelle";"-";"+";"§être§un de tutelle"
"595";"+";"-";"-";"<E>";" être";"Dnum-ième";"de";"<E>";"type";"-";"+";"§être§Dnum-ième de type "
"596";"+";"-";"-";"<E>";" être";"Dnum-ième et dernier";"de";"<E>";"type";"-";"+";"§être§Dnum-ième et dernier de type "
"597";"+";"-";"-";"<E>";" être";"premier et  dernier";"de";"<E>";"type";"-";"+";"§être§premier et dernier de type "
"598";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"type";"-";"+";"§être§un type "
"599";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vague";"+";"-";"§être§un vague "
"600";"+";"+";"-";"<E>";" être";"des";"<E>";"<E>";"variés";"-";"+";"§être§des variés "
"601";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"valeur";"-";"+";"§être§un de valeur "
"602";"-";"+";"-";"<E>";" être";"un";"à";"<E>";"venir";"-";"+";"§être§un à venir "
"603";"+";"-";"-";"<E>";" être";"<E>";"<E>";"premier";"venu";"+";"-";"§être§premier venu "
"604";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"véritable";"+";"-";"§être§un véritable "
"605";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"vice-";"+";"-";"§être§un vice-"
"606";"+";"+";"-";"<E>";" être";"<E>";"de";"Poss";"vie";"-";"+";"§être§de Poss vie "
"607";"+";"-";"-";"<E>";" être";"<E>";"à";"<E>";"vie";"-";"+";"§être§à vie "
"608";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"vieil";"-";"+";"§être§un de vieil "
"609";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vieux";"+";"-";"§être§un vieux "
"610";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vieux";"+";"-";"§être§un vieux "
"611";"+";"+";"-";"<E>";" être";"un";"<E>";"bon";"vieux";"+";"-";"§être§un bon vieux "
"612";"+";"+";"-";"<E>";" être";"un";"<E>";"malheureux";"vieux";"+";"-";"§être§un malheureux vieux "
"613";"+";"-";"-";"<E>";" être";"un";"<E>";"pauvre";"vieux";"+";"-";"§être§un pauvre vieux "
"614";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"vieux";"-";"+";"§être§un de vieux "
"615";"-";"+";"-";"<E>";" être";"<E>";"à";"<E>";"visage humain";"-";"+";"§être§à visage humain "
"616";"+";"+";"-";"<E>";" être";"<E>";"<E>";"sus-";"visé";"-";"+";"§être§sus-visé "
"617";"-";"+";"-";"<E>";" être";"<E>";"à";"deux";"vitesses";"-";"+";"§être§à deux vitesses "
"618";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"vivant";"-";"+";"§être§un vivant "
"619";"+";"+";"-";"<E>";" être";"un";"comme";"l'on n'en";"voir plus";"-";"+";"§être§un comme l'on n'en voir plus "
"620";"+";"+";"-";"<E>";" être";"un";"comme";"on n'en";"voir plus";"-";"+";"§être§un comme on n'en voir plus "
"621";"+";"-";"-";"<E>";" être";"un";"de";"haut";"vol";"-";"+";"§être§un d'haut vol "
"622";"+";"-";"-";"<E>";" être";"un";"de";"haute";"volée";"-";"+";"§être§un d'haute volée "
"623";"+";"-";"-";"<E>";" être";"un";"de";"bonne";"volonté";"-";"+";"§être§un de bonne volonté "
"624";"+";"+";"-";"<E>";" être";"un";"qui";"ne";"vouloir pas dire Poss0 nom";"-";"+";"§être§un qui ne vouloir pas dire son nom "
"625";"-";"+";"-";"<E>";" être";"un";"que N";"a";"vu et entendu";"-";"+";"§être§un que N a vu et entendu "
"626";"+";"+";"-";"<E>";" être";"<E>";"<E>";"plus en";"vue";"-";"+";"§être§plus en vue "
"627";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vulgaire";"+";"-";"§être§un vulgaire "
"628";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vulgaire petit";"+";"-";"§être§un vulgaire petit "
"629";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"faux";"+";"-";"§être§un faux "
"630";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"vrai";"+";"-";"§être§un vrai "

