"<ID>";"<ENT>Il";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"il y avoir = <E>";"N2 =: Qu Pind";"N2 =: Qu Psubj";"N2 =: V0-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"1";"il";"-";"-";"y";"avoir";"<E>";"<E>";"<E>";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"Il y a que Paul est malade"
"2";"il";"-";"-";"y";"avoir";"à";"<E>";"<E>";"-";"-";"+";"-";"<E>";"<E>";"avantage";"pour";"+";"-";"-";"-";"-";"Il y a avantage pour Paul à rester là"
"3";"il";"-";"-";"y";"avoir";"<E>";"de le";"abus";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de l'abus "
"4";"il";"-";"-";"y";"avoir";"<E>";"plus";"Adj";"-";"-";"-";"-";"à";"<E>";"faire";"que";"-";"-";"-";"-";"+";"il§y avoir§plus Adj à fait que "
"5";"il";"-";"-";"y";"avoir";"<E>";"plus";"Adj encore ";"-";"-";"-";"-";"<E>";"<E>";"P";"<E>";"-";"-";"-";"-";"-";"il§y avoir§plus Adj encore P "
"6";"il";"-";"-";"y";"avoir";"<E>";"de la";"ambiance";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§de l'ambiance Loc "
"7";"il";"-";"+";"n'y";"avoir pas";"<E>";"<E>";"âme";"-";"-";"-";"-";"<E>";"qui";"vive";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§âme qui vive Loc "
"8";"il";"-";"-";"y";"avoir";"<E>";"<E>";"anguille";"-";"-";"-";"-";"sous";"<E>";"roche";"<E>";"-";"-";"-";"-";"-";"il§y avoir§anguille sous roche "
"9";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"anicroche";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§d'anicroche Loc "
"10";"il";"-";"-";"y";"avoir";"<E>";"beaucoup de";"appelés";"-";"-";"-";"-";"et";"peu de";"élus";"Loc";"-";"+";"-";"-";"-";"il§y avoir§beaucoup d'appelés et peu de élus Loc "
"11";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"attendre";"-";"-";"-";"-";"de";"le";"cîté";"de";"+";"+";"-";"-";"-";"il§n'y avoir§rien à attendre du cîté de "
"12";"il";"-";"+";"n'y";"avoir";"<E>";"rien de";"autre";"-";"-";"-";"-";"à";"<E>";"dire";"qu'à";"-";"-";"-";"-";"+";"il§n'y avoir§rien d'autre à dire qu'à "
"13";"il";"-";"+";"n'y";"avoir";"<E>";"rien de";"autre";"-";"-";"-";"-";"à";"<E>";"dire";"que";"-";"-";"-";"-";"+";"il§n'y avoir§rien d'autre à dire que "
"14";"il";"-";"+";"n'y";"avoir";"<E>";"rien de";"autre";"-";"-";"-";"-";"à";"<E>";"faire";"qu'à";"-";"-";"-";"-";"+";"il§n'y avoir§rien d'autre à fait qu'à "
"15";"il";"-";"+";"n'y";"avoir";"<E>";"rien de";"autre";"-";"-";"-";"-";"à";"<E>";"faire";"que";"-";"-";"-";"-";"+";"il§n'y avoir§rien d'autre à fait que "
"16";"il";"-";"-";"y";"avoir";"<E>";"un";"bail";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§un bail de cela "
"17";"il";"-";"-";"y";"avoir";"<E>";"<E>";"beaucoup";"-";"-";"-";"-";"à";"<E>";"dire";"sur";"+";"+";"-";"-";"-";"il§y avoir§beaucoup à dire sur "
"18";"il";"-";"-";"y";"avoir";"<E>";"encore";"beaucoup";"-";"-";"-";"-";"à";"<E>";"dire";"sur";"+";"+";"-";"-";"-";"il§y avoir§encore beaucoup à dire sur "
"19";"il";"-";"-";"y";"avoir";"<E>";"<E>";"beaucoup";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§beaucoup à fait Loc "
"20";"il";"-";"-";"y";"avoir";"<E>";"encore";"beaucoup";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§encore beaucoup à fait Loc "
"21";"il";"-";"+";"n'y";"avoir pas";"<E>";"<E>";"besoin";"-";"-";"-";"-";"de";"être";"sorcier";"pour";"-";"-";"-";"+";"+";"il§n'y avoir pas§besoin d'est sorcier pour "
"22";"il";"-";"+";"n'y";"avoir pas";"<E>";"plus de";"beurre";"-";"-";"-";"-";"en";"<E>";"broche";"que de";"+";"+";"-";"-";"-";"il§n'y avoir pas§plus de beurre en broche que de "
"23";"il";"-";"+";"n'y";"avoir pas";"<E>";"plus que de";"beurre";"-";"-";"-";"-";"à";"le";"cul";"de";"+";"+";"-";"-";"-";"il§n'y avoir pas§plus que de beurre au cul de "
"24";"il";"-";"-";"y";"avoir";"<E>";"un";"blanc";"-";"-";"-";"-";"dans";"la";"conversation";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un blanc dans la conversation "
"25";"il";"-";"-";"y";"avoir";"à";"<E>";"boire";"-";"-";"-";"-";"et  à";"<E>";"manger";"Loc";"+";"+";"-";"-";"-";"il§y avoir§à boire et à manger Loc "
"26";"il";"-";"-";"y";"avoir";"<E>";"un";"brouillard";"-";"-";"-";"-";"à";"<E>";"couper au couteau";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un brouillard à couper au couteau "
"27";"il";"-";"+";"n'y";"avoir que";"<E>";"<E>";"ça";"-";"-";"-";"-";"de";"<E>";"vrai !";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir que§ça de vrai! "
"28";"il";"-";"-";"y";"avoir";"<E>";"un";"cadavre";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§y avoir§un cadavre entre "
"29";"il";"-";"-";"y";"avoir";"<E>";"un";"cadavre";"-";"-";"-";"-";"dans";"le";"placard";"de";"+";"-";"-";"-";"-";"il§y avoir§un cadavre dans le placard de "
"30";"il";"-";"-";"y";"avoir";"<E>";"un";"cadavre caché";"-";"-";"-";"-";"dans";"le";"placard";"de";"+";"-";"-";"-";"-";"il§y avoir§un cadavre caché dans le placard de "
"31";"il";"-";"-";"y";"avoir";"<E>";"beaucoup de";"cela";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§beaucoup de cela Loc "
"32";"il";"-";"-";"y";"avoir";"<E>";"Det";"chance";"+";"-";"+";"+";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§y avoir§un chance pour "
"33";"il";"-";"-";"y";"avoir";"<E>";"de bonnes";"chances";"-";"-";"+";"+";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§y avoir§de bonnes chances pour "
"34";"il";"-";"-";"y";"avoir";"<E>";"de fortes";"chances";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"-";"-";"+";"-";"il§y avoir§de fortes chances pour "
"35";"il";"-";"-";"y";"avoir";"<E>";"de grandes";"chances";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"-";"-";"+";"-";"il§y avoir§de grandes chances pour "
"36";"il";"-";"+";"n'y";"avoir pas";"<E>";"un";"chat";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§un chat Loc "
"37";"il";"-";"+";"n'y";"avoir pas";"<E>";"un";"chef";"-";"-";"-";"-";"pour";"<E>";"racheter l'autre";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§un chef pour racheter l'autre "
"38";"il";"-";"+";"n'y";"avoir pas";"<E>";"beaucoup de";"chefs";"-";"-";"-";"-";"<E>";"<E>";"<E>";"comme";"+";"+";"-";"-";"-";"il§n'y avoir pas§beaucoup de chefs comme "
"39";"il";"-";"+";"n'y";"avoir pas";"<E>";"deux";"chefs";"-";"-";"-";"-";"<E>";"<E>";"<E>";"comme";"+";"+";"-";"-";"-";"il§n'y avoir pas§deux chefs comme "
"40";"il";"-";"-";"y";"avoir";"beaucoup";"de";"chemin";"-";"-";"-";"-";"à";"<E>";"faire";"pour";"-";"-";"-";"+";"+";"il§y avoir§beaucoup de chemin à fait pour "
"41";"il";"-";"-";"y";"avoir";"<E>";"un";"cheveu";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un cheveu "
"42";"il";"-";"+";"n'y";"avoir";"à";"<E>";"chier";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§à chier "
"43";"il";"-";"+";"n'y";"avoir";"à";"<E>";"chiquer";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§à chiquer "
"44";"il";"-";"+";"n'y";"avoir";"à";"<E>";"chiquer";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"+";"+";"-";"il§n'y avoir§à chiquer pour "
"45";"il";"-";"-";"y";"avoir";"<E>";"un";"choc";"-";"-";"-";"-";"en";"<E>";"retour";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un choc en retour "
"46";"il";"-";"+";"n'y";"avoir";"<E>";"grand";"chose";"-";"-";"-";"-";"à";"<E>";"dire";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§grand chose à dire Loc "
"47";"il";"-";"+";"n'y";"avoir";"<E>";"grand";"chose";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§grand chose à fait Loc "
"48";"il";"-";"+";"n'y";"avoir pas";"<E>";"Dind";"chose";"-";"-";"-";"-";"qui";"<E>";"ressembler";"à";"-";"+";"-";"-";"-";"il§n'y avoir pas§Dind chose qui ressembler à "
"49";"il";"-";"-";"y";"avoir";"à";"la";"clé";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"+";"-";"-";"-";"il§y avoir§à la clé "
"50";"il";"-";"-";"y";"avoir";"à";"la";"clef";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"+";"-";"-";"-";"il§y avoir§à la clef "
"51";"il";"-";"-";"y";"avoir";"<E>";"un";"commencement";"-";"-";"-";"-";"à";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un commencement à tout "
"52";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"comparaison";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"+";"-";"-";"-";"il§n'y avoir pas§de comparaison entre "
"53";"il";"-";"+";"n'y";"avoir";"<E>";"de";"contestation";"-";"-";"-";"-";"<E>";"<E>";"possible";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§de contestation possible Loc "
"54";"il";"-";"-";"y";"avoir";"<E>";"du";"contre";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§du contre Loc "
"55";"il";"-";"-";"<E>";"avoir";"<E>";"des";"contreparties";"-";"-";"-";"-";"<E>";"<E>";"agréables";"à";"-";"+";"-";"+";"+";"il§avoir§des contreparties agréables à "
"56";"il";"-";"-";"y";"avoir";"<E>";"des";"coups de pied au cul";"-";"-";"-";"-";"<E>";"qui";"se perdent";"<E>";"-";"-";"-";"-";"-";"il§y avoir§des coups de pied au cul qui se perdent "
"57";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"craindre";"-";"-";"-";"-";"de";"le";"cîté";"de";"+";"+";"-";"-";"-";"il§n'y avoir§rien à craindre du cîté de "
"58";"il";"-";"-";"y";"avoir";"<E>";"un";"créneau";"-";"-";"-";"-";"à";"<E>";"prendre";"Loc";"+";"+";"-";"-";"-";"il§y avoir§un créneau à prendre Loc "
"59";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"danger";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de danger "
"60";"il";"-";"+";"n'y";"avoir pas";"<E>";"grand";"danger";"-";"-";"-";"-";"<E>";"<E>";"<E>";"à";"-";"-";"-";"+";"+";"il§n'y avoir pas§grand danger à "
"61";"il";"-";"-";"y";"avoir";"<E>";"un";"début";"-";"-";"-";"-";"à";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un début à tout "
"62";"il";"-";"-";"y";"avoir";"comme";"un";"défaut";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§comme un défaut Loc "
"63";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"dégâts";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§de dégâts Loc "
"64";"il";"-";"-";"y";"avoir";"<E>";"un";"dieu";"-";"-";"-";"-";"pour";"les";"ivrognes";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un dieu pour les ivrognes "
"65";"il";"-";"-";"y";"avoir";"<E>";"un bon";"dieu";"-";"-";"-";"-";"pour";"les";"ivrognes";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un bon dieu pour les ivrognes "
"66";"il";"-";"-";"y";"avoir";"<E>";"un";"dieu";"-";"-";"-";"-";"pour";"les";"Nhum";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un dieu pour les Nhum "
"67";"il";"-";"-";"y";"avoir";"<E>";"un bon";"dieu";"-";"-";"-";"-";"pour";"les";"Nhum";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un bon dieu pour les Nhum "
"68";"il";"-";"-";"<E>";"avoir";"<E>";"une grosse";"différence";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"+";"-";"-";"+";"il§avoir§une grosse différence entre "
"69";"il";"-";"-";"y";"avoir";"<E>";"de la";"difficulté";"-";"-";"+";"+";"à";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§y avoir§de la difficulté à pour "
"70";"il";"-";"-";"<E>";"avoir";"<E>";"des";"difficultés";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§avoir§des difficultés entre "
"71";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"dire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à dire "
"72";"il";"-";"-";"y";"avoir";"<E>";"beaucoup à";"dire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§y avoir§beaucoup à dire sur "
"73";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"dire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§rien à dire "
"74";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"dire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§rien à dire Loc "
"75";"il";"-";"-";"y";"avoir";"<E>";"beaucoup à";"dire";"-";"-";"-";"-";"<E>";"<E>";"là-dessus";"<E>";"-";"-";"-";"-";"-";"il§y avoir§beaucoup à dire là-dessus "
"76";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"dire ";"-";"-";"-";"-";"<E>";"<E>";"P";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à dire P "
"77";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"dire ";"-";"-";"-";"-";"<E>";"<E>";"P";"<E>";"+";"+";"-";"-";"-";"il§n'y avoir§rien à dire P "
"78";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"discuter";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à discuter "
"79";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"dommage";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"+";"-";"+";"+";"il§n'y avoir pas§de dommage pour "
"80";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"dommages";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"+";"-";"+";"+";"il§n'y avoir pas§de dommages pour "
"81";"il";"-";"+";"n'y";"avoir";"<E>";"aucun";"doute";"-";"+";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§n'y avoir§aucun doute pour "
"82";"il";"-";"+";"n'y";"avoir";"<E>";"aucun";"doute";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§n'y avoir§aucun doute sur "
"83";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"doute";"-";"+";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§n'y avoir pas§de doute pour "
"84";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"doute";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§n'y avoir pas§de doute sur "
"85";"il";"-";"+";"n'y";"avoir pas";"<E>";"grand";"doute";"-";"+";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§n'y avoir pas§grand doute pour "
"86";"il";"-";"+";"n'y";"avoir pas";"<E>";"grand";"doute";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§n'y avoir pas§grand doute sur "
"87";"il";"-";"+";"n'y";"avoir pas";"<E>";"le moindre";"doute";"-";"+";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§n'y avoir pas§le moindre doute pour "
"88";"il";"-";"+";"n'y";"avoir pas";"<E>";"le moindre";"doute";"-";"-";"-";"-";"<E>";"<E>";"<E>";"sur";"+";"+";"-";"-";"-";"il§n'y avoir pas§le moindre doute sur "
"89";"il";"-";"+";"n'y";"avoir";"<E>";"aucun";"doute";"-";"-";"-";"-";"<E>";"<E>";"là-dessus";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§aucun doute là-dessus "
"90";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"doute";"-";"-";"-";"-";"<E>";"<E>";"là-dessus";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de doute là-dessus "
"91";"il";"-";"+";"n'y";"avoir pas";"<E>";"grand";"doute";"-";"-";"-";"-";"<E>";"<E>";"là-dessus";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§grand doute là-dessus "
"92";"il";"-";"+";"n'y";"avoir pas";"<E>";"le moindre";"doute";"-";"-";"-";"-";"<E>";"<E>";"là-dessus";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§le moindre doute là-dessus "
"93";"il";"-";"+";"n'y";"avoir";"<E>";"de";"doute";"-";"-";"-";"-";"<E>";"<E>";"possible";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§de doute possible Loc "
"94";"il";"-";"-";"y";"avoir";"<E>";"de la";"eau";"-";"-";"-";"-";"dans";"le";"gaz";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de l'eau dans le gaz "
"95";"il";"-";"+";"n'y";"avoir pas";"<E>";"de petites";"économies";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de petites économies "
"96";"il";"-";"-";"y";"avoir";"<E>";"de la";"électricité";"-";"-";"-";"-";"dans";"le";"air";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de l'électricité dans l'air "
"97";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"en faire";"-";"-";"-";"-";"<E>";"un";"drame";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi en fait un drame "
"98";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"en faire";"-";"-";"-";"-";"<E>";"une";"maladie";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi en fait une maladie "
"99";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"en faire";"-";"-";"-";"-";"<E>";"un";"plat";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi en fait un plat "
"100";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"en faire";"-";"-";"-";"-";"<E>";"une";"tinette";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi en fait une tinette "
"101";"il";"-";"-";"y";"avoir";"<E>";"quoi";"encore ?";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quoi encore ? "
"102";"il";"-";"+";"n'y";"avoir plus";"<E>";"de";"enfants";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir plus§d'enfants "
"103";"il";"-";"+";"n'y";"avoir";"<E>";"de";"erreur";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§d'erreur Loc "
"104";"il";"-";"-";"y";"avoir";"<E>";"<E>";"erreur";"-";"-";"-";"-";"sur";"la";"personne";"<E>";"-";"-";"-";"-";"-";"il§y avoir§erreur sur la personne "
"105";"il";"-";"-";"y";"avoir";"<E>";"<E>";"erreur";"-";"-";"-";"-";"sur";"la";"personne de Nhum";"<E>";"-";"-";"-";"-";"-";"il§y avoir§erreur sur la personne de Nhum "
"106";"il";"-";"+";"n'y";"avoir";"<E>";"de";"erreur";"-";"-";"-";"-";"<E>";"<E>";"possible";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§d'erreur possible Loc "
"107";"il";"-";"+";"n'y";"avoir";"<E>";"rien à";"espérer";"-";"-";"-";"-";"de";"le";"cîté";"de";"+";"+";"-";"-";"-";"il§n'y avoir§rien à espérer du cîté de "
"108";"il";"-";"-";"y";"avoir";"<E>";"peu de";"espoir";"-";"-";"+";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§y avoir§peu d'espoir pour "
"109";"il";"-";"-";"y";"avoir";"<E>";"peu de";"espoir";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"-";"-";"+";"-";"il§y avoir§peu d'espoir pour "
"110";"il";"-";"-";"y";"avoir";"<E>";"Det";"exception";"-";"-";"-";"-";"à";"Det";"règle";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un exception à un règle "
"111";"il";"-";"-";"y";"avoir";"<E>";"une";"explication";"-";"-";"-";"-";"à";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"il§y avoir§une explication à tout "
"112";"il";"-";"-";"y";"avoir";"<E>";"la";"façon !";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§la façon! "
"113";"il";"-";"+";"n'y";"avoir pas";"<E>";"trente six";"façons";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§trente six façons "
"114";"il";"-";"-";"y";"avoir";"à";"<E>";"faire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§à fait Loc "
"115";"il";"-";"-";"y";"avoir";"à";"<E>";"faire";"-";"-";"-";"-";"<E>";"<E>";"beaucoup";"Loc";"+";"+";"-";"-";"-";"il§y avoir§à fait beaucoup Loc "
"116";"il";"-";"-";"y";"avoir";"à";"<E>";"faire";"-";"-";"-";"-";"<E>";"encore";"beaucoup";"Loc";"+";"+";"-";"-";"-";"il§y avoir§à fait encore beaucoup Loc "
"117";"il";"-";"-";"y";"avoir";"de";"quoi";"faire !";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de quoi fait! "
"118";"il";"-";"-";"y";"avoir";"<E>";"une";"femme";"-";"-";"-";"-";"dans";"la";"vie";"de";"+";"-";"-";"-";"-";"il§y avoir§une femme dans la vie de "
"119";"il";"-";"+";"n'y";"avoir pas";"<E>";"le";"feu";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§le feu Loc "
"120";"il";"-";"-";"y";"avoir";"<E>";"le";"feu";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§le feu Loc "
"121";"il";"-";"-";"y";"avoir";"<E>";"une";"fin";"-";"-";"-";"-";"à";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"il§y avoir§une fin à tout "
"122";"il";"-";"+";"n'y";"avoir ni";"<E>";"<E>";"fleurs";"-";"-";"-";"-";"ni";"<E>";"couronnes";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir ni§fleurs ni couronnes "
"123";"il";"-";"-";"y";"avoir";"<E>";"des";"fois";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§des fois "
"124";"il";"-";"-";"y";"avait";"<E>";"une";"fois";"-";"-";"-";"-";"<E>";"un";"N qui V-ait W";"<E>";"-";"-";"-";"-";"-";"il§y avait§une fois un N qui V-ait W "
"125";"il";"-";"-";"y";"avait";"<E>";"une";"fois";"-";"-";"-";"-";"<E>";"un";"prince qui était laid";"<E>";"-";"-";"-";"-";"-";"il§y avait§une fois un prince qui était laid "
"126";"il";"-";"-";"y";"avoir";"<E>";"des";"fois où";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§des fois où "
"127";"il";"-";"-";"y";"avoir";"<E>";"plus";"fort";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§y avoir§plus fort "
"128";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"fouetter";"-";"-";"-";"-";"<E>";"un";"chat";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi fouetter un chat "
"129";"il";"-";"-";"y";"avoir";"<E>";"<E>";"foule";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§foule Loc "
"130";"il";"-";"-";"<E>";"avoir";"<E>";"des";"frictions";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§avoir§des frictions entre "
"131";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"fumée";"-";"-";"-";"-";"sans";"<E>";"feu";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de fumée sans feu "
"132";"il";"-";"-";"y";"avoir";"<E>";"des";"gifles";"-";"-";"-";"-";"<E>";"qui";"se perdent";"<E>";"-";"-";"-";"-";"-";"il§y avoir§des gifles qui se perdent "
"133";"il";"-";"-";"y";"avoir";"<E>";"du";"grabuge";"-";"-";"-";"-";"dans";"le";"air";"<E>";"-";"-";"-";"-";"-";"il§y avoir§du grabuge dans l'air "
"134";"il";"-";"-";"y";"avoir";"<E>";"de la";"grogne";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"-";"-";"-";"-";"il§y avoir§de la grogne Loc "
"135";"il";"-";"-";"y";"avoir";"<E>";"<E>";"gros";"-";"-";"-";"-";"à";"<E>";"parier";"<E>";"-";"-";"+";"-";"-";"il§y avoir§gros à parier "
"136";"il";"-";"-";"<E>";"avoir";"<E>";"de la";"haine";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§avoir§de l'haine entre "
