"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"1";"+";"+";"-";"<E>";" accorder";"-";"une large";" confiance";"-";" à";"+";"+";"+";"-";"-";"+";"§accorder§une large confiance à "
"2";"+";"-";"-";"<E>";" accorder";"-";"un";" coup d'oeil";"-";" à";"+";"+";"+";"+";"-";"+";"§accorder§un coup d'oeil à "
"3";"+";"-";"-";"<E>";" accorder";"-";"un";" entretien";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un entretien à "
"4";"+";"-";"-";"<E>";" accorder";"-";"une";" entrevue";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une entrevue à "
"5";"+";"-";"-";"<E>";" accorder";"-";"une";" faveur";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une faveur à "
"6";"+";"-";"-";"<E>";" accorder";"-";"une";" interview";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une interview à "
"7";"+";"-";"-";"<E>";" accorder";"-";"un";" Ndanse";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un Ndanse à "
"8";"+";"+";"-";"<E>";" accorder";"-";"une petite";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une petite place à "
"9";"+";"+";"-";"<E>";" accorder";"-";"une large";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une large place à "
"10";"+";"+";"-";"<E>";" accorder";"-";"une";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une place à "
"11";"+";"-";"-";"<E>";" accorder";"-";"un";" regard";"-";" à";"+";"+";"+";"+";"-";"+";"§accorder§un regard à "
"12";"+";"-";"-";"<E>";" accorder";"-";"un";" rendez-vous";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un rendez-vous à "
"13";"+";"-";"-";"<E>";" accorder";"-";"un";" sursis";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un sursis à "
"14";"+";"-";"-";"<E>";" accorder";"-";"une";" valse";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une valse à "
"15";"+";"+";"-";"<E>";" adjoindre";"-";"un";" collaborateur";"-";" à";"+";"-";"+";"-";"-";"+";"§adjoindre§un collaborateur à "
"16";"+";"-";"-";"<E>";" administrer";"-";"une";" preuve";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§une preuve à "
"17";"+";"-";"-";"<E>";" administrer";"-";"un";" remède";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§un remède à "
"18";"+";"-";"-";"<E>";" administrer";"-";"des";" soins";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§des soins à "
"19";"+";"-";"-";"<E>";" adresser";"-";"un";" coup de semonce";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un coup de semonce à "
"20";"+";"-";"-";"<E>";" adresser";"-";"une";" prière";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§une prière à "
"21";"+";"-";"-";"<E>";" adresser";"-";"un";" regard";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un regard à "
"22";"+";"-";"-";"<E>";" adresser";"-";"un";" sourire";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un sourire à "
"23";"+";"-";"-";"<E>";" agiter";"-";"une";" menace";"-";" devant";"+";"-";"-";"-";"-";"-";"§agiter§une menace devant "
"24";"+";"-";"-";"<E>";" allonger";"-";"une";" botte";"+";" à";"+";"-";"+";"-";"-";"+";"§allonger§une botte à "
"25";"+";"-";"-";"<E>";" aplanir";"-";"des";" différends";"-";" entre";"+";"-";"-";"-";"-";"+";"§aplanir§des différends entre "
"26";"+";"-";"-";"<E>";" aplanir";"-";"des";" difficultés";"-";" entre";"+";"-";"-";"-";"-";"+";"§aplanir§des difficultés entre "
"27";"+";"-";"-";"<E>";" aplanir";"-";"des";" heurts";"-";" entre";"+";"-";"-";"-";"-";"+";"§aplanir§des heurts entre "
"28";"+";"-";"-";"<E>";" aplanir";"-";"des";" obstacles";"-";" entre";"+";"-";"-";"-";"-";"+";"§aplanir§des obstacles entre "
"29";"+";"+";"-";"<E>";" apporter";"-";"un";" démenti";"-";" à";"+";"+";"+";"+";"-";"+";"§apporter§un démenti à "
"30";"+";"-";"-";"<E>";" apporter";"-";"de la";" lumière";"-";" sur";"-";"+";"-";"-";"+";"+";"§apporter§de la lumière sur "
"31";"+";"+";"-";"<E>";" apporter";"-";"un";" sang neuf";"-";" à";"-";"+";"-";"+";"-";"+";"§apporter§un sang neuf à "
"32";"+";"+";"-";"<E>";" apporter";"-";"un";" sang nouveau";"-";" à";"-";"+";"-";"+";"-";"+";"§apporter§un sang nouveau à "
"33";"+";"-";"-";"<E>";" appuyer";"-";"un";" regard";"+";" sur";"+";"+";"-";"-";"-";"-";"§appuyer§un regard sur "
"34";"+";"+";"-";"<E>";" arracher";"-";"un";" aveu";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§un aveu à "
"35";"+";"+";"-";"<E>";" arracher";"-";"un";" cri";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§un cri à "
"36";"+";"+";"-";"<E>";" arracher";"-";"un";" gémissement";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§un gémissement à "
"37";"+";"+";"-";"<E>";" arracher";"-";"des";" larmes";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§des larmes à "
"38";"+";"+";"-";"<E>";" arracher";"-";"une";" plainte";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§une plainte à "
"39";"+";"+";"-";"<E>";" arracher";"-";"des";" pleurs";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§des pleurs à "
"40";"+";"+";"-";"<E>";" arracher";"-";"un";" secret";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§un secret à "
"41";"+";"+";"-";"<E>";" arracher";"-";"un";" sourire";"-";" à";"+";"-";"+";"-";"-";"+";"§arracher§un sourire à "
"42";"+";"-";"-";"<E>";" asséner";"-";"un";" coup";"-";" à";"+";"-";"+";"-";"-";"+";"§asséner§un coup à "
"43";"+";"+";"-";"<E>";" assurer";"-";"une";" continuité";"+";" entre";"+";"+";"-";"-";"-";"+";"§assurer§une continuité entre "
"44";"+";"+";"-";"<E>";" assurer";"-";"une";" descendance";"-";" à";"+";"-";"+";"-";"-";"+";"§assurer§une descendance à "
"45";"+";"+";"-";"<E>";" assurer";"-";"un certain";" succès";"-";" à";"+";"-";"+";"-";"-";"+";"§assurer§un certain succès à "
"46";"+";"-";"-";"<E>";" attacher";"-";"une";" casserole";"-";" à";"+";"-";"+";"-";"-";"+";"§attacher§une casserole à "
"47";"+";"-";"-";"<E>";" attendre";"-";"des";" comptes";"+";" de";"+";"-";"+";"-";"-";"+";"§attendre§des comptes de "
"48";"-";"+";"-";"<E>";" attirer";"-";"des";" ennuis";"-";" à";"+";"-";"+";"-";"-";"-";"§attirer§des ennuis à "
"49";"+";"+";"-";"<E>";" attirer";"-";"un";" regard";"+";" sur";"+";"+";"-";"-";"+";"+";"§attirer§un regard sur "
"50";"+";"-";"-";"<E>";" balancer";"-";"une";" vanne";"-";" à";"+";"-";"+";"-";"-";"+";"§balancer§une vanne à "
"51";"+";"-";"-";"<E>";" brandir";"-";"une";" menace";"-";" devant";"+";"-";"-";"-";"-";"-";"§brandir§une menace devant "
"52";"+";"-";"-";"<E>";" brûler";"-";"un";" cierge";"-";" à";"+";"-";"-";"-";"+";"-";"§brûler§un cierge à "
"53";"+";"+";"-";"<E>";" causer";"-";"du";" tort";"-";" à";"+";"-";"+";"-";"-";"+";"§causer§du tort à "
"54";"+";"-";"-";"<E>";" céder";"-";"du";" terrain";"-";" à";"+";"-";"+";"-";"-";"+";"§céder§du terrain à "
"55";"+";"-";"-";"<E>";" chanter";"-";"des";" histoires";"-";" à";"+";"-";"+";"-";"-";"-";"§chanter§des histoires à "
"56";"+";"-";"-";"<E>";" chercher";"-";"des";" crosses";"-";" à";"+";"-";"+";"-";"-";"-";"§chercher§des crosses à "
"57";"+";"-";"-";"<E>";" chercher";"-";"une";" excuse";"-";" à";"+";"-";"+";"-";"-";"-";"§chercher§une excuse à "
"58";"+";"-";"-";"<E>";" chercher";"-";"des";" histoires";"-";" à";"+";"-";"+";"-";"-";"+";"§chercher§des histoires à "
"59";"+";"-";"-";"<E>";" chercher";"-";"une mauvaise";" querelle";"+";" à";"+";"-";"+";"-";"-";"+";"§chercher§une mauvaise querelle à "
"60";"+";"-";"-";"<E>";" chercher";"-";"une";" querelle d'allemand";"+";" à";"+";"-";"+";"-";"-";"+";"§chercher§une querelle d'allemand à "
"61";"+";"-";"-";"<E>";" chercher";"-";"un";" terrain d'entente";"-";" avec";"+";"-";"-";"-";"-";"+";"§chercher§un terrain d'entente avec "
"62";"+";"-";"-";"<E>";" chier";"-";"une";" pendule";"-";" à";"+";"-";"+";"-";"-";"-";"§chier§une pendule à "
"63";"+";"-";"-";"<E>";" conclure";"-";"une";" affaire";"+";" avec";"+";"-";"-";"-";"-";"+";"§conclure§une affait avec "
"64";"+";"-";"-";"<E>";" conclure";"-";"une";" alliance";"+";" avec";"+";"-";"-";"-";"-";"+";"§conclure§une alliance avec "
"65";"+";"-";"-";"<E>";" conclure";"-";"un";" contrat";"+";" avec";"+";"-";"-";"-";"-";"+";"§conclure§un contrat avec "
"66";"+";"-";"-";"<E>";" conclure";"-";"un";" marché";"+";" avec";"+";"-";"-";"-";"-";"+";"§conclure§un marché avec "
"67";"+";"-";"-";"<E>";" conclure";"-";"un";" traité";"+";" avec";"+";"-";"-";"-";"-";"+";"§conclure§un traité avec "
"68";"+";"-";"-";"<E>";" conduire";"-";"une";" action";"-";" contre";"+";"+";"-";"-";"-";"+";"§conduire§une action contre "
"69";"+";"-";"-";"<E>";" conduire";"-";"une";" discussion";"-";" avec";"+";"-";"-";"-";"-";"+";"§conduire§une discussion avec "
"70";"+";"-";"-";"<E>";" conduire";"-";"une";" enquête";"-";" sur";"+";"+";"-";"-";"-";"+";"§conduire§une enquête sur "
"71";"+";"-";"-";"<E>";" conduire";"-";"une";" étude";"-";" sur";"+";"+";"-";"-";"-";"+";"§conduire§une étude sur "
"72";"+";"-";"-";"<E>";" conduire";"-";"une";" recherche";"-";" sur";"+";"+";"-";"-";"-";"+";"§conduire§une recherche sur "
"73";"+";"-";"-";"<E>";" conduire";"-";"une";" recherche";"-";" sur";"+";"+";"-";"-";"-";"+";"§conduire§une recherche sur "
"74";"+";"-";"-";"<E>";" conduire";"-";"des";" travaux";"-";" sur";"-";"+";"-";"-";"-";"+";"§conduire§des travaux sur "
"75";"+";"-";"-";"<E>";" confesser";"-";"un";" péché";"-";" à";"+";"-";"+";"-";"-";"+";"§confesser§un péché à "
"76";"+";"-";"-";"<E>";" confier";"-";"un";" secret";"-";" à";"+";"-";"+";"-";"-";"+";"§confier§un secret à "
"77";"+";"-";"-";"<E>";" consentir";"-";"une";" avance";"-";" à";"+";"-";"+";"-";"-";"+";"§consentir§une avance à "
"78";"+";"+";"-";"<E>";" conserver";"-";"un juste";" milieu";"+";" entre";"+";"+";"-";"-";"-";"+";"§conserver§un juste milieu entre "
"79";"+";"-";"-";"<E>";" conserver";"-";"une";" position";"-";" Loc";"-";"+";"-";"+";"-";"+";"§conserver§une position Loc "
"80";"+";"+";"-";"<E>";" constituer";"-";"un";" portefeuille";"-";" à";"+";"-";"+";"-";"-";"+";"§constituer§un portefeuille à "
"81";"+";"+";"-";"<E>";" constituer";"-";"une";" rente";"-";" à";"+";"-";"+";"-";"-";"+";"§constituer§une rente à "
"82";"+";"-";"-";"<E>";" conter";"-";"des";" lanternes";"-";" à";"+";"-";"+";"-";"-";"+";"§conter§des lanternes à "
"83";"+";"-";"-";"<E>";" contracter";"-";"une";" alliance";"-";" avec";"+";"-";"-";"-";"-";"+";"§contracter§une alliance avec "
"84";"+";"-";"-";"<E>";" contracter";"-";"une";" assurance";"-";" Loc";"+";"-";"-";"-";"-";"+";"§contracter§une assurance Loc "
"85";"+";"-";"-";"<E>";" contracter";"-";"une";" dette";"-";" auprès de";"+";"-";"-";"-";"-";"+";"§contracter§une dette auprès de "
"86";"+";"-";"-";"<E>";" contracter";"-";"un";" emprunt";"-";" auprès de";"+";"-";"-";"-";"-";"+";"§contracter§un emprunt auprès de "
"87";"+";"-";"-";"<E>";" couler";"+";"un";" regard";"-";" à";"+";"-";"+";"-";"-";"+";"§couler§un regard à "
"88";"-";"+";"-";"<E>";" coûter";"-";"un";" argent dingue";"+";" à";"+";"-";"+";"-";"-";"-";"§coûter§un argent dingue à "
"89";"-";"+";"-";"<E>";" coûter";"-";"un";" argent fou";"+";" à";"+";"-";"+";"-";"-";"-";"§coûter§un argent fou à "
"90";"-";"+";"-";"<E>";" coûter";"+";"un";" bras";"+";" à";"+";"-";"+";"-";"-";"-";"§coûter§un bras à "
"91";"-";"+";"-";"<E>";" coûter";"-";"une";" fortune";"+";" à";"+";"-";"+";"-";"-";"-";"§coûter§une fortune à "
"92";"-";"+";"-";"<E>";" coûter";"-";"une";" livre de chair";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§une livre de chair à "
"93";"-";"+";"-";"<E>";" coûter";"-";"un";" max";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§un max à "
"94";"-";"+";"-";"<E>";" coûter";"-";"un";" maximum";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§un maximum à "
"95";"-";"+";"-";"<E>";" coûter";"-";"une";" montagne d'or";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§une montagne d'or à "
"96";"-";"+";"-";"<E>";" coûter";"+";"un";" Npc-2";"+";" à";"+";"-";"+";"-";"-";"-";"§coûter§un Npc-2 à "
"97";"-";"+";"-";"<E>";" coûter";"-";"un";" paquet";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§un paquet à "
"98";"-";"+";"-";"<E>";" coûter";"-";"une";" somme dingue";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§une somme dingue à "
"99";"-";"+";"-";"<E>";" coûter";"-";"une";" somme folle";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§une somme folle à "
"100";"-";"+";"-";"<E>";" coûter";"-";"quatre";" sous";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§quatre sous à "
"101";"-";"+";"-";"<E>";" coûter";"-";"six";" sous";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§six sous à "
"102";"-";"+";"-";"<E>";" coûter";"-";"trois";" sous";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§trois sous à "
"103";"-";"+";"-";"<E>";" coûter";"-";"un";" tas d'or";"-";" à";"+";"-";"+";"-";"-";"-";"§coûter§un tas d'or à "
"104";"+";"+";"-";"<E>";" creuser";"-";"un";" abîme";"-";" entre";"+";"-";"-";"-";"-";"+";"§creuser§un abîme entre "
"105";"+";"+";"-";"<E>";" creuser";"-";"un";" écart";"+";" entre";"+";"-";"-";"-";"-";"+";"§creuser§un écart entre "
"106";"-";"+";"-";"<E>";" creuser";"-";"un";" fossé";"-";" entre";"+";"-";"-";"-";"-";"+";"§creuser§un fossé entre "
"107";"+";"-";"-";"<E>";" décerner";"-";"un";" mandat d'arrêt";"+";" contre";"+";"-";"-";"-";"-";"+";"§décerner§un mandat d'arrêt contre "
"108";"+";"-";"-";"<E>";" décerner";"-";"une";" médaille";"-";" à";"+";"-";"+";"-";"-";"+";"§décerner§une médaille à "
"109";"+";"-";"-";"<E>";" décerner";"-";"un";" prix";"-";" à";"+";"-";"+";"-";"-";"+";"§décerner§un prix à "
"110";"+";"-";"-";"<E>";" décerner";"-";"une";" récompense";"-";" à";"+";"-";"+";"-";"-";"+";"§décerner§une récompense à "
"111";"+";"-";"-";"<E>";" décerner";"-";"un";" titre";"-";" à";"+";"-";"+";"-";"-";"+";"§décerner§un titre à "
"112";"+";"-";"-";"<E>";" décocher";"-";"une";" flèche";"-";" à";"+";"-";"+";"-";"-";"+";"§décocher§une flèche à "
"113";"+";"-";"-";"<E>";" décocher";"-";"une";" oeillade";"-";" à";"+";"-";"+";"-";"-";"+";"§décocher§une oeillade à "
"114";"+";"-";"-";"<E>";" décocher";"-";"un";" regard";"-";" à";"+";"-";"+";"-";"-";"+";"§décocher§un regard à "
"115";"+";"-";"-";"<E>";" décocher";"-";"un";" trait";"-";" à";"+";"-";"+";"-";"-";"+";"§décocher§un trait à "
"116";"+";"-";"-";"<E>";" défiler";"-";"un";" chapelet d'injures";"-";" à";"+";"-";"+";"-";"-";"-";"§défiler§un chapelet d'injures à "
"117";"+";"-";"-";"<E>";" déléguer";"-";"un";" pouvoir";"+";" à";"+";"-";"+";"-";"-";"+";"§déléguer§un pouvoir à "
"118";"+";"-";"-";"<E>";" délivrer";"-";"un";" coup";"-";" à";"+";"-";"+";"-";"-";"+";"§délivrer§un coup à "
"119";"+";"-";"-";"<E>";" délivrer";"-";"un";" mandat d'amener";"+";" contre";"+";"-";"-";"-";"-";"+";"§délivrer§un mandat d'amener contre "
"120";"+";"-";"-";"<E>";" délivrer";"-";"un";" mandat d'arrêt";"+";" contre";"+";"-";"-";"-";"-";"+";"§délivrer§un mandat d'arrêt contre "
"121";"+";"-";"-";"<E>";" délivrer";"-";"un";" mandat de perquisition";"+";" contre";"+";"-";"-";"-";"-";"+";"§délivrer§un mandat de perquisition contre "
"122";"+";"-";"-";"<E>";" délivrer";"-";"un";" message";"-";" à";"+";"-";"+";"-";"-";"+";"§délivrer§un message à "
"123";"+";"-";"-";"<E>";" délivrer";"-";"une";" ordonnance";"-";" à";"+";"-";"+";"-";"-";"+";"§délivrer§une ordonnance à "
"124";"+";"-";"-";"<E>";" demander";"-";"des";" apaisements";"-";" à";"+";"-";"+";"-";"-";"+";"§demander§des apaisements à "
"125";"+";"-";"-";"<E>";" demander";"-";"des";" comptes";"-";" à";"+";"-";"+";"-";"-";"+";"§demander§des comptes à "
"126";"+";"-";"-";"<E>";" demander";"-";"une";" faveur";"+";" à";"+";"-";"+";"-";"-";"+";"§demander§une faveur à "
"127";"+";"+";"-";"<E>";" demander";"-";"un";" prix";"+";" à";"+";"-";"+";"-";"-";"+";"§demander§un prix à "
"128";"+";"-";"-";"<E>";" demander";"-";"une";" réduction";"+";" à";"+";"-";"+";"-";"-";"+";"§demander§une réduction à "
"129";"+";"-";"-";"<E>";" demander";"-";"un";" service";"-";" à";"+";"-";"+";"-";"-";"+";"§demander§un service à "
"130";"+";"-";"-";"<E>";" demander";"-";"une";" trève";"+";" à";"+";"-";"+";"-";"-";"+";"§demander§une trève à "
"131";"+";"+";"-";"<E>";" déplacer";"+";"une";" articulation";"-";" à";"+";"-";"+";"-";"-";"+";"§déplacer§une articulation à "
"132";"+";"+";"-";"<E>";" déplacer";"+";"une";" vertèbre";"-";" à";"+";"-";"+";"-";"-";"+";"§déplacer§une vertèbre à "
"133";"+";"-";"-";"<E>";" déposer";"-";"une";" gerbe";"-";" Loc";"-";"+";"-";"+";"-";"+";"§déposer§une gerbe Loc "
"134";"+";"-";"-";"<E>";" déposer";"-";"une";" plainte";"+";" contre";"+";"-";"-";"-";"-";"+";"§déposer§une plainte contre "
"135";"+";"-";"-";"<E>";" déposer";"-";"une";" plainte";"+";" devant";"+";"-";"-";"-";"-";"+";"§déposer§une plainte devant "
"136";"+";"-";"-";"<E>";" dérouler";"-";"un";" tapis rouge";"-";" devant";"+";"-";"-";"-";"-";"+";"§dérouler§un tapis rouge devant "
"137";"+";"-";"-";"<E>";" dessaisir";"-";"un";" juge";"+";" de";"-";"+";"-";"+";"-";"+";"§dessaisir§un juge de "
"138";"+";"-";"-";"<E>";" dessaisir";"-";"un";" tribunal";"+";" de";"-";"+";"-";"+";"-";"+";"§dessaisir§un tribunal de "
"139";"+";"-";"-";"<E>";" détenir";"-";"une";" participation";"-";" Loc";"+";"+";"-";"-";"-";"+";"§détenir§une participation Loc "
"140";"+";"+";"-";"<E>";" détourner";"-";"un";" soupçon";"-";" Loc";"+";"+";"-";"+";"-";"+";"§détourner§un soupçon Loc "
"141";"+";"-";"-";"<E>";" déverser";"-";"des";" injures";"-";" sur";"+";"-";"-";"-";"+";"+";"§déverser§des injures sur "
"142";"+";"-";"-";"<E>";" déverser";"-";"des";" insultes";"-";" sur";"+";"-";"-";"-";"+";"+";"§déverser§des insultes sur "
"143";"+";"-";"-";"<E>";" déverser";"-";"des";" tombereaux d'injures";"-";" sur";"+";"-";"-";"-";"+";"+";"§déverser§des tombereaux d'injures sur "
"144";"+";"-";"-";"<E>";" déverser";"-";"des";" tombereaux d'insultes";"-";" sur";"+";"-";"-";"-";"+";"+";"§déverser§des tombereaux d'insultes sur "
"145";"+";"-";"-";"<E>";" devoir";"-";"une fière";" chandelle";"-";" à";"+";"-";"+";"-";"-";"+";"§devoir§une fière chandelle à "
"146";"+";"-";"-";"<E>";" devoir";"-";"un";" chien de Poss0 chienne";"-";" à";"+";"-";"+";"-";"-";"-";"§devoir§un chien de sa chienne à "
"147";"+";"-";"-";"<E>";" devoir";"-";"un";" cierge";"-";" à";"+";"-";"+";"-";"-";"+";"§devoir§un cierge à "
"148";"+";"-";"-";"<E>";" devoir";"-";"des";" comptes";"+";" à";"+";"-";"+";"-";"-";"+";"§devoir§des comptes à "
"149";"+";"-";"-";"<E>";" devoir";"-";"des";" explications";"+";" à";"+";"-";"+";"-";"-";"+";"§devoir§des explications à "
"150";"+";"+";"-";"<E>";" dicter";"-";"une";" attitude";"-";" à";"+";"-";"+";"-";"-";"+";"§dicter§une attitude à "
"151";"+";"+";"-";"<E>";" dicter";"-";"un";" comportement";"-";" à";"+";"-";"+";"-";"-";"+";"§dicter§un comportement à "
"152";"+";"-";"-";"<E>";" dire";"-";"une";" devinette";"-";" à";"+";"-";"+";"-";"-";"+";"§dire§une devinette à "
"153";"+";"-";"-";"<E>";" dire";"-";"deux";" mots";"-";" à";"+";"-";"+";"-";"-";"-";"§dire§deux mots à "
"154";"+";"-";"-";"<E>";" dire";"-";"deux";" mots de l'incident";"-";" à";"+";"-";"+";"-";"-";"-";"§dire§deux mots de l'incident à "
"155";"+";"-";"-";"<E>";" dire";"-";"des";" nouvelles de N";"-";" à";"+";"-";"+";"-";"-";"-";"§dire§des nouvelles de N à "
"156";"+";"-";"-";"<E>";" dire";"-";"des";" nouvelles de Poss0 vin";"-";" à";"+";"-";"+";"-";"-";"-";"§dire§des nouvelles de son vin à "
"157";"+";"-";"-";"<E>";" dire";"-";"une";" prière";"-";" pour";"+";"+";"-";"-";"-";"+";"§dire§une prière pour "
"158";"+";"-";"-";"<E>";" dire";"-";"un";" secret";"-";" à";"+";"-";"+";"-";"-";"+";"§dire§un secret à "
"159";"+";"-";"-";"<E>";" dispenser";"-";"un";" cours";"+";" à";"+";"-";"+";"-";"-";"+";"§dispenser§un cours à "
"160";"+";"-";"-";"<E>";" dispenser";"-";"un";" enseignement";"+";" à";"+";"-";"+";"-";"-";"+";"§dispenser§un enseignement à "
"161";"+";"-";"-";"<E>";" dispenser";"-";"de la";" nourriture";"+";" à";"+";"-";"+";"-";"-";"+";"§dispenser§de la nourriture à "
"162";"+";"-";"-";"<E>";" dispenser";"-";"du";" pain";"+";" à";"+";"-";"+";"-";"-";"+";"§dispenser§du pain à "
"163";"+";"-";"-";"<E>";" donner";"-";"un";" âge";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§un âge à "
"164";"-";"+";"-";"<E>";" donner";"-";"des";" ailes";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§des ailes à "
"165";"+";"-";"-";"<E>";" donner";"-";"Dnum";" an";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§Dnum an à "
"166";"+";"-";"-";"<E>";" donner";"-";"des";" apaisements";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§des apaisements à "
"167";"+";"-";"-";"<E>";" donner";"-";"une";" aubade";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une aubade à "
"168";"+";"-";"-";"<E>";" donner";"-";"un";" baiser";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un baiser à "
"169";"-";"+";"-";"<E>";" donner";"-";"des";" boutons";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§des boutons à "
"170";"+";"-";"-";"<E>";" donner";"-";"un";" conseil";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un conseil à "
"171";"-";"+";"-";"<E>";" donner";"-";"une";" contenance";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§une contenance à "
"172";"+";"-";"-";"<E>";" donner";"-";"un";" coup";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup à "
"173";"-";"+";"-";"<E>";" donner";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"-";"§donner§un coup à "
"174";"+";"+";"-";"<E>";" donner";"-";"un";" coup d'accélérateur";"-";" à";"-";"+";"-";"-";"-";"-";"§donner§un coup d'accélérateur à "
"175";"+";"+";"-";"<E>";" donner";"-";"un";" coup d'arrêt";"-";" à";"-";"+";"-";"+";"-";"+";"§donner§un coup d'arrêt à "
"176";"+";"+";"-";"<E>";" donner";"-";"un";" coup de balai";"+";" Loc";"-";"+";"-";"+";"-";"+";"§donner§un coup de balai Loc "
"177";"+";"-";"-";"<E>";" donner";"-";"un";" coup de barre";"+";" à";"-";"+";"-";"+";"-";"+";"§donner§un coup de barre à "
"178";"+";"-";"-";"<E>";" donner";"-";"un";" coup de chapeau";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup de chapeau à "
"179";"+";"-";"-";"<E>";" donner";"-";"un";" coup de dent";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§un coup de dent à "
"180";"-";"+";"-";"<E>";" donner";"-";"un";" coup de fouet";"+";" à";"+";"-";"+";"-";"-";"-";"§donner§un coup de fouet à "
"181";"+";"+";"-";"<E>";" donner";"-";"un";" coup de frein";"-";" à";"-";"+";"-";"+";"-";"+";"§donner§un coup de frein à "
"182";"+";"+";"-";"<E>";" donner";"+";"un";" coup de main";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup de main à "
"183";"+";"-";"-";"<E>";" donner";"-";"un";" coup de peigne";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup de peigne à "
"184";"+";"+";"-";"<E>";" donner";"+";"un";" coup de pouce";"-";" à";"-";"+";"-";"+";"-";"+";"§donner§un coup de pouce à "
"185";"+";"-";"-";"<E>";" donner";"-";"un";" coup de queue";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup de queue à "
"186";"+";"+";"-";"<E>";" donner";"-";"un";" coup de torchon";"+";" Loc";"-";"+";"-";"+";"-";"+";"§donner§un coup de torchon Loc "
"187";"-";"+";"-";"<E>";" donner";"-";"un";" coup de vieux";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§un coup de vieux à "
"188";"+";"-";"-";"<E>";" donner";"-";"un";" coup d'encensoir";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup d'encensoir à "
"189";"+";"+";"-";"<E>";" donner";"-";"un";" coup d'épaule";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un coup d'épaule à "
"190";"+";"-";"-";"<E>";" donner";"-";"des";" coups de griffes";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§des coups de griffes à "
"191";"+";"-";"-";"<E>";" donner";"-";"un";" enfant";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un enfant à "
"192";"+";"+";"-";"<E>";" donner";"-";"un";" exeat";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un exeat à "
