"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"GN =: le N";"il y avoir Det1 C1 W"
"180";"faire";"le";"rigolo";"+";"-";"-";"-";"-"
"181";"faire";"<E>";"ripaille";"+";"-";"-";"-";"+"
"182";"faire";"du";"roman";"+";"-";"-";"-";"-"
"183";"faire";"la";"roue";"+";"-";"-";"-";"-"
"184";"faire";"la";"route";"+";"-";"-";"+";"-"
"185";"faire";"la";"saison";"-";"+";"-";"-";"-"
"186";"faire";"<E>";"salon";"+";"-";"-";"-";"-"
"187";"faire";"le";"saut";"+";"-";"-";"-";"-"
"188";"faire";"le";"serre-file";"+";"-";"-";"-";"-"
"189";"faire";"des";"siennes";"+";"+";"-";"-";"-"
"190";"faire";"le";"singe";"+";"-";"-";"-";"-"
"191";"faire";"du";"solide";"+";"-";"-";"-";"+"
"192";"faire";"<E>";"souche";"+";"-";"-";"-";"-"
"193";"faire";"du";"spectaculaire";"+";"-";"-";"+";"+"
"194";"faire";"la";"sucrée";"+";"-";"-";"-";"-"
"195";"faire";"<E>";"surface";"+";"+";"-";"-";"-"
"196";"faire";"le";"tapin";"+";"-";"-";"+";"-"
"197";"faire";"<E>";"tapisserie";"+";"-";"-";"-";"-"
"198";"faire";"la";"tare";"+";"-";"-";"-";"-"
"199";"faire";"le";"taxi";"+";"-";"-";"-";"-"
"200";"faire";"Poss0";"temps";"+";"+";"-";"-";"-"
"201";"faire";"<E>";"tintin";"+";"-";"-";"-";"-"
"202";"faire";"<E>";"toilette";"+";"-";"-";"-";"-"
"203";"faire";"les";"trois-huit";"+";"-";"-";"+";"+"
"204";"faire";"le";"trottoir";"+";"-";"-";"+";"-"
"205";"faire";"le";"trou";"+";"-";"-";"-";"-"
"206";"faire";"Poss0";"trou";"+";"-";"-";"-";"-"
"207";"faire";"la";"unanimité";"+";"+";"-";"+";"+"
"208";"faire";"Poss0";"valise";"+";"-";"-";"-";"-"
"209";"faire";"<E>";"va-tout";"+";"-";"-";"-";"-"
"210";"faire";"<E>";"ventouse";"-";"+";"-";"-";"-"
"211";"faire";"<E>";"ventre";"-";"+";"-";"-";"-"
"212";"faire";"Poss0";"vie";"+";"-";"-";"-";"-"
"213";"faire";"<E>";"vinaigre";"+";"-";"-";"-";"-"
"214";"faire";"de la";"vitesse";"+";"-";"-";"+";"-"
"215";"faire";"le";"zouave";"+";"-";"-";"-";"-"

