"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu P";"N1 =: V0-inf W";"N1 =: V2-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"Exemple"
"345";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"<E>";"<E>";"faire";"-";"-";"-";"-";"-";"<E>";"<E>";"moins";"que";"-";"-";"-";"-";"+";"-";"§ne pouvoir§fait moins que "
"346";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"<E>";"s'estimer";"-";"-";"-";"-";"-";"<E>";"<E>";"content";"de";"-";"-";"+";"+";"+";"-";"§pouvoir§s'estimer content de "
"347";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"<E>";"s'estimer";"-";"-";"-";"-";"-";"<E>";"<E>";"heureux";"de";"-";"-";"+";"+";"+";"-";"§pouvoir§s'estimer heureux de "
"348";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"<E>";"s'estimer";"-";"-";"-";"-";"-";"<E>";"<E>";"satisfait";"de";"-";"-";"+";"+";"+";"-";"§pouvoir§s'estimer satisfait de "
"349";"+";"-";"-";"-";"-";"+";"ne";" pouvoir";"<E>";"<E>";"voir";"-";"-";"-";"-";"-";"en";"<E>";"peinture";"<E>";"+";"+";"-";"+";"+";"-";"§ne pouvoir§voir en peinture "
"350";"-";"+";"+";"-";"-";"-";"<E>";" prendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Dnum";"Ntps";"pour";"-";"-";"-";"+";"-";"+";"§prendre§à Dnum Ntps pour "
"351";"-";"+";"+";"-";"-";"-";"<E>";" prendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Dnum";"Ntps";"avant";"-";"-";"-";"+";"-";"+";"§prendre§à Dnum Ntps avant "
"352";"-";"+";"+";"-";"-";"-";"<E>";" prendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"six";"mois";"avant";"-";"-";"-";"+";"-";"+";"§prendre§à six mois avant "
"353";"-";"+";"+";"-";"-";"-";"<E>";" prendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"six";"mois";"pour";"-";"-";"-";"+";"-";"+";"§prendre§à six mois pour "
"354";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"envers";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"des";"dispositions";"pour";"-";"-";"-";"+";"+";"-";"§prendre§envers des dispositions pour "
"355";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"auprès de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"des";"garanties";"pour";"-";"-";"-";"+";"+";"-";"§prendre§auprès de des garanties pour "
"356";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"à";"<E>";"part";"pour";"-";"-";"+";"-";"+";"-";"§prendre§à part pour "
"357";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"pour";"<E>";"<E>";"-";"-";"+";"+";"-";"<E>";"<E>";"prétexte";"de";"+";"+";"+";"-";"+";"-";"§prendre§pour prétexte de "
"358";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"témoin";"de";"-";"+";"+";"-";"-";"-";"§prendre§à témoin de "
"359";"+";"-";"-";"-";"-";"-";"<E>";" prendre";"<E>";"le";"ciel";"-";"-";"-";"-";"-";"à";"<E>";"témoin";"de";"-";"-";"+";"-";"+";"-";"§prendre§le ciel à témoin de "
"360";"+";"-";"-";"-";"-";"-";"<E>";" prêter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"idée";"de";"-";"-";"-";"+";"-";"+";"§prêter§à l'idée de "
"361";"+";"-";"-";"-";"-";"-";"<E>";" prêter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"intention";"de";"-";"-";"-";"+";"-";"+";"§prêter§à l'intention de "
"362";"+";"-";"-";"-";"-";"-";"<E>";" prêter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"volonté";"de";"-";"-";"-";"+";"-";"+";"§prêter§à la volonté de "
"363";"+";"-";"-";"-";"-";"-";"<E>";" promettre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"merveille";"de";"-";"+";"+";"+";"-";"-";"§promettre§à merveille de "
"364";"+";"-";"-";"-";"-";"-";"<E>";" recevoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"confirmation";"de";"-";"+";"+";"-";"+";"-";"§recevoir§de confirmation de "
"365";"+";"-";"-";"-";"-";"-";"<E>";" recevoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"ordre";"de";"-";"-";"-";"-";"+";"-";"§recevoir§d'ordre de "
"366";"+";"-";"-";"-";"-";"-";"<E>";" recevoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"quittance";"de";"-";"+";"+";"-";"+";"-";"§recevoir§de quittance de "
"367";"+";"-";"-";"-";"-";"-";"<E>";" recevoir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"réparation";"de";"-";"+";"+";"-";"+";"-";"§recevoir§de réparation de "
"368";"+";"-";"-";"-";"-";"-";"<E>";" réclamer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"cor et à cri";"<E>";"-";"-";"-";"+";"+";"-";"§réclamer§à à cor et à cri "
"369";"+";"+";"+";"-";"-";"-";"<E>";" reconnaître";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"droit";"de";"-";"-";"-";"+";"-";"+";"§reconnaître§au droit de "
"370";"+";"+";"+";"-";"-";"-";"<E>";" réduire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"la";"extrémité";"de";"-";"-";"-";"+";"-";"+";"§réduire§à l'extrémité de "
"371";"+";"+";"+";"-";"-";"-";"<E>";" remettre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"le";"esprit";"de";"-";"+";"-";"+";"-";"+";"§remettre§à à l'esprit de "
"372";"+";"+";"+";"-";"-";"-";"<E>";" remettre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"en";"<E>";"mémoire";"<E>";"-";"+";"-";"+";"-";"+";"§remettre§à en mémoire "
"373";"+";"-";"-";"-";"-";"-";"<E>";" remuer";"<E>";"<E>";"ciel";"+";"-";"-";"-";"-";"et";"<E>";"terre";"pour";"+";"+";"-";"+";"+";"-";"§remuer§ciel et terre pour "
"374";"+";"-";"-";"+";"-";"-";"se";" rendre";"à";"<E>";"<E>";"-";"+";"+";"-";"-";"<E>";"<E>";"compte";"de";"-";"+";"+";"-";"+";"-";"§se rendre§à compte de"
"375";"+";"-";"-";"-";"-";"-";"<E>";" rendre";"auprès de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"compte";"de";"-";"+";"+";"-";"+";"-";"§rendre§auprès de compte de "
"376";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"gloire";"de";"-";"+";"-";"+";"-";"+";"§rendre§à gloire de "
"377";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"grâces";"de";"-";"+";"-";"+";"-";"+";"§rendre§à grâces de "
"378";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"hommage";"de";"-";"+";"-";"+";"-";"+";"§rendre§à hommage de "
"379";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"justice";"de";"-";"+";"-";"+";"-";"+";"§rendre§à justice de "
"380";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"cette";"justice";"<E>";"-";"-";"+";"-";"-";"-";"§rendre§à cette justice "
"381";"+";"+";"+";"-";"-";"-";"<E>";" rendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"raison";"de";"-";"+";"+";"-";"-";"+";"§rendre§à raison de "
"382";"+";"-";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"grâce";"+";"-";"-";"-";"-";"à";"le";"ciel";"de";"-";"+";"-";"+";"-";"+";"§rendre§grâce au ciel de "
"383";"+";"-";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"grâce";"+";"-";"-";"-";"-";"à";"<E>";"Dieu";"de";"-";"+";"-";"+";"-";"+";"§rendre§grâce à Dieu de "
"384";"+";"-";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"grâce";"+";"-";"-";"-";"-";"à";"le";"Seigneur";"de";"-";"+";"-";"+";"-";"+";"§rendre§grâce au Seigneur de "
"385";"+";"-";"-";"-";"-";"-";"<E>";" rendre";"<E>";"<E>";"grâce";"+";"-";"-";"-";"-";"à";"le bon";"dieu";"de";"-";"+";"-";"+";"-";"+";"§rendre§grâce au bon dieu de "
"386";"+";"-";"-";"-";"-";"+";"ne";" répéter pas";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"deux";"fois";"<E>";"-";"+";"+";"+";"+";"+";"§ne répéter pas§à deux fois "
"387";"+";"-";"-";"-";"-";"+";"ne";" saurait";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"trop";"conseiller";"<E>";"-";"+";"-";"+";"-";"+";"§ne saurait§à trop conseiller "
"388";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"gré";"de";"-";"+";"+";"-";"-";"+";"§savoir§à gré de "
"389";"+";"-";"-";"-";"-";"-";"<E>";" savoir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"peu de";"gré";"de";"-";"+";"+";"-";"-";"+";"§savoir§à peu de gré de "
"390";"+";"-";"-";"-";"-";"+";"ne";" savoir";"<E>";"<E>";"que";"-";"-";"-";"-";"-";"<E>";"<E>";"inventer";"pour";"-";"-";"-";"+";"+";"-";"§ne savoir§qu'inventer pour "
"391";"+";"-";"-";"-";"-";"+";"ne";" savoir";"<E>";"<E>";"quoi";"-";"-";"-";"-";"-";"<E>";"<E>";"inventer";"pour";"-";"-";"-";"+";"+";"-";"§ne savoir§quoi inventer pour "
"392";"+";"-";"-";"-";"-";"+";"ne";" souffler";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"mot";"de";"+";"+";"+";"-";"+";"-";"§ne souffler§à mot de "
"393";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"compte";"de";"-";"+";"+";"-";"-";"+";"§tenir§à compte de "
"394";"+";"+";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"le";"courant";"de";"-";"-";"+";"-";"-";"-";"§tenir§au courant de "
"395";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"grief";"de";"-";"+";"+";"+";"-";"+";"§tenir§à grief de "
"396";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"dans";"la";"ignorance";"de";"-";"+";"+";"-";"-";"-";"§tenir§dans l'ignorance de "
"397";"+";"+";"+";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"informé";"de";"-";"+";"+";"-";"-";"-";"§tenir§informé de "
"398";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"prêt";"à";"-";"+";"-";"+";"-";"+";"§tenir§prêt à "
"399";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"quitte";"de";"-";"+";"+";"-";"-";"+";"§tenir§quitte de "
"400";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rancune";"de";"-";"+";"+";"+";"-";"+";"§tenir§à rancune de "
"401";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"responsable";"de";"-";"+";"+";"-";"-";"+";"§tenir§responsable de "
"402";"+";"-";"-";"-";"-";"-";"<E>";" tenir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rigueur";"de";"-";"+";"+";"-";"-";"+";"§tenir§à rigueur de "
"403";"+";"-";"-";"-";"-";"-";"<E>";" tirer";"auprès de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"argument";"de";"-";"+";"+";"-";"+";"-";"§tirer§auprès d'argument de "
"404";"+";"-";"-";"-";"-";"-";"<E>";" tirer";"à";"<E>";"pile";"-";"-";"-";"-";"-";"ou";"<E>";"face";"<E>";"-";"+";"+";"-";"+";"-";"§tirer§à pile ou face "
"405";"+";"-";"-";"-";"-";"-";"<E>";" tomber";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"de";"<E>";"accord";"<E>";"-";"-";"-";"+";"+";"-";"§tomber§avec d'accord "
"406";"+";"-";"-";"-";"-";"-";"<E>";" tomber";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"de";"<E>";"accord";"pour";"-";"-";"+";"-";"-";"-";"§tomber§avec d'accord pour "
"407";"+";"-";"-";"-";"-";"-";"<E>";" toucher";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"mot";"de";"+";"+";"+";"-";"-";"-";"§toucher§à un mot de "
"408";"+";"-";"-";"-";"-";"-";"<E>";" tourner";"et";"<E>";"retourner";"-";"-";"-";"-";"-";"dans";"Poss0";"tête";"<E>";"-";"+";"+";"-";"-";"-";"§tourner§et retourner dans sa tête "
"409";"+";"-";"-";"-";"-";"-";"<E>";" traduire";"<E>";"<E>";"mot";"-";"-";"-";"-";"-";"à";"<E>";"mot";"<E>";"-";"+";"+";"-";"+";"-";"§traduire§mot à mot "
"410";"+";"-";"-";"-";"-";"-";"<E>";" trouver";"Loc";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"consolation";"de";"-";"+";"+";"-";"+";"-";"§trouver§Loc consolation de "
"411";"+";"-";"-";"-";"-";"-";"<E>";" trouver";"Loc";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"mention";"de";"+";"+";"+";"-";"-";"-";"§trouver§Loc mention de "
"412";"+";"-";"-";"-";"-";"+";"ne";" trouver rien";"de";"<E>";"mieux";"-";"-";"-";"-";"-";"à";"<E>";"dire";"que de";"-";"-";"-";"-";"+";"-";"§ne trouver rien§de mieux à dire que de "
"413";"+";"-";"-";"-";"-";"+";"ne";" trouver rien";"de";"<E>";"mieux";"-";"-";"-";"-";"-";"à";"<E>";"faire";"que de";"-";"-";"-";"-";"+";"-";"§ne trouver rien§de mieux à fait que de "
"414";"+";"-";"-";"-";"-";"-";"<E>";" tuer";"<E>";"<E>";"père";"-";"-";"-";"-";"-";"et";"<E>";"mère";"pour";"-";"-";"-";"+";"+";"-";"§tuer§père et mère pour "
"415";"+";"-";"-";"-";"-";"-";"<E>";" unir";"<E>";"Poss0";"voix";"-";"-";"-";"-";"-";"à";"la";"voix de Nhum";"pour";"-";"-";"-";"+";"+";"-";"§unir§sa voix à la voix de Nhum pour "
"416";"-";"+";"+";"-";"-";"-";"<E>";" valoir";"pour";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"coup";"<E>";"-";"-";"-";"+";"-";"+";"§valoir§pour le coup "
"417";"-";"+";"+";"-";"-";"-";"<E>";" valoir";"pour";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"peine";"<E>";"-";"-";"-";"+";"-";"+";"§valoir§pour la peine "
"418";"+";"-";"-";"-";"-";"-";"<E>";" vendre";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"idée";"de";"-";"+";"+";"+";"+";"+";"§vendre§à l'idée de "
"419";"+";"-";"-";"-";"-";"-";"<E>";" vendre";"<E>";"<E>";"père";"-";"-";"-";"-";"-";"et";"<E>";"mère";"pour";"-";"-";"-";"+";"+";"-";"§vendre§père et mère pour "
"420";"+";"-";"-";"-";"-";"+";"ne";" vouloir";"<E>";"<E>";"entendre";"-";"-";"-";"-";"-";"<E>";"<E>";"parler";"de";"+";"+";"-";"+";"+";"-";"§ne vouloir§entendre parler de "

